URL,Name,Description,Website,Capability,Countries
https://partner.visa.com/site/partner-directory/bankable.html,Bankable,"We enable and serve dominant financial institutions, corporates and FinTech entrepreneurs to bring to market highly differentiated payment solutions supported by a very strong, immediate business case.",https://www.bnkbl.com,Program Manager,"Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State"
https://partner.visa.com/site/partner-directory/bitpanda.html,Bitpanda,"Create your own trading and investing experience for Bitpanda Technology Solutions is a modular & customisable Investing-as-a-Service infrastructure with the aim of providing partners with an easy and quick to integrate solution based on our proven investment infrastructure, in an environment their customers know and trust. Partners who integrate with our world-class APIs can safely and securely offer more than 2,500+ assets across crypto, stocks/ETFs*, precious metals & commodities.",https://www.bitpanda.com/en/tech,Value Added Services,"Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, France, Metropolitan, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State"
https://partner.visa.com/site/partner-directory/bpp.html,BPP,"BPP is a Technology Company with more than 10 years of experience with the main objective of developing and implementing payment solutions under a completely customized environment. BPP is a Visa principal member, issuer and a strategic technological partner. Our specialty is providing both physical and virtual payment solutions in up to 7 different currencies, all of them managed from one single account.",https://bpp.com.br/,BIN Sponsors,Brazil
https://partner.visa.com/site/partner-directory/aurus.html,Aurus,"The AurusPay platform powers payment acceptance across 25+ countries and services grocers ranging from large nationwide grocery and supermarket chains to regional grocery cooperative, independent grocers, convenience stores and neighborhood grocery stores.",https://www.aurusinc.com,Tap to Pay,United States of America
https://partner.visa.com/site/partner-directory/bankifi.html,Bankifi,"BankiFi transforms internet and mobile banking from playing a transactional role for SMEs to the place where they manage all their business finances. From invoicing and accounting to cashflow forecasting and working capital optimization, banks can liberate SMEs from time-consuming financial admin and allow them to thrive.",https://www.BankiFi.com/,Value Added Services,"Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State, Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State"
https://partner.visa.com/site/partner-directory/bpc.html,BPC ,"Radar Payments is a leading innovative payment processing provider dedicated to financial institutions, including payment service providers (PSPs), banks, acquirers, issuers, and fintechs. It offers advisory services and a one-stop platform for end-to-end omnichannnel processing, enabling the acceptance of most of the widely adopted payment methods, delivered on a PaaS, SaaS, or fully managed service model. Built using BPC’s SmartVista, an industry-recognised payment solution, the Radar Payments platform delivers scalability, resilience, performance, and unparalleled security. Radar Payments is fully owned by BPC and blends BPC’s 25 years of expertise in payments with the fintech world – using the latest digital technologies to create innovative customer payment experiences.",https://www.radarpayments.com/,Issuer Processor,"Bangladesh, Cambodia, Fiji, Hong Kong, India, Indonesia, Lao People's Dem. Rep., Maldives, Mongolia, Myanmar, Nepal, New Zealand, Papua New Guinea, Philippines, Singapore, Sri Lanka, Thailand, Vanuatu, Vietnam, Wake Island, Afghanistan, Albania, Algeria, Armenia, Azerbaijan, Bahrain, Belarus, Burkina Faso, Burundi, Cameroon, Comoros, Congo, Djibouti, Egypt, Ethiopia, Gambia, Ghana, Guinea, Iraq, Jordan, Kazakhstan, Lebanon, Macedonia, Malawi, Mauritius, Nigeria, Oman, Pakistan, Qatar, Rwanda, Senegal, Sierra Leone, South Africa, Sudan, Tajikistan, Tunisia, Turkmenistan, Uganda, Ukraine, United Arab Emirates, Uzbekistan, Yemen, Zimbabwe, Austria, Belgium, Bulgaria, Cyprus, Estonia, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Romania, Spain, Switzerland, United Kingdom, Belize, Bermuda, Bolivia, Colombia, Dominica, Ecuador, Honduras, Mexico, Panama, Peru, Uruguay, Canada, United States of America"
https://partner.visa.com/site/partner-directory/byond-digital-limited.html,b.yond Digital Limited,"b.yond enables fintechs and digital banks to go to market quickly and simply with a white-label solution. Demonstrate and test your POC, without compromising on the quality of your value proposition.",https://www.b-yond.co,"BIN Sponsors, Program Manager","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom"
https://partner.visa.com/site/partner-directory/bpc-software-labs.html,BPC Software Labs BV,"Adopted by more than 130 cities worldwide, O-CITY is an innovative, automated fare collection solution designed by BPC, a leading banking and payment firm with in excess of 300 clients across more than 90 countries. BPC Banking Technologies creates payments solutions that inspire change and progress for businesses and people everywhere. Founded in 1996 and headquartered in Switzerland, we are an independent company and a global leader in our field. ",https://www.o-city.com,Gateway,"American Samoa, Australia, Bangladesh, Bhutan, British Indian Ocean Territory, Brunei Darussalam, Cambodia, Christmas Island, Cocos [Keeling] Island, Cook Islands, Fiji, French Polynesia, Guam, Hong Kong, India, Indonesia, Japan, Kiribati, Lao People's Dem. Rep., Macau, Mainland China, Malaysia, Maldives, Marshall Islands, Micronesia, Mongolia, Myanmar, Nauru, Nepal, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Philippines, Samoa, Singapore, Sri Lanka, Taiwan, Thailand, Timor-Leste, Tokelau, Tonga, Tuvalu, Vanuatu, Vietnam, Wallis and Futuna, Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Bahrain, Belarus, Benin, Bosnia and Herzegovina, Botswana, Bouvet Island, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Comoros, Cote D'Ivoire, Egypt, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Georgia, Ghana, Guinea, Guinea-Bissau, Iraq, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Lebanon, Lesotho, Liberia, Libyan Arab Jamahiriya, Macedonia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Moldova, Republic of, Montenegro, Morocco, Mozambique, Namibia, Niger, Nigeria, Oman, Pakistan, Qatar, Russian Federation, Rwanda, Réunion, Saint Helena, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, Tajikistan, Togo, Tunisia, Uganda, Ukraine, United Arab Emirates, Uzbekistan, Yemen, Zambia, Zimbabwe, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, France, Metropolitan, Germany, Gibraltar, Greece, Greenland, Hungary, Iceland, Israel, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, San Marino, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom, Anguilla, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Cayman Islands, Chile, Colombia, Costa Rica, Dominica, Ecuador, El Salvador, Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, St. Kitts-Nevis, St. Lucia, St. Vincent & Grenadines, Suriname, Trinidad and Tobago, Turks & Caicos Islands, U.S. Virgin Islands, Uruguay, Venezuela, Canada, United States of America"
https://partner.visa.com/site/partner-directory/brightwell.html,Brightwell,"Consumer demand for cross-border payments has grown exponentially, with an equally high premium on a real-time, user-friendly experience. Brightwell has partnered with some of the largest payment providers on earth, for a truly global network reach. By tackling these complicated integrations, we help businesses quickly unlock consumer remittances to 185 countries, in 160 currencies. Use our low-code/no code API and SDK options to fast-track your payouts, remittances and disbursements to 90% of the world’s population.",https://www.brightwell.com/readyremit,NA,United States of America
https://partner.visa.com/site/partner-directory/cacao-paycard.html,Cacao Paycard,We combine our technology with strategic alliances with financial entities and payment networks so that our clients can focus on developing the heart of their business.,https://www.cacaopaycard.com,"BIN Sponsors, Issuer Processor, Program Manager",Mexico
https://partner.visa.com/site/partner-directory/br-dge.html,BR-DGE,"BR-DGE are an independent UK-based payment orchestration platform which provides merchants with one integration to 200+ acquirer connections and 250 APMs+, alongside workflow and dynamic routing capability. Their focus merchant segments include travel, transport, and high street retail, making them a perfect fit for partnership on VIS. Crucially, their payment orchestration model means that the merchants who onboard through BR-DGE will have a significantly easier (and quicker) route to integration – and we will be supporting their merchant sell-through efforts as they complete their technical build.",https://br-dge.to/,"Buy Now, Pay Later (BNPL)",United Kingdom
https://partner.visa.com/site/partner-directory/bridgepay.html,BridgePay,BridgePay gives our partners the tools they need to manage their payments. We make sure our gateway can handle the ever-changing world of payments. Our team has become experts in so many different types of industries to make sure your feature functionality needs are met including Tap to Pay. Our robust suite of products offers integrators and merchants a full omni-solution from EMV card present to mobility payments to secure online transactions. Our agnostic gateway allows merchants and resellers to use the processing partner of their choice-not ours! Come grow your business with BridgePay by offering merchants a complete suite of secure payment processing products.,https://bridgepaynetwork.com/,Tap to Pay,United States of America
https://partner.visa.com/site/partner-directory/callsign.html,Callsign,"Callsign is pioneering digital trust through proprietary technology that uniquely mimics the way humans identify each other in the real world. Positive identification of genuine users delivers privacy, safety and minimal friction while ensuring that bad actors are blocked. Through a simple Swipe or Type, users can be personally recognized to a 99.999% accuracy, delivering the highest-fidelity AI-based user recognition for the digital world.",https://www.callsign.com,Value Added Services,"Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State"
https://partner.visa.com/site/partner-directory/cartsys.html,Cartsys,"Our solutions connect financial institutions, corporations, merchants and consumers to one another, millions of times a day, behind the scenes, reliably and securely.",https://cartsys.com.ua/,Tap to Phone,"American Samoa, Australia, Bangladesh, Bhutan, British Indian Ocean Territory, Brunei Darussalam, Cambodia, Canton and Enderbury Islands, Christmas Island, Cocos [Keeling] Island, Cook Islands, Fiji, French Polynesia, French Southern Territories, Guam, Heard Island and Mcdonald Islands, Hong Kong, India, Indonesia, Japan, Kiribati, Lao People's Dem. Rep., Macau, Mainland China, Malaysia, Maldives, Marshall Islands, Micronesia, Midway Islands, Mongolia, Myanmar, Nauru, Nepal, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Pacific Islands Trust Territory, Palau, Papua New Guinea, People's Democratic Republic of Yemen, Philippines, Pitcairn Islands, Saint Barthelemy, Samoa, Serbia and Montenegro, Singapore, Solomon Islands, South Korea, Sri Lanka, Taiwan, Thailand, Timor-Leste, Tokelau, Tonga, Tuvalu, U.S. Minor Outlying Island, U.S. Miscellaneous Pacific Islands, Vanuatu, Vietnam, Wake Island, Wallis and Futuna, Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Bahrain, Belarus, Benin, Bosnia and Herzegovina, Botswana, Bouvet Island, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Comoros, Congo, Cote D'Ivoire, Democratic Republic Congo, Djibouti, Egypt, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Georgia, Ghana, Guinea, Guinea-Bissau, Iraq, Jordan, Kazakhstan, Kenya, Kosovo, Kuwait, Kyrgyzstan, Lebanon, Lesotho, Liberia, Libyan Arab Jamahiriya, Macedonia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mayotte, Moldova, Republic of, Montenegro, Morocco, Mozambique, Namibia, Niger, Nigeria, Oman, Pakistan, Qatar, Republic of Serbia, Russian Federation, Rwanda, Réunion, Saint Helena, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, State of Palestine, Sudan, Swaziland, Tajikistan, Togo, Tunisia, Turkmenistan, Uganda, Ukraine, United Arab Emirates, United Rep. of Tanzania, Uzbekistan, Western Sahara, Yemen, Zambia, Zimbabwe, Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State, Anguilla, Antarctica, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Carribean Netherlands, Cayman Islands, Chile, Colombia, Costa Rica, Curacao, Dominica, Dronning Maud Land, Ecuador, El Salvador, Falkland Islands, French Guiana, Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Republica Dominicana, Saint Martin, Sint Maarten, South Georgia and the South Sandwich Islands, St. Kitts-Nevis, St. Lucia, St. Vincent & Grenadines, Suriname, Trinidad and Tobago, Turks & Caicos Islands, U.S. Virgin Islands, Uruguay, Venezuela, Canada, Saint Pierre and Miquelon, United States of America"
