Country,URL,Name,Company URL,Business Focus,Rating
Czech Republic,https://thebanks.eu/list-of-emis/Czech-Republic,"ThePay.cz, s.r.o.",https://thebanks.eu/emis/thepay-cz-355305,providing payment gateways,2.58
Czech Republic,https://thebanks.eu/list-of-emis/Czech-Republic,"W.A.G. Issuing Services, a.s.",https://thebanks.eu/emis/w-a-g-issuing-services-355223,,internal entity
Denmark,https://thebanks.eu/list-of-emis/Denmark,Pleo Financial Services ApS,https://thebanks.eu/emis/pleo-financial-services-354941,providing company spending and card solutions,3.76
Denmark,https://thebanks.eu/list-of-emis/Denmark,Mobilepay Denmark A/S,https://thebanks.eu/emis/mobilepay-denmark-354940,providing mobile payment platform,3.25
Denmark,https://thebanks.eu/list-of-emis/Denmark,Safenetpay ApS,https://thebanks.eu/emis/safenetpay-355267,online business accounts and payment processing,3.43
Denmark,https://thebanks.eu/list-of-emis/Denmark,Ziglu Europe ApS,https://thebanks.eu/emis/ziglu-europe-355232,alternative banking and crypto trading,3.36
Estonia,https://thebanks.eu/list-of-emis/Estonia,inHouse Pay AS,https://thebanks.eu/emis/inhouse-pay-354942,payment acceptance and processing,2.92
Estonia,https://thebanks.eu/list-of-emis/Estonia,IPF Digital AS,https://thebanks.eu/emis/ipf-digital-355234,credit solutions,2.00
Finland,https://thebanks.eu/list-of-emis/Finland,Enfuce License Services Oy,https://thebanks.eu/emis/enfuce-license-services-355316,card issuing and payment processing,3.04
Finland,https://thebanks.eu/list-of-emis/Finland,Membrane Finance Oy,https://thebanks.eu/emis/membrane-finance-355331,developing stablecoin infrastructure,coming soon
Finland,https://thebanks.eu/list-of-emis/Finland,Narvi Payments Oy Ab,https://thebanks.eu/emis/narvi-payments-355283,alternative business banking,3.54
Finland,https://thebanks.eu/list-of-emis/Finland,Zevoy Aktiebolag,https://thebanks.eu/emis/zevoy-355289,business expense management,2.78
France,https://thebanks.eu/list-of-emis/France,CENTRALPAY,https://thebanks.eu/emis/centralpay-354950,payment integration platform,3.08
France,https://thebanks.eu/list-of-emis/France,CHECKOUT,https://thebanks.eu/emis/checkout-354951,online payment processing platform,3.08
France,https://thebanks.eu/list-of-emis/France,CNOVA PAY,https://thebanks.eu/emis/cnova-pay-355122,payment solutions for Cnova network,internal entity
France,https://thebanks.eu/list-of-emis/France,EDENRED PAIEMENT,https://thebanks.eu/emis/edenred-paiement-354954,payment solutions,2.55
France,https://thebanks.eu/list-of-emis/France,EZYNESS,https://thebanks.eu/emis/ezyness-354947,e-money solutions for La Banque Postale,internal entity
France,https://thebanks.eu/list-of-emis/France,LYF,https://thebanks.eu/emis/lyf-354694,mobile payment platform,3.32
France,https://thebanks.eu/list-of-emis/France,MARKET PAY,https://thebanks.eu/emis/market-pay-354952,payment solutions for businesses,2.54
France,https://thebanks.eu/list-of-emis/France,Société financière du porte-monnaie électronique interbancaire,https://thebanks.eu/emis/societe-financiere-du-porte-monnaie-electronique-interbancaire-354886,providing banking as a service platform,2.66
France,https://thebanks.eu/list-of-emis/France,SWAN,https://thebanks.eu/emis/swan-355098,banking and payment infrastructure,3.36
France,https://thebanks.eu/list-of-emis/France,SWILE PAYMENT,https://thebanks.eu/emis/swile-payment-355220,providing corporate cards,3.03
France,https://thebanks.eu/list-of-emis/France,TMLC,https://thebanks.eu/emis/tmlc-355303,providing payment solutions,1.85
France,https://thebanks.eu/list-of-emis/France,Treezor SAS,https://thebanks.eu/emis/treezor-354696,core-banking platform,3.37
France,https://thebanks.eu/list-of-emis/France,UP COOP,https://thebanks.eu/emis/up-coop-354953,e-wallets and online payments,2.67
France,https://thebanks.eu/list-of-emis/France,W-HA SA,https://thebanks.eu/emis/w-ha-354697,digital payments and services,2.15
France,https://thebanks.eu/list-of-emis/France,XPOLLENS,https://thebanks.eu/emis/xpollens-354948,payment processing platform,2.80
Germany,https://thebanks.eu/list-of-emis/Germany,First Data GmbH,https://thebanks.eu/emis/first-data-354693,providing payment solutions for financial institutions and acquirers,acquired
Germany,https://thebanks.eu/list-of-emis/Germany,B2Mobility GmbH,https://thebanks.eu/emis/b2mobility-355115,B2B and B2C payment cards,2.98
Germany,https://thebanks.eu/list-of-emis/Germany,Concardis GmbH,https://thebanks.eu/emis/concardis-354691,providing cashless and digital payments,3.59
Germany,https://thebanks.eu/list-of-emis/Germany,Esprit Card Services GmbH,https://thebanks.eu/emis/esprit-card-services-354692,issuing ESPRIT gift cards,internal entity
Germany,https://thebanks.eu/list-of-emis/Germany,Moss GmbH,https://thebanks.eu/emis/moss-355317,expense management,3.45
Germany,https://thebanks.eu/list-of-emis/Germany,PayCenter GmbH,https://thebanks.eu/emis/paycenter-354938,providing payment cards and current accounts,3.58
Germany,https://thebanks.eu/list-of-emis/Germany,PAYONE GmbH,https://thebanks.eu/emis/payone-354937,payment infrastructure solutions,3.44
Germany,https://thebanks.eu/list-of-emis/Germany,ReiseBank AG,https://thebanks.eu/emis/reisebank-355271,issuing travel money and cards,3.20
Germany,https://thebanks.eu/list-of-emis/Germany,RS2 Financial Services GmbH,https://thebanks.eu/emis/rs2-financial-services-355239,payment processing solutions,2.87
Germany,https://thebanks.eu/list-of-emis/Germany,VR Payment GmbH,https://thebanks.eu/emis/vr-payment-354936,payment solutions for businesses,internal entity
Germany,https://thebanks.eu/list-of-emis/Germany,Zalando Payments GmbH,https://thebanks.eu/emis/zalando-payments-354939,payment solutions for Zalando customers,internal entity
Gibraltar,https://thebanks.eu/list-of-emis/Gibraltar,Transact Payments Ltd,https://thebanks.eu/emis/transact-payments-354699,innovative payment and card solutions,2.91
Greece,https://thebanks.eu/list-of-emis/Greece,COSMOTE PAYMENTS - ELECTRONIC MONEY SERVICES S.A.,https://thebanks.eu/emis/cosmote-payments-electronic-money-services-355181,providing PSD2 payment environment,internal entity
Greece,https://thebanks.eu/list-of-emis/Greece,TORA WALLET SINGLE-MEMBER SOCIETE ANONYME FOR ELECTRONIC MONEY SERVICES,https://thebanks.eu/emis/tora-wallet-societe-anonyme-for-electronic-money-services-355000,providing e-wallets,2.26
Greece,https://thebanks.eu/list-of-emis/Greece,VIVA PAYMENT SERVICES SINGLE MEMBER S.A.,https://thebanks.eu/emis/viva-payment-services-354702,card processing and e-payment solutions for businesses,3.11
Hungary,https://thebanks.eu/list-of-emis/Hungary,Barion Payment Zrt.,https://thebanks.eu/emis/barion-payment-355005,providing payment solutions,2.92
Hungary,https://thebanks.eu/list-of-emis/Hungary,Viva Payment Services S.A. Magyarországi Fióktelepe,https://thebanks.eu/emis/viva-payment-services-355180,card processing and e-payment solutions for businesses,3.11
Hungary,https://thebanks.eu/list-of-emis/Hungary,BinX Business Integrated NetworX Zártkörűen Működő Részvénytársaság,https://thebanks.eu/emis/binx-business-integrated-networx-355335,,coming soon
Iceland,https://thebanks.eu/list-of-emis/Iceland,Monerium EMI ehf.,https://thebanks.eu/emis/monerium-emi-354914,providing global digital currency platform,coming soon
Iceland,https://thebanks.eu/list-of-emis/Iceland,Rapyd Europe hf.,https://thebanks.eu/emis/rapyd-europe-355311,payment acceptance and processing,3.79
Ireland,https://thebanks.eu/list-of-emis/Ireland,Soldo Financial Services Ireland DAC,https://thebanks.eu/emis/soldo-financial-services-ireland-354888,expense management platform,3.75
Ireland,https://thebanks.eu/list-of-emis/Ireland,Stripe Technology Europe Limited,https://thebanks.eu/emis/stripe-technology-europe-354889,payment solutions for e-commerce,3.52
Ireland,https://thebanks.eu/list-of-emis/Ireland,Booking Holdings Financial Services International Limited,https://thebanks.eu/emis/booking-holdings-financial-services-international-355301,payment processing for Booking Holdings,internal entity
Ireland,https://thebanks.eu/list-of-emis/Ireland,EML Money DAC,https://thebanks.eu/emis/eml-money-354704,payment cards for companies and consumers,2.85
Ireland,https://thebanks.eu/list-of-emis/Ireland,Facebook Payments International Limited,https://thebanks.eu/emis/facebook-payments-international-354703,processing payment related to Facebook,internal entity
Ireland,https://thebanks.eu/list-of-emis/Ireland,Gemini Payments Limited,https://thebanks.eu/emis/gemini-payments-355304,crypto trading platform,2.49
Ireland,https://thebanks.eu/list-of-emis/Ireland,GVS Prepaid (Europe) Limited,https://thebanks.eu/emis/gvs-prepaid-europe-355107,issuing gift cards for UK and Ireland customers,acquired
Ireland,https://thebanks.eu/list-of-emis/Ireland,Lumon FX Europe Limited,https://thebanks.eu/emis/lumon-fx-europe-355119,foreign exchange and international transfers,3.25
Ireland,https://thebanks.eu/list-of-emis/Ireland,Moneycorp Technologies Limited,https://thebanks.eu/emis/moneycorp-technologies-355166,currency exchange and international payments,3.27
Ireland,https://thebanks.eu/list-of-emis/Ireland,myPOS Limited,https://thebanks.eu/emis/mypos-355332,providing payment solutions to merchants,3.84
Ireland,https://thebanks.eu/list-of-emis/Ireland,OFX Payments Ireland LTD,https://thebanks.eu/emis/ofx-payments-ireland-355141,foreign exchange and international payments,2.91
Ireland,https://thebanks.eu/list-of-emis/Ireland,Optal Financial Europe Limited,https://thebanks.eu/emis/optal-financial-europe-355007,B2B payment optimization solutions,acquired
Ireland,https://thebanks.eu/list-of-emis/Ireland,Payoneer Europe Limited,https://thebanks.eu/emis/payoneer-europe-355112,online cross-border payments for entrepreneurs,2.40
Italy,https://thebanks.eu/list-of-emis/Italy,HYPE S.P.A.,https://thebanks.eu/emis/hype-355109,providing e-money accounts and payment cards,3.17
Ireland,https://thebanks.eu/list-of-emis/Ireland,Paysafe Payment Solutions Limited,https://thebanks.eu/emis/paysafe-payment-solutions-354887,offering processing and acquiring solutions,2.85
Ireland,https://thebanks.eu/list-of-emis/Ireland,Paysafe Prepaid Services Limited,https://thebanks.eu/emis/paysafe-prepaid-services-355126,offering processing and acquiring solutions,2.79
Ireland,https://thebanks.eu/list-of-emis/Ireland,PAYSEND EU DESIGNATED ACTIVITY COMPANY,https://thebanks.eu/emis/paysend-eu-355339,international money transfers,3.86
Ireland,https://thebanks.eu/list-of-emis/Ireland,PFS Card Services (Ireland) Ltd,https://thebanks.eu/emis/pfs-card-services-ireland-355006,payment card services,2.05
Ireland,https://thebanks.eu/list-of-emis/Ireland,Squareup International Limited,https://thebanks.eu/emis/squareup-international-355174,payment solutions for businesses,3.07
Ireland,https://thebanks.eu/list-of-emis/Ireland,SumUp Limited,https://thebanks.eu/emis/sumup-355137,payment processing platform,3.23
Ireland,https://thebanks.eu/list-of-emis/Ireland,Coinbase Ireland Limited,https://thebanks.eu/emis/coinbase-ireland-355114,providing cryptocurrency platform,2.68
Italy,https://thebanks.eu/list-of-emis/Italy,BCC PAY S.P.A.,https://thebanks.eu/emis/bcc-pay-355268,payment cards and merchant services,2.81
Italy,https://thebanks.eu/list-of-emis/Italy,ENEL X FINANCIAL SERVICES S.R.L.,https://thebanks.eu/emis/enel-x-financial-services-355011,microloans for Enel customers,internal entity
Italy,https://thebanks.eu/list-of-emis/Italy,FLOWE S.P.A. - SOCIETA' BENEFIT,https://thebanks.eu/emis/flowe-355116,providing eco-friendly e-wallet accounts,3.19
Italy,https://thebanks.eu/list-of-emis/Italy,LIS PAY SPA,https://thebanks.eu/emis/lis-pay-355009,issuing prepaid cards,2.31
Italy,https://thebanks.eu/list-of-emis/Italy,MOONEY S.P.A.,https://thebanks.eu/emis/mooney-355129,providing IBAN accounts and payment cards,3.22
Italy,https://thebanks.eu/list-of-emis/Italy,NEXI PAYMENTS S.P.A.,https://thebanks.eu/emis/nexi-payments-355012,digital payment solutions,2.92
Italy,https://thebanks.eu/list-of-emis/Italy,POSTEPAY S.P.A.,https://thebanks.eu/emis/postepay-355014,providing payment cards and payment services,3.23
Italy,https://thebanks.eu/list-of-emis/Italy,TELEPASS S.P.A.,https://thebanks.eu/emis/telepass-355318,payment services and prepaid cards for Telepass,internal entity
Italy,https://thebanks.eu/list-of-emis/Italy,UNIPOLPAY S.P.A.,https://thebanks.eu/emis/unipolpay-355233,,internal entity
Latvia,https://thebanks.eu/list-of-emis/Latvia,QIWI Wallet Europe Ltd,https://thebanks.eu/emis/qiwi-wallet-europe-354706,e-wallet and e-payment solutions,2.53
Latvia,https://thebanks.eu/list-of-emis/Latvia,"Sabiedrība ar ierobežotu atbildību ""Mobilly""",https://thebanks.eu/emis/mobilly-355105,mobile payment application,2.40
Latvia,https://thebanks.eu/list-of-emis/Latvia,"Sabiedrība ar ierobežotu atbildību ""Transact Pro""",https://thebanks.eu/emis/transact-pro-354707,turnkey payment solutions,2.85
Latvia,https://thebanks.eu/list-of-emis/Latvia,SIA Mintos Payments,https://thebanks.eu/emis/mintos-payments-355230,loans investment platform,3.21
Liechtenstein,https://thebanks.eu/list-of-emis/Liechtenstein,Cornèr Europe AG,https://thebanks.eu/emis/corner-europe-354890,personalized solutions in the area of payment cards,2.31
Liechtenstein,https://thebanks.eu/list-of-emis/Liechtenstein,Swiss Bankers Prepaid Services AG,https://thebanks.eu/emis/swiss-bankers-prepaid-services-355017,providing payment cards,3.26
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""NexPay""",https://thebanks.eu/emis/nexpay-354895,providing IBAN accounts and crypto OTC desk,4.23
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Via Payments UAB,https://thebanks.eu/emis/via-payments-354733,alternative banking and payment services,4.03
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,UAB IBS Lithuania,https://thebanks.eu/emis/ibs-lithuania-354726,digital banking services between Europe and China,4.38
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,UAB SatchelPay,https://thebanks.eu/emis/satchelpay-354722,facilitating global payment transactions,4.85
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,UAB 'TransferGO Lithuania',https://thebanks.eu/emis/transfergo-lithuania-354896,international money transfers,3.70
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,UAB „NIUM EU“,https://thebanks.eu/emis/nium-eu-354727,global money transfers,3.82
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Phoenix Payments UAB,https://thebanks.eu/emis/phoenix-payments-354720,alternative banking and payment solutions,3.77
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,UAB TeslaPay,https://thebanks.eu/emis/teslapay-355029,providing payment cards and IBAN accounts,4.04
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Valyuz UAB,https://thebanks.eu/emis/valyuz-354732,providing alternatives to traditional banking,3.85
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"„Secure Nordic Payments“, UAB",https://thebanks.eu/emis/secure-nordic-payments-354716,offering dedicated IBAN accounts,3.70
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,SnapSwap International SA,https://thebanks.eu/emis/snapswap-international-354739,solution to accelerate account opening process,3.44
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Ambr Payments, UAB",https://thebanks.eu/emis/ambr-payments-355097,business payment services,2.83
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Bebawa, UAB",https://thebanks.eu/emis/bebawa-355185,providing business accounts,2.86
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,BEM Europe UAB,https://thebanks.eu/emis/bem-europe-355284,blockchain payment solutions,coming soon
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Blender Lithuania UAB,https://thebanks.eu/emis/blender-lithuania-354710,providing peer-to-peer loans platform,2.72
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"CBI Money, UAB",https://thebanks.eu/emis/cbi-money-355032,providing payment solutions,3.18
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Clearshift, UAB",https://thebanks.eu/emis/clearshift-355102,international payments,3.11
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Contomobile UAB,https://thebanks.eu/emis/contomobile-355026,providing multicurrency IBAN accounts,3.64
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Corporate Services UAB,https://thebanks.eu/emis/corporate-services-355024,providing payment accounts,3.28
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Curve Europe, UAB",https://thebanks.eu/emis/curve-europe-355148,providing payment cards,3.42
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,3S Money (Luxembourg) S.A.,https://thebanks.eu/emis/3s-money-luxembourg-355314,international trade,3.64
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,Alipay (Europe) Limited S.A.,https://thebanks.eu/emis/alipay-europe-354898,international payment platform,2.01
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,Amazon Payments Europe SCA,https://thebanks.eu/emis/amazon-payments-europe-354737,payments processing for Amazon merchants,internal entity
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,Dock Financial S.A.,https://thebanks.eu/emis/dock-financial-354900,issuing payment cards,3.16
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,J. P. Morgan Mobility Payments Solution S.A.,https://thebanks.eu/emis/j-p-morgan-mobility-payments-solution-354740,payment solutions for Volkswagen Group brands,internal entity
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,JOOMPAY EUROPE S.A.,https://thebanks.eu/emis/joompay-europe-355158,instant money transfers,3.08
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,Mangopay SA,https://thebanks.eu/emis/mangopay-354738,providing end-to-end payment solution,2.92
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Demivolt, UAB",https://thebanks.eu/emis/demivolt-355151,digital banking and payment solutions,3.98
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"DiPocket, UAB",https://thebanks.eu/emis/dipocket-355156,cashless mobile payment application,3.06
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Finci, UAB",https://thebanks.eu/emis/finci-355120,providing accounts and payments,4.15
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Foxpay, UAB",https://thebanks.eu/emis/foxpay-355038,providing payment terminals,3.41
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,FUNDSTR UAB,https://thebanks.eu/emis/fundstr-355155,providing IBAN accounts and payment cards,3.40
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Glocash Payment UAB,https://thebanks.eu/emis/glocash-payment-354713,payment processing for e-commerce,2.98
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Google Payment Lithuania UAB,https://thebanks.eu/emis/google-payment-lithuania-354891,processing payment related to Google,internal entity
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"GPS Capital Markets Europe, UAB",https://thebanks.eu/emis/gps-capital-markets-europe-355287,foreign exchange and international payments,2.87
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Neo Finance, AB",https://thebanks.eu/emis/neo-finance-354892,providing personal IBAN accounts,3.40
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Nikulipe UAB,https://thebanks.eu/emis/nikulipe-355104,connecting local payment methods,None
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Okeo Payments, UAB",https://thebanks.eu/emis/okeo-payments-355177,creating business payment solutions,2.63
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Opal Transfer EU, UAB",https://thebanks.eu/emis/opal-transfer-eu-355019,international money transfers,3.63
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"PAYMONT, UAB",https://thebanks.eu/emis/paymont-355285,providing payment accounts,3.14
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Paynt, UAB",https://thebanks.eu/emis/paynt-354717,scalable payment solutions for businesses,3.77
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Payswix, UAB",https://thebanks.eu/emis/payswix-354712,providing banking solutions,4.24
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,Paytend Europe UAB,https://thebanks.eu/emis/paytend-europe-354719,international payments,2.93
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Sezzle Lithuania, UAB",https://thebanks.eu/emis/sezzle-lithuania-355221,payment processing for e-commerce,3.55
Malta,https://thebanks.eu/list-of-emis/Malta,FinXP Limited,https://thebanks.eu/emis/finxp-354748,banking and payment solutions for B2B and B2B2C,3.59
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,PingPong Europe S.A.,https://thebanks.eu/emis/pingpong-europe-355144,payment platform for e-commerce sellers,2.47
Luxembourg,https://thebanks.eu/list-of-emis/Luxembourg,Satispay Europe SA,https://thebanks.eu/emis/satispay-europe-354901,payment platform for secure and cheap payments,3.51
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,SumUp EU Payments UAB,https://thebanks.eu/emis/sumup-eu-payments-355018,payment processing platform,3.00
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"Transactive Systems, UAB",https://thebanks.eu/emis/transactive-systems-354723,providing payment platform,3.28
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""ConnectPay""",https://thebanks.eu/emis/connectpay-354711,banking alternative for online-focused businesses,3.90
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""deVere E-Money""",https://thebanks.eu/emis/devere-e-money-354725,international money transfers,3.95
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""International Payment Union""",https://thebanks.eu/emis/international-payment-union-354894,seamless payments for traders and investors,2.98
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""Nuvei""",https://thebanks.eu/emis/nuvei-355033,providing fiat-crypto infrastructure,3.77
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""PAYRNET""",https://thebanks.eu/emis/payrnet-355149,digital finance and payment solutions for businesses,2.77
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""Silvergate LT""",https://thebanks.eu/emis/silvergate-lt-355035,providing IBAN accounts,2.86
Malta,https://thebanks.eu/list-of-emis/Malta,Alpha FX Europe Limited,https://thebanks.eu/emis/alpha-fx-europe-355219,international foreign exchange,2.98
Malta,https://thebanks.eu/list-of-emis/Malta,Andaria Financial Services Limited,https://thebanks.eu/emis/andaria-financial-services-355240,providing business accounts,2.82
Malta,https://thebanks.eu/list-of-emis/Malta,C2D PAYMENT SOLUTIONS LTD,https://thebanks.eu/emis/c2d-payment-solutions-355224,providing cash payment platform,1.82
Malta,https://thebanks.eu/list-of-emis/Malta,DLocal Limited,https://thebanks.eu/emis/dlocal-354742,cross-border payments for emerging markets,2.49
Malta,https://thebanks.eu/list-of-emis/Malta, plc,https://thebanks.eu/emis/emaney-354743,Internet banking solutions,3.04
Malta,https://thebanks.eu/list-of-emis/Malta,EMP SYSTEMS LTD,https://thebanks.eu/emis/emp-systems-354744,providing e-wallets,3.56
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,"UAB ""Walletto""",https://thebanks.eu/emis/walletto-354734,payment processing for merchants,3.48
Lithuania,https://thebanks.eu/list-of-emis/Lithuania,UAB B4B Payments Europe,https://thebanks.eu/emis/b4b-payments-europe-355152,business expense solutions,3.00
