Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
Curran H.,Admin Assistant,"Public Policy, 11-50 employees",6-12 months,4,3,5,5,5,10,Capterra,21/08/2019,"Overall I find it very helpful. It is easy to enter and find bills. It had a steep learning curve, but once overcome, it is extremely helpful software.","The ability to find any transaction, bill very fast. There are reports that can be deeply customized, bills can be searched easily, and it is easy to switch between companies.","It has too many features! It has a million options, and options within options. If you are inexperienced with the software, it can be hard to find what you are looking for. Once you do find things it becomes quite simple."
Karen S.,Accountant/Owner,"Accounting, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,23/02/2021,I have been using Quickbooks Non-Profit for years and all entries and creation of programs for a non-profit provides a visual presentation that provides Board Members and Financial Auditors the clarity and simplifies where the non-profit stands. ,"Due to the complexities of non-profit financials. Quickbooks alleviates much of the work and assists with proper allocations of Donor Contribution, Grants and Foundation monies. Classifying expenses is also tricky without the easy to use features Quickbooks non-profit software provides. ",I cannot think of any downfalls. I have used other non-profit accounting softwares and Quickbooks is by the far the best.
Tara S.,Controller,"Construction, 11-50 employees",6-12 months,5,5,3,4,4,10,Capterra,11/12/2019,"On a day to day bases, it is easy to use and easy to see a quick snapshot of where our company stands. Customers can view and pay their invoices online and money is deposited quickly. It has helped increase our cashflow.",The software was fairly easy to set up and is very easy to use. Very forgiving. Errors can be corrected easily. (with the exceptions noted below) ,"The recurring transaction feature does not always work as expected.
Accounts or products that are created in error can only be made inactive, not deleted.  We now have a lot of extras since the accountant that helped us import our Sage data imported everything twice. We have 2 of all our products and accounts. "
Ross H.,Office Manager,"Consumer Services, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,18/10/2022,"Overall my experience has been good, a few times either myself or another user has made a mistake but with the help of online and phone support we got the issue fixed in a timely manner.","Overall the software is easy to use and robust New features have a learning curve as with most things, the online help with this is good.",The price can be daunting for smaller businesses or even individuals
Katherine M.,Office Manager,"Wine and Spirits, 11-50 employees",2+ years,4,4,3,4,4,6,Capterra,09/11/2022,"Overall my experience has been mostly positive. There was a major issue earlier this year where the one account we used was not allowing me to pay for the service. It said my accountant had billing rights, but he wasn't getting bills either. We would randomly and for days at a time not be able to access this one account at all. I would call and call and each representative that I talked to had different ""solutions"" but none of them worked. One even told me that our entire data was gone because we didn't pay the bill and we would have to start a new account. It was pretty ludicrous. It literally took about five months to get it resolved when finally, the last of about 13 reps that I talked to did what really needed to get done to fix it. Just seems like they're not on the same page as far as knowledge of this software. ","For the most part, this software is user friendly. It is organized and efficient and keeping my accounting and bookkeeping for the company on track. ","There are several things this software does (or doesn't do) that make it a bit cumbersome. For example, there are certain accounts you cannot load into vendor details because it's not a ""cost"". But we have ""cost of sales"" and that is one of our biggest used account but I cannot load it into vendor cards just because it's not a cost account. I don't like the way the reconciliation works. I don't use the automatic feature because it makes it harder than it's worth when I have to go out of the menu altogether for it to register that something that automatically ""reconciled"" is to be accounting for. "
Veronica N.,Consultant Manager,"Food & Beverages, 11-50 employees",2+ years,4,3,4,5,3,10,Capterra,28/07/2021,"Overall my experience has been good with Quickbooks online advanced. The product has all the features needed to run a business, get the reporting and also connecting with useful apps developed by different partners. Especially during this unprecedented times when online presence is fundamental QBO Advances provides access to not the only an accounting platform but also easy integration to other partners like Third party delivery, PoS, e-commerce, ACH Payments, etc.",The software is designed to simplify the journey by increasing the quality of the data input during the booking of the transactions and eliminating  common mistakes during the process of bookkeeping. I like how the bank feed makes easier every bank reconciliation and provides a lot of information directly from the bank statement. ,"I do not like that the migration from desktop to online is not easy and the online version has some missing features compared with the desktop version. I also do not like the Inventory module does not have all the information for food products, like expiration date or lot control "
Tammy P.,Staff Accountant,"Computer Software, 51-200 employees",2+ years,5,4,5,5,5,10,Capterra,11/12/2019,,"QBO Advanced includes the analytics through dashboards and Fathom.  These are powerful tools and very useful for management.  The Enhanced Custom Fields are valuable for our company as we are able to capture information that can be kept in QBO with the client instead of having several spreadsheet to keep this information.  The Customize Access By Role is helpful for us because we are able to then develop UI from our software into QBO allowing our developer to have access to QBO but not have access to the entire company file.  Feedback is very vital for us the user.  As we find something that could make our jobs easier, or a way of getting information out you can always enter the feedback in for Intuit's development team to review.  I have experienced that some feedback has been addressed, which adds value for us because we know that the software is becoming a tool that will do all that we need it to do.","We lost a couple reports when we converted over from desktop, but Intuit is constantly working on enhancing the software."
Joy K.,Executive Director,"Non-Profit Organization Management, 1-10 employees",2+ years,4,4,3,5,5,8,Capterra,31/05/2022,"I am very satisfied with QBO overall, especially since we also use Quickbooks payroll. 
Entering receipts and information is very easy and reporting is very intuitive. 

I do with there was a better way to enter multiple receipts from a payment processor site(Square/Stripe), versus the batch deposits as the systems integrate now. ","It is easy to enter information into Quickbooks and find it later. 
Reports are great! I can always find the infromation I need in a ready report, and love that I can click within a report to access more detailed infromation. 
","As a non-profit, it can get a little complicated when tracking restricted revenues and their related expenses. 
Year end reporting for fulfilling the 990 is not easy when working around the chart of accounts as it us set up in QBO - some account categories don't match up with the way nonprofits track them. "
Courtney Y.,Writer,"Writing and Editing, Self-employed",2+ years,5,5,5,5,5,10,Capterra,23/03/2022,Very pleased,"I use QBO daily. I appreciate this as our main payroll and accounting system. Quickbooks easily integrates with our third-party websites and needs; eg. credit card processing, Paypal, as well as our donor base as we are a 501c3 non profit. I did not have a background in accounting or business management. Quickbooks Online made it very easy to learn how this function works. QBO Customer service always goes above and beyond assisting any needs. Minimal downtime and errors with this software. Very Happy. ","Over the years QBO has made many advancements and received customer feedback for a quicker, simpler way to run and access reports. I do not have any issues using this software. "
Andrew M.,Vice President of Operations,"Non-Profit Organization Management, 11-50 employees",2+ years,4,5,4,5,4,8,Capterra,17/02/2023,Overall it's a good bang for the buck by providing a rather robust accounting program for a mid-size non-profit.  I wish they could do multi-company consolidations all from within QuickBooks and not having to export to Excel.,"Quickbooks has great learning tools and resources to acquire knowledge on how to use their platform.  It can take some time getting used to everything (as it does with any system), but once you get the hang of it, it is generally pretty easy to navigate and set things up.","Their customer service is usually pretty helpful for the technical pieces but we had some issues with our billing and they were a complete mess to work with.  I guess as long as you are paying your bill, that's all they care about and don't want to waste their time figuring out billing issues.  Also, there are a few limitations in a some of their reports that don't seem to make sense and even stumped some of the customer service agents that I had talked to.  "
Verified Reviewer,,"Religious Institutions, 11-50 employees",2+ years,5,5,3,5,5,9,Capterra,27/11/2020,Accounting made easy even for those bookkeepers or accountants new to the software. ,"QuickBooks for nonprofits can handle small nonprofits and large ones as well. The system is easy to use and QuickBooks has a ton of guides and videos to help begins with just about anything. Truly accounting made easy, not to mention the dozens of app integrations available. ","My only complaint is when calling customer service, I have been helped by representatives who know less than I do about their program. I just hand up and call again to talk to someone else. "
jenny d.,Accountant,"Entertainment, 11-50 employees",6-12 months,4,4,4,4,4,8,Capterra,11/12/2019,"We are a multi-location theatre and school. Our directors and managers and board members need to have access to reports about each show and its success, our donations and fundraising efforts and our expenses in real-time in order to make decisions quickly. The ability of the QBO to allow this real-time access is something we have come to rely upon. The difficulty we have is with data input. We have had to hire a person just to input our deposits from our enrollment system and cc processor by hand, so that we can class them correctly. ","That it is accessible by many people in our organization in real time and that access is customizable by user. It has many of the desktop features that we like, including the ability to use a lot of classes and accounts and customizable reporting.  I love being able to have many windows of it open in order to compare between accounts or items I am working on. ","I have worked with Quickbooks since the 1990s and therefore am a desktop user. I am used to the keyboard shortcuts and the ability to upload data for invoicing, deposits and journal entries. That minimal columns can be uploaded is really frustrating and it is time consuming to hand enter items, especially if our processors don't download their data to QB. 
I do not like that I cannot use a desktop version to clean up items in the online version. I really liked the accountant versions in desktop."
Selcuk D.,Finance Director,"Investment Management, 11-50 employees",1-2 years,5,5,5,5,5,9,Capterra,08/12/2022,"The platform is incredibly intuitive and provides a wide range of features and tools that make it easy to manage finances. The reporting capabilities are comprehensive and accurate, and the cost is worth the investment. ","I have been thoroughly impressed with QuickBooks Online Advanced. The platform is incredibly intuitive and provides an array of tools and features that make it easy to manage finances. The accounting and invoicing processes are efficient and user-friendly, and the reporting capabilities are comprehensive and accurate. ","One of the drawbacks of QuickBooks Online Advanced is the cost of the subscription. While the features are worth the investment, the cost can be steep for small businesses with limited budgets. Additionally, the platform can be complicated to navigate for those with limited accounting experience."
Charles M.,Mental Performance Consultant ,"Health, Wellness and Fitness, 1-10 employees",2+ years,5,4,4,5,5,8,Capterra,04/12/2022,Experience has been great and very professional so far!,I loved how automated my invoices and billing became using quickbooks. I enjoy the professional look and easy use of the platform. It made it also easier to build and make expenses report. The customer service was also really good as I was able to schedule a call within the first 5 min on the website,"Right now, I need a bit more experience on the platform. However, I would say that the price are decent and good for what I am using. Nothing negative to say about the platform. "
Russell B.,CEO,"Accounting, 1-10 employees",2+ years,4,3,,3,2,7,Capterra,19/07/2022,It is a necessary evil. ,Online access is convenient. Most clients are already using it. Easy to get accountant access.  Bank feeds are superior to the desktop product.  Integrates with many different tools through Zapier.  Works with a large array of direct 3rd party add ins.,"It lacks basic and essential features such as reliable backup/restoration of data, month end closing tools, etc.  forcing us to pay third parties to make up for what QBO lacks.  The receipt capture is too limited and is very poor at matching transactions if it doesn't automatically recognize a receipt.  

The system is extremely nit picky about which type of transaction you are using in the moment.  This is not an issue with QB desktop as you can easily enter almost any type of transaction from the register without the need to tell it what you are doing in advance.

The product does not often get substantive improvements and yet the subscription fees are very high and are increasing over time. Pay more, get the same product."
Gary T.,President,"Chemicals, 1-10 employees",2+ years,3,4,3,2,3,5,Capterra,11/12/2019,"We run our business on it and have to work around all the limitations, it gets the job done, but we spend a lot of time having to use excel outside the product to get things completed.   It is getting better but so slowly we have considered moving to another online software package.","QBO is an easy to use intuitive accounting software package with generally reliable online access.  It has the basic accounting features that you would expect for a small business, but lacks the detailed features necessary for a bundled product business (one where your product is composed of Bill of Materials and you need to track the details on the sub components - think of gift baskets with 10 items in it, and the basket has a single SKU.)   QBO has been improving in many ways and priority circle is a welcome addition to getting support.

","The Reporting is really poor, you cannot simply build a report using any fields there are significant limitations of what fields you can include in a report.  For instance you cannot write a report with customer and invoice information in it.  IE.  What customers have bought what products and when - this can't be done you need to export all the data and then do your own intersection to answer that question.

There is really limited inventory tracking - as long as you stock and sell individual wigets your are ok, but if you sell bundles you are screwed.   We have to do all inventory tracking outside of QBO because it is so lacking.

You can't not do line item discounts.

You cannot have negative product line items ( like volume discounts or returns, etc.)

There are so many basic features in QBO Desktop that are totally lacking in the online version.

"
Kyle H.,Accounting,"Information Technology and Services, 1-10 employees",6-12 months,5,5,4,5,5,10,Capterra,11/12/2019,The chart of accounts feature of QBO is much cleaner than the two previously used accounting softwares. Also the reporting functions are much more user friendly for non-accounting employees trying to find financial information that makes sense to them. ,"Everything is very clean, and easy to navigate. The general features of the software are user friendly to all levels of accounting. If you have never used an accounting software before QBO makes it very accessible to find important and valuable information about your finances with relative ease.","The more in depth features do take a little time to navigate. There are also a lack to ""advance"" features for some of the functions but it overall fits the bill. There is nothing that is missing that is an absolute need for business function- just more of a ""would be nice""."
Ryan C.,Manager,"Retail, 11-50 employees",Less than 6 months,5,5,5,5,5,10,Capterra,11/12/2019,"There are so many reasons why we love working on Quickbooks online. The credit card processor working through our website, the mobile app and card processor, as well as the integration to WordPress and to help add automation to our financial recording. ","There are so many features to this software, but my favorite is definitely the online platform. I am able to see the progress of the business through my phone or iPad and not just sitting behind a desk. So much business is done on the road or moving around and having the app easily accessible I can always be in touch with what is going on in the company. ",Setting up the new company file was difficult. We were moving from QuickBooks desktop and it had to much data (20 years worth) that we were not able to compress it then upload the information to the new platform. We were able to do batch uploads which did allow us to preserve some data but it did make the transition a little more difficult than it needed to be. 
Verified Reviewer,,"Public Policy, 11-50 employees",2+ years,4,3,4,4,5,8,GetApp,15/06/2018,,Online accessibility - can work anywhere with an internet connection.  Linking to bank and credit card accounts is handy.  Linking to Bill.com and Expensify are also easy.,"As a controller and an accountant consultant on the side, I would recommend the online version to small businesses with fewer than 5-10 employees and revenues under $1 million that have very few transactions.  For companies that have multiple approval layers and AP invoices, you would need an add on app like Bill.com to handle.  We use Expensify and Bill.com to handle expense reporting and AP.  QuickBooks Enterprise edition would be a better fit for companies with more than a million in sales and more than 10 employees, but costs can add up on that platform.  
-Approval levels are very broad.  If I want to allow someone to add classes, I have to give them access to banking and reports that are only for partners to see.  Further a la carte customization for permissions would certainly be handy.
-Speed - even with high speed internet, processing multiple AP invoices is very slow compared to the desktop counterpart.  
-Accounting integration - when allowing accountants access to the company file, downloading the GL needs to go to excel.  If the GL is large, it may exceed the line limit for Excel.
-Some reports are unable to use the custom fields.  This creates problems when the custom fields are critical.  in our case, we can't run a report of payments received that includes project numbers.  In order to get that report, I need to use Zapier to extract payments as they come in and send them to a google sheet. So the only listing I have for payments listed with our custom fields is in Google sheets!"
Simon R.,President,"Marketing and Advertising, 1-10 employees",1-2 years,3,2,1,4,4,1,Capterra,12/04/2022,"Overall, if the  execution of Quickbook online would have been as good as the idea, its probably the software we would be using, but the execution is to me really terrible and we feel that the customers support really do the least to help out.","What Iiked the most about the software is the idea of having everything under one software, Quickbook is a great  ¨idea¨","We had such terrible experience with customer support. It was hard to talk to anyone and when we did they never tried to understand our situation or context. It was an experience we wish we never had.  Also once you start to use all the capability of the software you start to find all kind of limitation. We are also very disappointed that our business was not eligible to use the integrated payment processing module inside the invoice, this is the main reason we went back to our previous accounting software, Wave."
LeAnn S.,"VP, Operations","Non-Profit Organization Management, 11-50 employees",6-12 months,5,5,5,4,5,10,Capterra,11/12/2019,"We have realized much richer reporting, faster data entry and uploads, connection to multiple apps such as Bill.com, and a wealth of information readily available through QuickBooks training, online experts, and even YouTube videos.","We love that QuickBooks provides an online option that is easily accessible for all of our virtual employees and financial advisers.  It has been a breeze to use compared with our old system (Abilla MIP).  In today's digital age, we don't often need all the complexity - just the natural, simple, and efficient financial management systems.",The only thing we haven't liked is that our transition from MIP had to be done manually.  
Verified Reviewer,,"Information Technology and Services, 1-10 employees",1-2 years,4,4,3,3,3,8,GetApp,04/08/2022,Overall for bookkeeping and accounting this software is simple to use as long as you don't use other features like processing payments.,It was very easy to set up and use.  Interface is nicely laid out.  Reports are easy to find and prepare.,You are not able to create multiple invoice templates with different company names ie. one company with a numbered name and another with the business name.  Also you have no control over online payments.  Quickbooks will give you a chargeback but they won't release any info on the transaction so best not to use them for your online store.  Use another service.
prasad m.,manager,"Research, 1-10 employees",Less than 6 months,5,5,4,5,4,9,Capterra,30/05/2023,"Overall, about  QuickBooks Online Advanced my opinion is its a powerful set of features tailored to the needs of growing businesses. It provides advanced reporting, scalability, integration capabilities, and enhanced user permissions. With its robust automation and inventory management features, it can streamline  accounting processes and provide valuable insights into your business's financial health. The customer support is also good."," QUICKBOOKS ONLINE ADVANCED helped me to  create custom reports, track key performance indicators (KPIs), and generate visualizations to gain a deeper understanding of business's financial performance. Easy to set different user roles and restrictions to ensure that employees only have access to the data and features relevant to their roles. Helps me in maintain data security and confidentiality within  organization. It integrates seamlessly with numerous third-party apps and services, allowing you to extend its functionality. This integration capability enables  streamline our workflows, automate tasks, and connect accounting software with other business tools support me such as CRM systems or project management platforms. I received faster response times and dedicated support from QuickBooks experts who can assist you with any issues or questions you may have. The enhanced support can be particularly beneficial for businesses that rely heavily on the software for their day-to-day operations.The inventory management features, such as tracking stock levels, creating purchase orders, and managing multiple locations.  helps businesses with complex inventory needs efficiently manage their stock, streamline order fulfillment, and prevent stock outs or overstocks. Automation features that saved my  time and effort. It supports  me business with multiple location.Very helpful.", Integration Limitations ..its not a big issue 
Verified Reviewer,,"Oil & Energy, 201-500 employees",2+ years,5,5,4,3,3,7,Capterra,14/05/2023,"Lastly i would say that this product is very good for small to midsize companies, but for large entities it may not offer much benefit. i personally have very good experience using this software because of its user friendliness.","Ah , this product is a life savior, previously i was using a Fox pro base customized accounting software which was a big headache. this product is bug free and provided smooth book keeping experience. The best thing about this software is its user friendliness, which is in my opinion far better than any other software available .  ","what i don't like about this software is it limitation to customization, you can not change this according to your specific needs. some times times you need to customize your processes  and functions to fit in to QuickBooks advance. Secondly, this is for the small to mid size organizations not for big and multinational entities. For me i had difficulty in setting up project accounting because of less options are available. it is also to note that  there is no automated procedure for fixed assets capitalization like other ERPs"
Joe M.,COO,"Wholesale, 1-10 employees",2+ years,4,4,,3,,7,Capterra,11/12/2019,We were doing all of our accounting manually before and it got to a point where we could not keep up. Now none of our upcoming expenses are a surprise and we know with great accuracy what our financial position is while we are determining if an opportunity is right for us.,I like that it is universally used so no matter how many different financial professionals from how many different companies I have to deal with they are familiar with the software so there is no learning or teaching curve there.,The biggest flaw I would say is when a new 3rd party program comes out that works well with my business Quickbooks seems to lag behind in having some kind of integration available. Ideally I would like all my softwares so integrate with Quickbooks so that I can use the full power of the system.
Michael L.,President,"Construction, 11-50 employees",2+ years,4,4,4,4,4,8,Capterra,11/12/2019,"We experience little downtime, despite some slowing of speeds.  We're impressed with QBO at this time.",Many new features being updated regularly.  Does what we need it to do.,Speed improvements as our file grows is very important.
Eugene D.,Project Manager ,"Logistics and Supply Chain, 1-10 employees",2+ years,5,5,5,5,5,9,Capterra,05/05/2022,Overall QuickBooks online advanced is a excellent product without which our business would not run as smoothly I highly recommend this product to any small business.,It is very easy to use and does not require an enormous amount of training. I especially like being able to integrate directly into our electronic data interchange system as well as our bank. QuickBooks online advanced really brings all of the useful features together to create a platform that helps our business run smoothly.,"Although the help section is very thorough, it is not as easy to navigate. I wish there was an easier way. The graphic user interface could also use a little bit of improvement in terms of placing of features to make them more intuitive."
Sabrina R.,CFO,"Real Estate, 51-200 employees",2+ years,4,5,,4,2,8,Capterra,11/12/2019,"Quickbooks Online Advanced overall has served our purpose well, especially as a small company, but as we continue to grow and with the expense increase we may need to look for other options that are more robust.  It was worth it to attempt to make the system work for the cost, but not so much anymore.",The software is easy to use and can be accessed by multiple people in multiple locations.  There are a multitude of videos available when attempting to do something new.,"The cost has increased from $30 to $150 per month, which is a major increase for what doesn't seem like a lot of extra tools.  The few things that our company needs cannot be helped with Priority Circle, we need the system to work more like desktop did.  "
Milena K.,Bookkeeper,"Accounting, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,13/05/2023,"I like how easy, reliable, and multi-functional QBO Advanced is. I use it for a client and it saves me time and money.",I like the many features QBO Advanced has to offer. It saves time and money. It is great for growing business. It is easy to integrate with many other apps if needed. ,"The least I like would be the price, however, with the many features it has to offer - it definitely is a must for a growing business with more complex workflows."
April F.,"Vice President, Secretary, Treasure","Restaurants, 11-50 employees",2+ years,5,5,3,5,5,10,Capterra,11/12/2019,"I am completely self taught with keeping books in my business.  Quickbooks online has made this even easier than any desktop version.  I have been using Quickbooks online since it first came out and I am pleased with the continual progress and improvements made to the system.  I feel the fees are very reasonable, but I do take advantage of  many of the features.  Payroll is the best feature.  It saves time and money.  I would never want to use an outside source unless I no longer had to do any bookkeeping myself.","Easy to set up and use.
Help section is very useful.
Most everything is intuitive to figure out.
It is great to access information from anywhere and anytime.
Mobile access is good.
The Pay Now feature with invoices is very nice and eliminates the need for credit cards.
",CHAT feature is hidden deep in trouble shooting.
Richard M.,Director of Operations,"Airlines/Aviation, 11-50 employees",1-2 years,4,3,5,5,5,9,Capterra,11/12/2019,,Quickbooks Online allows us to streamline our accounting process as well as inventory tracking. Our customers love to be able to receive estimates and invoices online as well as pay online. With unlimited chart of accounts and excellent reporting features we are able to monitor the pulse of the company daily. ,"If you are not an accounting guru, have access to an accountant or you do not understand debits, credits and accounting concepts you are going to feel lost. There is an extreme learning curve for small business owners who go from physical books and spreadsheets to Quickbooks Online. Once you learn everything you will find the software very helpful, but when you first get started odds are, you're going to inadvertently make a big mess of your books until you figure it all out."
Kavindu Githsara K.,System Specialist,"E-Learning, 11-50 employees",2+ years,5,5,5,5,5,10,Capterra,15/01/2023,"Overall, QuickBooks Online Advanced has been a valuable tool for our business. The user-friendly interface and automatic data backups have made it easy to use and the advanced reporting and inventory management features have provided valuable insights into our financial performance. While there are some limitations, such as limited customization options and higher cost, the benefits of this software outweigh the cons for our business.","As a user of QuickBooks Online Advanced, I have found it to be a reliable and user-friendly accounting software for our business. One of the biggest advantages of this software is the user-friendly interface that makes it easy to navigate. This has been a huge time-saver for my team, as we don't have to spend hours trying to figure out how to use the software. Another great feature of QuickBooks Online Advanced is the automatic data backups. Not only that, but also the advanced reporting and inventory management features have also been a great asset to our business, allowing us to track our inventory in real-time and generate detailed reports on our financial performance.",One of the downsides of QuickBooks Online Advanced is the limited customization options for invoices and purchase orders. 
Sara H.,Administrative ,"Construction, 11-50 employees",Less than 6 months,4,3,5,3,4,8,Capterra,12/12/2019,"Since switching to QBO Advance our company has not only been able to work efficient and effectively but also pinpoint trouble areas both within our financials and bookkeeping. We have been able to work towards correcting and improving these areas. Overall, we are very happy with our experience thus far with QBO Advanced. ","There are several features we find extremely convenient, including, the ability to directly connect our bank accounts, remote access to our software, and the at a glance profit and loss for projects. We also find the project feature to be the most useful and enjoy the hourly cost rate within projects to be extremely insightful. A final area we find extremely useful is the user permissions feature within QBO Advance; this feature has given us the ability to broaden our users and therefore increase our workflow efficiency without sharing our financial data. ","We have found the payroll add-on to be difficult to work with, specifically, distributing the different pay rates because our employees get paid different wages when working on government jobs as well was when they work overtime. Overtime does not seem to accurately pull from the time cards and pay appropriately for overtime. We also wish more payroll data had transferred when switching from desktop to online.  "
