Name,Role,Business Size,Validated,Source,Rating,Date,Title,What do you like best about Sage Intacct?,What do you dislike about Sage Intacct?,What problems is Sage Intacct solving and how is that benefiting you?
Jeff B.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-07-20,"""Amazing and Powerful!""","One of the best features of SAGE Intacct is the fact that you can connect and integrate third-party vendors via API to automate journal entries, transactions, and data from outside sources. This has enabled us to completely stop manual entries and has allowed us to us saved hours to focus on financial decision making. Review collected by and hosted on G2.com.",AR and AP aging is limited to certain filters and does not allow for customizing by other dimensions. A work-around is to go through custom reporting but dimensions should be included as an option. Review collected by and hosted on G2.com.,"The AP automation function has allowed us to quickly review, approve and make prompt payments to vendors. Prior to AP automation, all payables were entered manually, which was time consuming given the volume. Review collected by and hosted on G2.com."
D'Angelo R.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2023-07-22,"""Sage Intacct enhances the way you use Salesforce.""",The thing I like best about Sage Intacct is the integration with Salesforce. It's straightforward to set up and configure. It allows you to tailor the integration of your data to your company's needs. You also have a team of experts at Sage ready to help if needed. Review collected by and hosted on G2.com.,"The only thing I dislike or would improve in Sage Intacct would be the UX for admins. The navigation is a little tricky and convoluted. This may be a bit biased, but I would look to Salesforce for inspiration with how their setup is configured with a quick fin search and drop-down easily accessible within the Setup console. Review collected by and hosted on G2.com.",Sage is helping to solve our issues with accounting data management and analytics. Review collected by and hosted on G2.com.
Gabe J.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-06-09,"""Sage Simplifies""","Ease of understanding. I was able to produce reports and find detail day 1 of using Sage. Ability to further customize reports and dial in on desired info is straightforward. We don't spend much time ""training"" new employees to use Sage. Review collected by and hosted on G2.com.","Fixed Asset Module leaves a little to be desired, it seems a bit unpolished. It is helpful and detailed, but sometimes we are surprised by how it functions. Review collected by and hosted on G2.com.","Reporting. We can create detailed reports, P and L's with margins included. Journal Entries are a breeze. Recurring entries are easy to create, if multiple entries are needed we can duplicate easily and update the date. So while we are always trying to cut down on the amount of Journal entries needed at month end, we have no problem or time tax for creating many. The ease of use if exceptional. Review collected by and hosted on G2.com."
Allison B.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-08-02,"""The Best for Accounting""",You're able to do everything imaginable when it comes to accounting in Sage Intacct. I've used other accounting services and Intacct tops them all. It's easy to use and makes everything easier. Review collected by and hosted on G2.com.,I cannot think of anything that I dislike about Intacct. Review collected by and hosted on G2.com.,"Sage Intacct has helped automate a lot of accounting processes that otherwise would have taken a lot of time and effort to create from the ground up. The best part is that it syncs with everything we use automatically so that we don't have to pull data from all of our multiple sources. As someone who is very entry level knowledge of accounting, Intacct has made things easy to understand. Review collected by and hosted on G2.com."
Kristina S.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-05-23,"""Sage Intacct is a good accounting tool but is working towards more with Sage Intacct Construction.""",Sage Intacct offers a lot of robust reporting from a General Ledger perspective. Their financial and custom reports are easy to build and give customization as needed. The software is cloud based so can be accessed anywhere which is useful when travelling or working from home. Review collected by and hosted on G2.com.,"I work for a complex company that has acquired numerous other companies over the years. We have just converted over to Sage Intacct Construction but are working through a lot of bug issues and kinks to get the system to work for us. A lot of the kinks are industry standard for us, so we did not expect to run into these issues. Review collected by and hosted on G2.com.","They are working towards building out Sage Intacct Construction, which we have long needed. We are still working through bug issues and kinks, but we are in a better place now than we were a few years ago. Review collected by and hosted on G2.com."
,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.0,2023-07-28,"""A wonderful experience of accounting and book keeping""","We have come across some wonderful features about Sage Intacct -
- Data gets updated without much manual interference and most of the time data will be accurate
- We can generate some reports which help us analyse the data and come to necessary conclusion Review collected by and hosted on G2.com.","There are very minute things we think can be improved -
- Once the invoice status turns to ""Paid"" - we cant make any changes. In case the payment/credit memo is applied incorrectly, we cant edit the same. All we have to do is VOID the payment, which will again generate multiple entries.
- If we can make it more user friendly, it would be great. Many times, we would have a report which is very useful, but we would not know by its name. Review collected by and hosted on G2.com.","- Data gets updated without much manual interference and most of the time data will be accurate
- We can generate some reports which help us analyse the data and come to necessary conclusion Review collected by and hosted on G2.com."
Mark S.,Managing Director &amp; Founder,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-07-06,"""Outstanding ERP System""","Sage Intacct has to be one of the best ERP systems I have come across. It gives small/Medium enterprise the flexibility and customizability of a larger ERP system like SAP, without the cost and complexity. Definetley the future of ERP systems. Would highly recommend. Review collected by and hosted on G2.com.","No real dislikes about Sage Intacct. A desktop version of the system down the line may be useful, leveraging off the internal hardware processing power as opposed to being web based which can sometimes be slow. Review collected by and hosted on G2.com.","Project management and resource management is a massively useful function. The divisional setup we have implemented has allowed traditionally non finance staff (HoD's) to use the system with relative ease and gives them a real time view of project, billing and AR info. Review collected by and hosted on G2.com."
Sara O.,Accounts Receivable/Payable Specialist,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-07-12,"""Sage Intacct Review""","Sage Intacct is a pretty intuitive system. I started a new position in a company that uses Sage. I had no prior experience with the system, but found it pretty easy to pick up. The learning help provided by Sage was great as well, and has helped make the transition to a new role that much smoother. Review collected by and hosted on G2.com.","So far I find some of the reporting tools to be a little inefficient. Also, having to have exact information (such as customer or invoice numbers) to complete a search can be a challenge. It would be nice to be able to type in partial info and get results. Review collected by and hosted on G2.com.",It helps having all of our accounting functions in this one space. Review collected by and hosted on G2.com.
Scott S.,Collections Specialist,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,2.5,2023-05-18,"""It is pretty easy to get around the system but there's nothing that really sticks out""","User friendly and easy to read the information presented to you. The system is dependable and quick to load. There are some quirks to the system but once you have a good understanding of how it works, it is easy to get where you need. Review collected by and hosted on G2.com.",Maybe it is just the way our company has the system set up but it can be confusing finding the right area that I need to be. I also wish I could select multiple clients when printing invoices or statements. We have multiple locations set up for some clients but their customer IDs aren't consecutive so I have to do the search multiple times. Review collected by and hosted on G2.com.,"We use intacct for invoicing, which includes attaching documents to invoices. I really like being able to send those documents along with the invoices as emails directly to clients. It saves time and is very simple. Review collected by and hosted on G2.com."
Jaden T.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-07-07,"""Life Saver""","I like the fact that Sage is so easy to navigate.
In Sage, there's this box where you can upload file such as proof of your financial request.
Sage keeps everything organized so that even later on we can go back to review our document. Review collected by and hosted on G2.com.","The description box and justification for the payment box are repetitive since in the attachment box where you attach financial proof, they ask for a description already, so just minimize to 1 box to save time. Review collected by and hosted on G2.com.",Sage keeps everything organized and makes it easy to go back and review financial files. I like that Sage has prefilled items so that its just a click away from getting to the right financial folders. Review collected by and hosted on G2.com.
Amanda R.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-05-01,"""There are some great features and some so-so features""","The layout of the software is pretty simple to navigate. I like how you can customize your profile with your chosen color. Regarding the bill section, I like how you can put a bill on hold so you know if you should pay it or not. Review collected by and hosted on G2.com.","As powerful as the reporting section is, I find it tricky to figure out which report to pull to get my desired answers. And sometimes, when I want specific information in my report to make it easier to follow, the option to include that particular information is not an option. Review collected by and hosted on G2.com.","Where Sage helped with what I used it for what with the bills. If I received an invoice from a vendor and then checked the purchase order that went along with it and we did not receive those goods yet, I would just put the bill on hold and I could come back to it at a later time to check if we received those goods yet. It helped us with not paying for things that were not received yet. Review collected by and hosted on G2.com."
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.0,2023-07-20,"""If you need a No-frills system with state of the art capabilities, consider Sage Intacct""",The ability to work from anywhere in the world as long as you have internet is definitely one of the best qualities of Intacct. The Automation capabilties certainly speak for themself. Sage Intacct is best for small business trying to grow and want their accounting system to have their back. Review collected by and hosted on G2.com.,"Some features are clunky and time consuming to learn. The support team is always great to work with but they need to invest more to ensure that the response time is lowered.
Online training platform is available but there should also be live tutorials and popups on the fuctions we use so that we can learn the system on the go. Review collected by and hosted on G2.com.","Intacct is solving accounting issues for us. However, I feel that we still need to explore the full capabilities of the product which will add a lot of value to our business as a whole. Review collected by and hosted on G2.com."
Josh S.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-21,"""Easy to use, strong modules.  User friendly procedures, have experienced no downtime.""","The system assisted our shift to a paperless environment through shared access, electronic filing, and electronic approvals of payables. Dashboards and customized reporting are beneficial to agency leaders. Review collected by and hosted on G2.com.","The only thing, and it is small, is the general ledger reporting system, which summarizes transactions at the batch level. There is no easy visibility of the vendors and invoices that make up expenditures. It can be done in other ways, and drill-down capabilities work well, but if we could have vendor detail on general ledger reports of expense accounts, that would be helpful. Review collected by and hosted on G2.com.","Sage Intacct has increased our capacity for reporting and sharing data internally and externally with our board, finance committee, and funders. In addition, the technology allowed our Organization to adjust to hybrid and remote schedules without losing any functionality. Sage Intacct provides for external users in read-only mode, which assists our audit process. Electronic copies of invoices, bills, receipts, and invoices with support assist in our grant billing process. Our old system did not handle consolidations well and it wasn't easy to obtain reports and data that could be shared. Review collected by and hosted on G2.com."
Urbashi D.,Senior Business Operations Analyst,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.5,2023-07-06,"""An incredible, exceptional and powerful financial management solution""","I like Sage Intacct for its comprehensive reporting capabilities. Its intuitive design makes it easy to access key data within the programme quickly and efficiently, even without prior training or experience. The visually appealing interface is an added bonus, allowing users to focus on the more meaningful aspects of their work rather than trying to interpret information from a cumbersome report. Thanks to this intelligent platform management system, our department managers now have direct visual insight into relevant figures and are always up to date with any changes in activity. Review collected by and hosted on G2.com.","I find the lack of aesthetics and design in Sage Intacct disappointing. The pages are plain, almost sterile looking; not conducive to increased productivity or creativity. In addition, some modules, such as payment processing, can take an inordinate amount of time to load, which is a major hindrance when trying to get work done quickly. Review collected by and hosted on G2.com.","Sage Intacct saves me time by eliminating the need to manually enter invoices into my system. The ability to upload supplier IDs via file also makes it easier and faster for us, which has significantly improved our overall efficiency. Review collected by and hosted on G2.com."
Rebecca W.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-07-21,"""Most User Friendly Accounting Software I've Used""",Sage is extremly user friendly. Even for first time accounting users. It's by far the best system I have used. Customer service is fast whenever there is an issue which is very rare. Review collected by and hosted on G2.com.,The only thing that I dislike is that it automatically signs you out after so many active hours. It always falls at 2:00 PM during the work day and you have to sign back in. Small issue though. Review collected by and hosted on G2.com.,"It's extremely user friendly so even when I train someone who has never worked in accounting, they're able to catch on very fast. It also has so many useful reports that we use daily. Review collected by and hosted on G2.com."
Maddy V.,Accountant,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.0,2023-06-30,"""A very convenient book keeping software for accountants""","It is very user-friendly, easy to understand, and since it is a cloud-based accounting software, it can be accessed from anywhere in the world. It also duplicates transactions which makes invoicing very convenient to use. Review collected by and hosted on G2.com.",It does not have any feature to notify multiple vendors of payments made to them- this has to be done manually and gets very time-consuming when there are many vendors. It is also challenging to record discounts received from customers. Review collected by and hosted on G2.com.,"It is one stop software for all our accounting needs - we can use it for accounts receivables, payables, credit card and bank reconciliations, creating orders and. Sage also ties up with our organization's AP automation software - Yooz. Review collected by and hosted on G2.com."
Matthew B.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2023-04-17,"""Great flexibility, but customization takes too long.""","I like the flexibility of this platform as opposed to other, more rigid platforms I've worked with. In the past with other platforms, I couldn't just remove a bad entry. I would have to create reversals. Not having unnecessary reversals is helpful when it comes to the reconciliation processes. Because of this flexibility and the fact that there are rarely any reconciliation issues between the sub ledger and the general ledger, I'd highly recommend this software pack. Review collected by and hosted on G2.com.","What I dislike most about the software is the lack of customization of the platform. It took me three months to get a working invoice template from them. I would also like to add that the color schemes and company logo cannot show a semi-customizable platform. Creating a color coding system for divisions in the software would be most useful. They are getting along the way with some automated tasks, but there is still a long way to go to complete push-button automation. Review collected by and hosted on G2.com.","Managing multiple companies and bank accounts that do not have API's is most laborious. I would much rather have an AI discern items, and then the user reviews the AI's work for accuracy, including reading and reconciling a bank statement. Managing a workup for pre-paids processing by working out the expense period where possible without input from the user. Managing a detailed and easily reportable fixed assets schedule and entry detail, making disposition seemless. Essentially I would like the automation that would allow a Fortune 500 to be run by a single individual and an interconnected network of users that could invoice and pay across the platform. Review collected by and hosted on G2.com."
Alvin P.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-07-28,"""Sage Intacct does everything it needs to for the typical employee.""","The overall simplicity, ease of use, and accessibility options are what I like best about Sage Intacct.
What could be improved is to have a shortcuts button on the homepage to go directly to pages you visit often. Review collected by and hosted on G2.com.","Overall I like Sage Intacct and don't have many criticism on the finance/billing software itself but a nice quality of life change would be to add a ""frequently visited page"" Review collected by and hosted on G2.com.","Sage Intacct is solving our organization's use of billing hours down to the granularity of the hour. It allows to monitor how we charge clients, parent company, lock in PTO, etc. Review collected by and hosted on G2.com."
Mercelcot T.,Assistant data analyst; Information Services,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-07-25,"""Efficient financial management tool with a user friendly interface""","I like the toools intuitive user interface which make it extreemly easy to navigate and use the advanced features.
The tool provides us with highly customizable reports making it possible for us to leverage the insighful information from our financial data
The customer support of Sage Intacct is also one of the best and they are highly responsive and ready to help incase of any issue Review collected by and hosted on G2.com.",Sage Intacct works great and the only on i can point out is the learning curve which might be abit high to new users despite the tool having an easy to use interface Review collected by and hosted on G2.com.,"Sage Intacct is one of a kind tool that has been the backbone of our accounting revenue and espense management.The tool is crucial for our project tracking and accounting , allowing us to monitor project expenses, revenue, and profitability Review collected by and hosted on G2.com."
Dominic P.,National Account Manager,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-06-30,"""The best accounting ERP system for your business""","I particularly like the ability to drill down into real-time financial analysis and budgeting. Sage Intacct gives you unparalleled insight so you can make proactive decisions faster than ever before. You can view revenues and expenses by month or quarter; analyse variances between projected and actual performance with graphical representations for easy comparisons; create custom dashboards of key indicators such as accounts receivable versus sales orders, different types of activity related numbers that are continuously monitored along with many other available metrics within the system all provide amazing capabilities that bring a business closer to being 'fully informed' at every decision point. Review collected by and hosted on G2.com.","I find it frustrating that the project and task columns in Sage Intacct are so limited. With no means of expanding them, all names are truncated at a certain length and become difficult to differentiate when they start with similar titles. The same problem exists with the Tasks column, making it difficult for me to interpret the data efficiently. Review collected by and hosted on G2.com.","I use Sage Intacct to facilitate financial analysis, budgeting, and reporting. I've found the reconciliation module to be particularly helpful; it has enabled me to streamline my financial operations in a shorter period of time. Review collected by and hosted on G2.com."
Zach G.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-06-30,"""Wonderful and flexible cloud based accounting solution""","Sage's strength is its ease of use. Modules and applications are laid out logically, and the ability to customize workflows or create new workflows and reports based on company needs is fantastic. Couple that with the best online support documentation that I have seen, and you could competently build or rebuild an instance of Sage with just the written online documentation Review collected by and hosted on G2.com.","What can be frustrating about Sage is the complexity of custom reports. While the options for custom report creation are almost endless, the dizzying amount of options also makes custom reports tedious and challenging to generate. Creating an additional layer in custom reports with streamlined options for quick report creation while leaving the detailed option that currently exists would be an improvement to Sage. Review collected by and hosted on G2.com.","For us, Sage is a flexible cloud-based solution. Sage provides many options for how data can be labeled and stored. These options give the user multiple ways to pull reports and data from different angles to help make the best analysis possible. Our company is spread out and operates many small locations so the cloud-based system allows access to the system anywhere there is interet. Review collected by and hosted on G2.com."
Gabrielle C.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-07-26,"""a bit of a struggle getting used to after so long with another program but is easy to navagate!""","Everything seems to be a bit easier to find then in our previous accounting program, the search areas make it way easier to find anything you may need help on! ty! Review collected by and hosted on G2.com.",It doesn't like when you invoice more then one line at a time/ product. Being able to alt down more effiecently when invoicing would be more time effiecent as it seems to only work when on quantity and descriptions. Review collected by and hosted on G2.com.,Personally it makes the invoicing more difficult but on the other end of things much easier! closing book/ balancing/ running reports are all way more effiecent than past programs Review collected by and hosted on G2.com.
Kathy R.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-04-13,"""Easy to use and customize""","I've been using Sage Intacct for six years now to handle accounts payable for our church. In addition to making expenses tracking a breeze for us, I appreciate the ""duplicate last check"" feature as many of our bills are the same each month. The Reports feature is SOOOO helpful at tax time to help us find vendors that are eligible for W9's. It also has a multiple campus feature which will come in handy when we launch a second church campus in the near future. Would definitely recommend giving this software a look for accounts payable needs! Review collected by and hosted on G2.com.",It would be great if we could have the ability to adjust where the memo line appears on our checks. We recently changed check vendors and the memo now prints in the border of the check. Unfortunately after speaking with Intacct I found that this feature was not available. Review collected by and hosted on G2.com.,Tracking our expenses by vendor and fund each year. The robust reports feature makes it easy to customize the data so you get all of what you need and none of what you don't. Review collected by and hosted on G2.com.
Hamza N.,Consultant - Finance Implementations (Sage Intacct),"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-17,"""Incredibly powerful encapsulated ERP system!""","Sage Intacct is an incredibly comprehensive system. It allows you to focus with an unrivalled depth into any single aspect of your financials. Regardless of the size of the aspect, the ability to report on it is extensive. I personally love the Financial Report Writer, you can on demand create reports which are tailored to exactly how you need them to be. Allowing for professional, detailed and accurate reporting. Review collected by and hosted on G2.com.","For someone who has never used a financial system before, the learning curve is steep. Understandably with the product tailored more towards the US market, some terminologies do take some getting used to, but it is just a case of learning. Review collected by and hosted on G2.com.","The system allows you to fixate on the elements of your business that other smaller software cannot tailor to. Because of the sheer level of customization, my processes can be exactly how I need them to be. Review collected by and hosted on G2.com."
Hunter E.,Billing Specialist; Accounting,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-07-27,"""A strong invoice system that is easy to use, easy to digest, and efficient.""","The most helpful thing would be the different entity levels allowing for me to keep my work separated, but also easily accessable and attainable. The color coding is huge for me as well! Review collected by and hosted on G2.com.",The only thing that Sage Intacct that frustrates me is the lockout time. I would prefer to be able to stay logged in for a day since I constantly move around and log off. Review collected by and hosted on G2.com.,Sage is solving the problem of Invoicing. This program allows us to smoothly create an invoice and move it into our IMS system with no issues in the perfect format. Review collected by and hosted on G2.com.
