STR Number,Hotel Name,Address 1,City,State,URL,Hotel Name Found,Hotel Website URL,Hotel Phone Number,Avg Rating,# Total Reviews,Hotel Local Ranking,Rating - Location,Rating - Cleanliness,Rating - Service,Rating - Value,GreenLeaders GreenPartner,Traveler's Choice,Property Amenities,Room Features,Room Types,Hotel Class,Hotel Style,Location Rating 1,Location Rating 1 Text,Location Rating 1 Detail,Location Rating 2,Location Rating 2 Text,Location Rating 2 Detail,Location Rating 3,Location Rating 3 Text,Location Rating 3 Detail,# 5 Star Ratings,# 4 Star Ratings,# 3 Star Ratings,# 2 Star Ratings,# 1 Star Ratings,# QAs,# Room Types,Popular Mentions
10183,Hartford/Closest Downtown Hotel,207 Brainard Rd,Hartford,CT,https://www.tripadvisor.com/Hotel_Review-g33804-d83634-Reviews-Days_Inn_by_Wyndham_Hartford_Closest_Downtown-Hartford_Connecticut.html,Days Inn by Wyndham Hartford/Closest Downtown,,,3.0,251,#10 of 12 hotels in Hartford,3.4,3.1,3.7,3.5,FALSE,FALSE,"Free parking
Fitness Center with Gym / Workout Room
Wifi
Parking
Free breakfast
Pets Allowed ( Dog / Pet Friendly )
Shuttle bus service
Non-smoking hotel
Free High Speed Internet (WiFi)
Business Center with Internet Access","Flatscreen TV
Microwave
Room service
Housekeeping
Air conditioning","Family rooms
Non-smoking rooms",2.0,,,,,,,,,,,44,56,59,41,51,3,21,
10218,Rodeway Inn Pueblo,960 W Us-50 Hwy,Pueblo,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113,Knights Inn Norcross,5122 Brook Hollow Pky,Norcross,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10771,The Mutiny Hotel,2951 S Bayshore Dr,Coconut Grove,FL,https://www.tripadvisor.com/Hotel_Review-g34438-d87137-Reviews-The_Mutiny_Hotel-Miami_Florida.html,The Mutiny Hotel,,,4.5,"1,081",#25 of 155 hotels in Miami,4.7,4.3,4.4,4.2,FALSE,FALSE,"Boating
Hot tub
Happy hour
Paid private parking on-site
Bowling offsite
Pets Allowed ( Dog / Pet Friendly )
Wine / champagne
Sauna
Shallow end in pool
Concierge
Dry cleaning
Babysitting
Wifi
Heated pool
Self-serve laundry
Pool
ATM on site
Conference facilities
Baggage storage
Restaurant
Pool / beach towels
Clothes dryer
Valet parking
Banquet room
Bicycle rental
Meeting rooms
24-hour front desk
Breakfast available
Outdoor pool
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Washing machine
Electric vehicle charging station
Outdoor dining area
Laundry service
Spa
Kids' meals
Bar / lounge
Non-smoking hotel
Free High Speed Internet (WiFi)
Poolside bar","Desk
Walk-in shower
Kitchenware
Clothes rack
Wake-up service / alarm clock
Coffee / tea maker
Wardrobe / closet
Room service
Housekeeping
Private balcony
Air conditioning
Seating area
Sofa bed
Sofa
Refrigerator
Separate living room
Microwave
Bidet
Bath / shower
Oven
Kitchenette
Iron
Telephone
Flatscreen TV
Cable / satellite TV
Separate dining area
iPod docking station
Hair dryer
Safe
Private bathrooms
Laptop safe
Tile / marble floor
Bathrobes
Stovetop
Additional bathroom
Dishwasher
Radio
Dining area","Ocean view
City view
Family rooms
Pool view
Non-smoking rooms
Suites",4.0,"Value
Marina View",89,Good for walkers,Grade: 89 out of 100,62,Restaurants,within 0.3 miles,17,Attractions,within 0.3 miles,614,268,100,55,44,25,100,"in coconut grove
full kitchen
washer dryer
living room
one bedroom apartment
wedding party
within walking distance
pool area
restaurants and shops
coral gables
miami area
hotel restaurant
balcony
isaura
bay
units
cruise"
11146,"Motel 6 Mesa, AZ - South",1511 S Country Club Dr,Mesa,AZ,https://www.tripadvisor.com/Hotel_Review-g31281-d244404-Reviews-Motel_6-Mesa_Arizona.html,Motel 6,,,3.0,27,#38 of 63 hotels in Mesa,3.5,3.0,3.7,3.8,FALSE,FALSE,"Free parking
Vending machine
Wifi
Parking
Pets Allowed ( Dog / Pet Friendly )
24-hour front desk
Non-smoking hotel
Free High Speed Internet (WiFi)
Sun terrace
Business Center with Internet Access","Air conditioning
Kitchenette","Family rooms
Non-smoking rooms",2.0,,59,Somewhat walkable,Grade: 59 out of 100,44,Restaurants,within 0.75 miles,4,Attractions,within 0.75 miles,4,8,5,5,5,0,8,
11251,Motel 6 Dallas - Plano Northeast,2550 N Central Expy,Plano,TX,https://www.tripadvisor.com/Hotel_Review-g56463-d99353-Reviews-Motel_6_Dallas_Plano_Northeast-Plano_Texas.html,Motel 6 Dallas - Plano Northeast,,,2.5,28,#52 of 56 hotels in Plano,3.3,3.1,2.8,3.1,FALSE,FALSE,"Free parking
Wifi
Laundry service
Parking
Self-serve laundry
Pets Allowed ( Dog / Pet Friendly )
Pool
24-hour front desk
Non-smoking hotel
Free High Speed Internet (WiFi)
Outdoor pool
Sun terrace",Air conditioning,Non-smoking rooms,2.0,Budget,58,Somewhat walkable,Grade: 58 out of 100,87,Restaurants,within 0.75 miles,9,Attractions,within 0.75 miles,1,8,4,3,12,1,3,
11400,Rodeway Inn Auburn Foresthill,13490 Lincoln Way,Auburn,CA,https://www.tripadvisor.com/Hotel_Review-g29120-d81336-Reviews-Rodeway_Inn-Auburn_Placer_County_California.html,Rodeway Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235137103&geo=81336&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380191&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb1XrVJnDNQcl658iJwZURFzbSZwfmajagzXmJ6jljrq-&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=1df71243b81b4b14fe73133d7d87cae8e_umk,0018447792254,3.0,132,#5 of 8 hotels in Auburn,4.0,3.6,3.7,3.7,FALSE,FALSE,"Free parking
Newspaper
Wifi
Parking
Meeting rooms
Bicycle rental
Free breakfast
Pool
Pets Allowed ( Dog / Pet Friendly )
Hot tub
24-hour front desk
Breakfast available
Bar / lounge
Non-smoking hotel
Free High Speed Internet (WiFi)
Outdoor pool
Baggage storage
Business Center with Internet Access","Flatscreen TV
Microwave
Housekeeping
Air conditioning
Fireplace","Family rooms
Non-smoking rooms
Smoking rooms available",2.0,,59,Somewhat walkable,Grade: 59 out of 100,28,Restaurants,within 0.75 miles,2,Attractions,within 0.75 miles,14,44,41,17,16,0,40,
10486,Budgetel Inn Huntsville,2201 Memorial Pkwy NW,Huntsville,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Wyndham Garden Hotel Manassas,10800 Vandor Ln,Manassas,VA,https://www.tripadvisor.com/Hotel_Review-g60895-d971803-Reviews-Wyndham_Garden_Manassas-Manassas_Prince_William_County_Virginia.html,Wyndham Garden Manassas,,,3.0,530,#18 of 23 hotels in Manassas,3.9,3.5,3.3,3.4,FALSE,FALSE,"Indoor pool
Newspaper
Sun deck
Taxi service
Fence around pool
Wifi
Parking
Self-serve laundry
Pool
ATM on site
Conference facilities
Baggage storage
Restaurant
Sun terrace
Free parking
Vending machine
Banquet room
Meeting rooms
24-hour front desk
Express check-in / check-out
Photo copier / fax In business center
Outdoor pool
Business Center with Internet Access
Fitness Center with Gym / Workout Room
24-hour check-in
Kids stay free
Laundry service
Bar / lounge
Non-smoking hotel
Free High Speed Internet (WiFi)","Desk
Telephone
Refrigerator
Flatscreen TV
Cable / satellite TV
Microwave
Bath / shower
Coffee / tea maker
Wardrobe / closet
Wake-up service / alarm clock
Complimentary toiletries
Housekeeping
Iron
Hair dryer
Air conditioning
Safe
Private bathrooms","Family rooms
Non-smoking rooms",3.0,,,,,,,,,,,120,110,105,77,118,4,55,"room was clean
highway"
10823,The Remington Suite Hotel & Spa,220 Travis St,Shreveport,LA,https://www.tripadvisor.com/Hotel_Review-g40424-d483832-Reviews-The_Remington_Suite_Hotel_Spa-Shreveport_Louisiana.html,The Remington Suite Hotel & Spa,,,4.5,445,#3 of 40 hotels in Shreveport,4.6,4.7,4.7,4.5,FALSE,FALSE,"Indoor pool
Hot tub
Pets Allowed ( Dog / Pet Friendly )
Sauna
Concierge
Dry cleaning
Wifi
Heated pool
Parking
Pool
Conference facilities
Massage
Banquet room
Meeting rooms
24-hour front desk
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Laundry service
Spa
Non-smoking hotel
Free High Speed Internet (WiFi)","Refrigerator
Flatscreen TV
Microwave
Kitchenette
Air conditioning
Safe","Suites
Family rooms
Non-smoking rooms",3.0,"Romantic
Centrally Located",84,Good for walkers,Grade: 84 out of 100,24,Restaurants,within 0.3 miles,21,Attractions,within 0.3 miles,309,77,21,19,19,9,88,"cookie cutter
blind tiger
shreveport area
lobby
valet
bellman"
10044,Tulsa Extended Stay Inn & Suites,8525 E 41st St,Tulsa,OK,https://www.tripadvisor.com/Hotel_Review-g51224-d101900-Reviews-Tulsa_Extended_Stay_Inn_Suites-Broken_Arrow_Oklahoma.html,Tulsa Extended Stay Inn & Suites,,,2.0,24,#14 of 15 hotels in Broken Arrow,2.7,2.1,2.4,2.3,FALSE,FALSE,"Free parking
Wifi
Laundry service
Free breakfast
Self-serve laundry
Pets Allowed ( Dog / Pet Friendly )
Pool
Non-smoking hotel
Free High Speed Internet (WiFi)
Business Center with Internet Access","Refrigerator
Kitchenette","Suites
Family rooms
Non-smoking rooms",2.0,,,,,,,,,,,1,2,5,7,9,2,3,
11013,Hampton by Hilton Inn Nashville/Brentwood - I-65 South,5630 Franklin Pike Cir,Brentwood,TN,https://www.tripadvisor.com/Hotel_Review-g54914-d98153-Reviews-Hampton_Inn_Nashville_Brentwood_I_65S-Brentwood_Tennessee.html,Hampton Inn Nashville / Brentwood I-65S,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=139924038&geo=98153&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=899440&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380191&managed=false&capped=false&gosox=UesAOQ-3U6srp7y5lRpA4fY37RBGMg15qEprW9htWNg6QcaDIdoeaStH9X1x6fcbtTBJMWLqDYB4ZNe5zmZDbyfLAD784OLH09vNoS2lL8W2h8UIN6hfGrleiT3KhwXy&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=2&cs=14d36e9a6c3c7470dd7468944c51c68b1_j7A,18556050317,4.0,778,#5 of 22 hotels in Brentwood,4.5,4.5,4.4,4.1,FALSE,FALSE,"Shared lounge / TV area
Pets Allowed ( Dog / Pet Friendly )
Complimentary tea
Shallow end in pool
Fence around pool
Dry cleaning
Wifi
Children's television networks
Self-serve laundry
Pool
Baggage storage
Free parking
Vending machine
Pool / beach towels
Clothes dryer
Highchairs available
Meeting rooms
24-hour front desk
Express check-in / check-out
Outdoor pool
Outdoor furniture
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Breakfast buffet
Washing machine
Kid-friendly buffet
Laundry service
Free breakfast
Non-smoking hotel
Free High Speed Internet (WiFi)","Desk
Wake-up service / alarm clock
Coffee / tea maker
Wardrobe / closet
Housekeeping
Air conditioning
Sofa bed
Refrigerator
Microwave
Bath / shower
Iron
Telephone
Flatscreen TV
Cable / satellite TV
Interconnected rooms available
Complimentary toiletries
Hair dryer
Private bathrooms
Blackout curtains
Radio","Family rooms
Non-smoking rooms",3.0,"Mid-range
Family",59,Somewhat walkable,Grade: 59 out of 100,11,Restaurants,within 0.3 miles,4,Attractions,within 0.3 miles,408,209,83,49,29,3,42,"the lower level
the breakfast area
great stay
clean rooms
inns
nashville
interstate
elevator
linens"
11465,Bluebird Motel,1880 Main St,Cambria,CA,https://www.tripadvisor.com/Hotel_Review-g32148-d113957-Reviews-Bluebird_Inn-Cambria_San_Luis_Obispo_County_California.html,Bluebird Inn,,,4.0,467,#6 of 19 B&Bs / Inns in Cambria,4.4,4.5,4.2,4.2,FALSE,FALSE,"Free parking
Horseback riding
Wifi
Bicycle rental
Hiking
Outdoor fireplace
Non-smoking hotel
Free High Speed Internet (WiFi)
Outdoor furniture","Flatscreen TV
Sofa
Walk-in shower
Cable / satellite TV
Microwave
Bath / shower
Coffee / tea maker
Complimentary toiletries
Hair dryer
Housekeeping
Private balcony
Iron
Tile / marble floor
Private bathrooms
Fireplace","Family rooms
Non-smoking rooms",2.0,Centrally Located,78,Somewhat walkable,Grade: 78 out of 100,25,Restaurants,within 0.3 miles,31,Attractions,within 0.3 miles,182,188,67,13,17,6,100,"within walking distance
main street
nice stay
one night stay
garden view
bed was comfortable
road trip
sitting area
creek
motel
california
patio"
11726,Chantico Inn & Suites,406 W Ojai Ave,Ojai,CA,https://www.tripadvisor.com/Hotel_Review-g32817-d1165309-Reviews-Chantico_Inn-Ojai_California.html,Chantico Inn,,,3.5,157,#4 of 4 hotels in Ojai,4.1,3.4,3.6,3.1,FALSE,FALSE,"Newspaper
Hot tub
Fishing
Pets Allowed ( Dog / Pet Friendly )
Wifi
Children's television networks
Hiking
Pool
Secured parking
Sun terrace
Free parking
Massage
Vending machine
Horseback riding
Pool / beach towels
Outdoor pool
Outdoor furniture
Gift shop
Sun umbrellas
Free breakfast
Non-smoking hotel
Free High Speed Internet (WiFi)","Refrigerator
Microwave
Kitchenette
Bottled water
Air conditioning","Family rooms
Non-smoking rooms",2.0,,70,Somewhat walkable,Grade: 70 out of 100,43,Restaurants,within 0.75 miles,28,Attractions,within 0.75 miles,44,37,25,20,31,1,36,"antique furniture
stained glass
great pool
pool and jacuzzi
beautiful place to stay
pleasant stay
would definitely stay here again
southern california
lime
linens
vanity"
