item,URL,Name,# Star,Date,Title,Description,# Helpful
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,Amazon Customer,5.0,"June 27, 2023",Good for all life stages,"This will be the first time using an all life stage dog food. We just got Belle.10 days ago Her breeder has been using this brand for breeding border collies. If producing offspring's like Belle, I'm going to use it.",
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,Evie,5.0,"July 7, 2023",Quality food for my Frenchies & German shepherd,My dogs have shown great improvement in our coats and skin since I started using this product.,
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,wandapate54@yahoo. com,5.0,"July 1, 2023",taste great,Always packaged well. My dogs love this brand and I enjoy feeding them quality food.,
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,antonio,5.0,"July 1, 2023",My dog loves it,My GSD has been on this food for 4 months and loves it.,
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,bonnie young,4.0,"May 5, 2023",The food’s great… The delivery was obviously a rough ride,"My dogs like the product, the kibbles are uniform and solid, and there’s no crumbling in the bottom of the bag (40#). However, the box it came in was terribly beat up, and several kibbles were found loose in the box.",
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,Tanya Beard,5.0,"June 4, 2023",Dogs love it,Pricier but worth it,
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,the mimsy,5.0,"April 6, 2023",HER FUR CHANGED COLOR!!!,"No corn. High protein from animal sources ( Dogs are carnivores ya know). Read the the label! All kinds of good stuff! We have two Australian Shepherds. They are young and high energy. ""Oy"" is black and white. The underside of her tail and legs were a dull beige. But this fur turned a beautiful auburn when I insisted that we improve the quality of food with Victor. Need I say more?",
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,Joe c,4.0,"March 1, 2023",Highly recommend the food but maybe not how its delivered from amazon,"Have 2 belgian malinois and they thrive on this, just wish theyd figure out how not to have food all over the place",6
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,Mary,5.0,"April 1, 2023",Great brand,"We switched our dogs over to this better quality food not to long ago, it takes them longer to finish the bag since the food it more filling.Love that we can get this on Amazon buying it at the store is harder to carry around",
"Victor Super Premium Dog Food â€“ Professional Dry Dog Food â€“ Super Premium Dog Food with 26% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Classic-Professional-Dry-Food/dp/B00ESCZBYQ/ref=sr_1_3?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-3,Amazon Customer,4.0,"December 7, 2022",A great value,Was looking for a new food since the one blend of Purina One was discontinued. Pretty good ingredients and my Greyhound loves it,One
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Harrie,4.0,"July 15, 2023",Dog food,"My dogs didn't like it. The kibble size is good for small dogs, mine are spoiled dachshunds &amp; they didn't care for it.",One
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Amazon Customer,5.0,"June 20, 2023",Last shipment came torn and taped together...,We've used Victor for three years and haven't had a problem. Hopefully the food isn't contaminated this shipment as we're feeding it to the dogs...had to transfer food to another container.,2
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Scarlett,5.0,"June 20, 2023",Passes the picky test,My picky Aussie absolutely loves this. I will be ordering this again,
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Jeannette A. Douget,5.0,"April 28, 2023",She loves it,"Smell is kinda strong for me, but my older dog likes it. And she now has regular solid bowel movements which is great when you live in an apartment and have to pick up all the time. Each senior food I have tried were okay but I could never find it in stock after a few bags. Hoping this one stays available since it's working so well for her.",2
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Dkmama,5.0,"May 20, 2023",Dog food my dog enjoys,"Our dog loves this dog food,- and a bag arrives every few month",
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Jordan,4.0,"April 13, 2023",Disappointed.,This bag of dog food made my dog sick. It looked different than the other bags I had received.,2
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Fox Messner Wright,5.0,"May 12, 2023",Dogs really like this product.,Best product I've found for the price.,
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,H Swanson,4.0,"January 18, 2023",My dog likes it.,That's really all that matters at the end of the day. Hopefully he'll drop some more weight.,4
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,CHERYL PETERSON,4.0,"November 4, 2022",Delivery substandard,"I received package resealed. Apparently the box and product had been sliced open. On opening, I had a pile of dry dog food on my family room, which of course, my dog loved however I did not. She is still looking for spill from the sp,it bag.",4
"Victor Super Premium Dog Food â€“ Purpose - Senior Healthy Weight â€“ Gluten Free Weight Management Dry Dog Food for Senior Dogs with Glucosamine and Chondroitin, for Hip and Joint Health, 5lbs",https://www.amazon.com/Victor-Senior-Healthy-Weight-Food/dp/B00HC4JD5A/ref=sr_1_2?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-2,Nellie-- a blind shopper,5.0,"March 28, 2021",super dog food!,"Another update: Rosy has kept the extra weight off still another year later. Her coat is beautiful, her stool is always consistent, she is doing fantastic!! This has gone up $10 the past year but it is for sure worth it! Update one year later: Rosy is still at the perfect weight after a year! She has lots of energy, a super shiny coat and is doing fantastic! I am very blessed to have a black lab guide dog from OccuPaws in Madison Wisconsin because I am blind. Little miss Rosy and I gained a few pounds during this crazy pandemic due to lack of us being able to get out. I put her on the senior formula of Victor and she has lost 7 pounds. She loves the food, I am very happy with it! You know if a guide dog school recommends it, it has to be good! Rosy is 60 pounds and I feed her 3/4 cups twice a day with a few treats in between. Very happy with this food and would recommend to anyone!!!! Now if they just had a formula for me it would be super!! :)",24
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Lord Marmoset,5.0,"May 25, 2023",Our dog loves this food,"I was looking for a good quality dog food that did not cost an arm and a leg. When I found this one I got what I was looking for. It has quality ingredients and my vet says it looks to be a very good dog food. The most important thing however is that my dog loves it. The only thing that could be better is if he preferred it over people food. I have resigned myself to the fact that there is no such dog food. My dog does however readily eat this food and appears to enjoy it a great deal. We feed him according to the package guidelines and my dog is healthy and is not gaining or losing weight and the vet says he is very healthy. Therefore, I give this food 5-stars.",4
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Henry P,5.0,"June 26, 2023",My dogs love this food,Good firm poops always. I like that it comes in a thirty pound bag. 40 pounds is too heavy for me.,
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Mommyof2,5.0,"June 21, 2023",Dogs love it,This is the only brand I will buy now. It's healthy for your dogs. It's next to being the cheapest if your on a budget. And it's for all ages,
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Amanda Rowzee,5.0,"June 18, 2023",Texas made!!!!,Our dogs love this food and I originally tried it because of the ingredients and it is Texas made. Thank you for caring for our pets.,
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Amazon Customer,5.0,"June 18, 2023",The Dogs loved it!,My dogs are picky eaters and they loved this dog food!,
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Wendy Borst,5.0,"June 3, 2023","My dogs, but this",My dogs were having daily upsets on another dog food and I switch them over to this and haven’t had one vomiting issues since,One
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Holly R,4.0,"April 7, 2023",Happy with dog food,My dog had some allergy testing this was one of the foods that were recommended safe that she could eat. She seems to love it and its not expensive she also seems to no longer have diarrhea like she had before switching. I also give her merrick can food which she can eat as well.,2
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Rose,4.0,"February 28, 2023",Good but not great,"My older dog will eat it if she has to after a couple days, but she’s not very excited for the taste. I appreciate that it doesn’t have a strong smell and doesn’t seem to cause any digestive issues. But for the price I will prob try a different brand next time.",
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,Aaron Ross,5.0,"May 2, 2023",Absolutely outstanding!,"I highly recommend this product. My dogs think it tastes absolutely amazing, it's highly affordable, in the ingredients are top of the line.",One
"VICTOR Classic - Multi-Pro, Dry Dog Food, 30-Lb Bag",https://www.amazon.com/VICTOR-Multi-Pro-Dry-Dog-Food/dp/B01IB156BW/ref=sr_1_4?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-4,M Howell,3.0,"June 13, 2023",Smells strange,"The bag arrived with tape on one corner- didn’t look open. However, there is a strange smell to the food. I hate to be suspicious but I’ve bought this same food for years and never noticed the smell. My dog already has health problems… and I just can’t take a chance on this bag of food!!",
"VICTOR Super Premium Dog Food â€“ Hi-Pro Plus Dry Dog Food â€“ 30% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Super-Premium-Dog-Food/dp/B00CJLP4EA/ref=sr_1_1?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-1,Cricket,4.0,"May 26, 2023",Still waiting for refund,"The dog food is great, but when I ordered this time, 4 days later was told it's undeliverable. Still waiting on a refund and it's been over a month. What's the deal?",6
"VICTOR Super Premium Dog Food â€“ Hi-Pro Plus Dry Dog Food â€“ 30% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Super-Premium-Dog-Food/dp/B00CJLP4EA/ref=sr_1_1?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-1,Robert A Lyau,4.0,"May 13, 2023",Green Bag,Love the product...price growing and product is always out of stock...other then that the product has 5 stars from ME..,
"VICTOR Super Premium Dog Food â€“ Hi-Pro Plus Dry Dog Food â€“ 30% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Super-Premium-Dog-Food/dp/B00CJLP4EA/ref=sr_1_1?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-1,Leilani Cortez,5.0,"June 7, 2023",My dog loves it,"Since using my dog has a fuller coat, shiny and thick",
"VICTOR Super Premium Dog Food â€“ Hi-Pro Plus Dry Dog Food â€“ 30% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Super-Premium-Dog-Food/dp/B00CJLP4EA/ref=sr_1_1?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-1,Compi,5.0,"June 11, 2023",Love it,My dogs love it,
"VICTOR Super Premium Dog Food â€“ Hi-Pro Plus Dry Dog Food â€“ 30% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Super-Premium-Dog-Food/dp/B00CJLP4EA/ref=sr_1_1?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-1,Rachel,5.0,"June 3, 2023",Excellent food,Very happy with this food. We use it for our show dogs,
"VICTOR Super Premium Dog Food â€“ Hi-Pro Plus Dry Dog Food â€“ 30% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Super-Premium-Dog-Food/dp/B00CJLP4EA/ref=sr_1_1?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-1,Todd & Judy Borsodi,5.0,"February 28, 2023",Highly Recommend if you have a Active Dog!!,"I highly recommend if you have a very active dog that has issues with weight gain, and also with elderly dogs with weight gain issues.. I have a Black Lab Mix beautiful Lady that is getting up there in age. She was always a very active dog that enjoyed daily swims in the Ocean Bays along with long daily walks. Even back then I had issues with keeping weight on her and tried many different feeds. We adopted a Rhodesian Ridgeback about six years ago. He is a Certified Service Dog and when not working he is full of high energy. Which is great and so nice to see him run and play.. Now that we have him and my lab girl on Victor they both have really filled out nice .. Pros - Dogs have filled out and nice muscle gain. Less waste to pickup. My older girl has more energy. Cons- Just wish it was cheaper",7
"VICTOR Super Premium Dog Food â€“ Hi-Pro Plus Dry Dog Food â€“ 30% Protein, Gluten Free - for High Energy and Active Dogs & Puppies, 40lbs",https://www.amazon.com/VICTOR-Super-Premium-Dog-Food/dp/B00CJLP4EA/ref=sr_1_1?crid=5Z3X6THFKRW5&keywords=Victor+Pet+food&qid=1689774582&sprefix=victor+pet+food%2Caps%2C110&sr=8-1,jody,5.0,"May 29, 2023",Great price,Product was ok. No longer have dogs please cancel future orders,
