Product,Price,Name,Rating,Age,Gender,SkinConcerns,SkinType,Quality,Effectiveness,Tile,Review,# Helpfull,# Unhelpfull,Date
Eye Renewal Serum,150,Frances R.,5,65+,Female,"Firming & Volume Loss, Uneven Skin Tone",Dry,5,4, I met Dr. Greg Brown , I met Dr. Greg Brown many years ago when he was just launching the company and have stayed in touch through the years. I always purchase the eye renewal serum when I can. ,0,0,2/20/2023
Perfectif Night Even Skin Tone Cream,275,Rita B.,5,65+,Female,"Fine Lines & Wrinkles, Hydration",Dry,5,5, I love this cream! It ," I love this cream! It has made a dramatic difference in fading some ugly age spots on my face and chest. Patience is key. It took a year, daily application before everything was gone but well worth the time and effort. ",0,0,6/14/2023
Moisturizing Renewal Hydrogel,235,Deborah M.,5,65+,Female,"Dark Circles and Puffiness, Radiance, Firming & Volume Loss, Fine Lines & Wrinkles, Hydration, Blemish Control",Combination,5,5, Moisturizing Renewal Hydrogel is my , Moisturizing Renewal Hydrogel is my favorite skincare product. My skin and skin tone has improved greatly since I began using this serum. It is first step of my beauty regimen every morning and the last step of every night. Thank you for such an amazing ,0,0,5/15/2023
Moisturizing Renewal Eye Cream,150,Rosalind M.,5,65+,Female,"Hydration, Fine Lines & Wrinkles",Dry,5,5, Great moisturizer , I use the moisturizer and face cream. I have dry tight skin and when I use these products it really softens my skin and feels wonderful. ,0,0,7/18/2023
Moisturizing Renewal Cream,195,Marissa,5,35-44,Female,"Fine Lines & Wrinkles, Firming & Volume Loss",Combination,5,5, Perfect night cream , This is everything I am looking for in a new cream. Exfoliating for a nice glow and very hydrating. It’s great for my skin as I start to worry more about fine lines and firmness ,0,0,5/3/2023
Moisturizing Renewal Day Cream,195,Margie W.,5,65+,Female,"Hydration, Fine Lines & Wrinkles, Firming & Volume Loss, Uneven Skin Tone",Normal,5,5, Love it! , Love it! ,0,2,11/13/2022
Moisturizing Renewal Day Cream,195,Vicki N.,5,55-64,Female,"Firming & Volume Loss, Uneven Skin Tone, Fine Lines & Wrinkles",Combination,5,5, Love this product beyond! SPF , Love this product beyond! SPF plus firming and moisturizing! Winner! ,0,2,11/13/2022
Moisturizing Renewal Day Cream,195,Melita R.,5,65+,Female,Firming & Volume Loss,Combination,5,5, Perfect Day Cream , Moisturizing Renewal Day Cream makes one's skin feel soft and supple. The fact that it has an SPF 30 is an added benefit. ,1,2,11/13/2022
Peau Magnifique Serum,750,Linda M.,5,65+,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Hydration","Dry, Normal",5,5, I’ve definitely noticed an improvement , I’ve definitely noticed an improvement in the texture of my skin. I use this Nightly Serum as a booster for the months in between my use of the 28-day Peau Magnifique Serum. I receive many compliments on my skin. Thank you Dr. Brown. ,2,1,2/1/2023
Peau Magnifique Serum,750,Elena P.,5,45-54,Female,Firming & Volume Loss,Combination,5,5, This is my second bottle , This is my second bottle and I use it after I did laser to more dramatic results. ,0,2,2/1/2023
Peau Magnifique Serum,750,Melita R.,5,65+,Female,Fine Lines & Wrinkles,Combination,5,5, This nightly serum is the ," This nightly serum is the best of any similar products I have tried! My skin has changed in a very positive way, and wrinkles, which bothered me, are gone! It has a place of honor on my vanity! ",2,1,2/1/2023
Peau Magnifique Serum,750,Constance F.,5,45-54,Female,"Uneven Skin Tone, Fine Lines & Wrinkles, Dark Circles and Puffiness, Hydration",Normal,5,5, This product even my skin , This product even my skin tone and look youthful. ,0,0,2/1/2023
Intensité Volumizing Serum Ultime,600,Sandy H.,5,65+,Female,"Hydration, Dark Circles and Puffiness, Radiance, Fine Lines & Wrinkles, Uneven Skin Tone",Dry,5,5, 2nd bottle…love the product , 2nd bottle…love the product ,0,0,4/27/2023
Intensité Volumizing Serum Ultime,600,Risha B.,5,65+,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles",Dry,5,5," I have aging, dry skin. "," I have aging, dry skin. This serum makes my skin soft and glowing. ",0,0,4/27/2023
Intensité Volumizing Serum Ultime,600,Linds E.,5,65+,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles","Dry, Combination",5,4, Love the compliments I am , Love the compliments I am getting after using this! ,1,0,4/27/2023
Masque Des Yeux,28,Andrea P.,5,45-54,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Hydration, Radiance",Dry,5,4," Light and refreshing, would absolutely "," Light and refreshing, would absolutely continue using to look fresh and awake ",0,0,6/23/2023
Masque Des Yeux,28,Maria M.,4,55-64,Female,"Dark Circles and Puffiness, Uneven Skin Tone, Hydration",Dry,5,5, Great eye mask! ," This is the only thing that helps my under eye puffy bags. They only reason I am giving them 4 stars is because they are pricy, but well worth the splurg. ",0,0,6/23/2023
Masque Des Yeux,28,Simone M.,5,55-64,Female,"Dark Circles and Puffiness, Firming & Volume Loss, Fine Lines & Wrinkles",Combination,5,5, Masque for eyes , Excellent product.It really helps with bags under eyes and make you look rested . ,0,0,6/23/2023
Masque Des Yeux,28,Vladimir R.,5,55-64,Female,Hydration,Combination,5,5, working , working ,0,0,6/23/2023
Masque Des Yeux,28,Tanisja J.,5,45-54,Female,"Dark Circles and Puffiness, Hydration, Fine Lines & Wrinkles, Blemish Control",Combination,5,5, Eye mask , Loved the eye mask!! Notice moisture instantly ,0,0,1/19/2023
Eye Renewal Serum,150,Dee C.,5,65+,Female,"Fine Lines & Wrinkles, Dark Circles and Puffiness, Firming & Volume Loss, Uneven Skin Tone",Normal,5,4, Perfect eye serum , It seems to help my puffiness and doesn’t crack or leave a residue like other serums . ,0,0,2/20/2023
Eye Renewal Serum,150,Eda W.,5,45-54,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles",Combination,5,5, Effective Product ," I have been using this for quite a number of years on and off as I have also tried the other anti-aging eye serum. They are both great products. I used to have a deep line underneath my right eye and after I tried the sample of this product, I found that the line gets lighter, Then I bought my first bottle. After using up that bottle, the line was completely gone. Since then I continued using this serum. ",1,0,2/20/2023
Eye Renewal Serum,150,Sharon R.,3,65+,Female,Fine Lines & Wrinkles,Normal,4,3, At my age you have , At my age you have lines and that’s it. We have to live with them! ,0,0,2/20/2023
Perfectif Night Even Skin Tone Cream,275,John B.,5,25-34,Male,"Hydration, Dark Circles and Puffiness",Combination,5,5, Great product , Greatly cleared up my skin within the first two weeks. ,0,0,6/14/2023
Perfectif Night Even Skin Tone Cream,275,Klaudia W.,5,35-44,Female,"Hydration, Fine Lines & Wrinkles, Firming & Volume Loss",Dry,5,5," Lovely formula, lightweight but hydrating. "," Lovely formula, lightweight but hydrating. My skin was visibly brighter and even. I highly recommend this night cream. ",0,0,6/14/2023
Perfectif Night Even Skin Tone Cream,275,Rebecca C.,5,45-54,Female,Uneven Skin Tone,Normal,5,5, This works! ," I am mostly using this to fade some stubborn but fairly light sun spots that have not gone away despite IPL, Fraxel, micro needling, hydroquinone and other retinol products. A couple weeks into using this, I have noticed considerable fading. Sun spots are not totally gone yet and this was combined with additional IPL treatments, BUT I think this product is what has made the most difference. So while it may be an expensive product, it is actually a bargain compared with those other solutions. ",4,0,6/14/2023
Perfectif Night Even Skin Tone Cream,275,Cherry T.,5,35-44,Female,"Blemish Control, Firming & Volume Loss, Fine Lines & Wrinkles",Oily,5,5," Mild but effective, smelll great "," Mild but effective, smelll great too ",0,0,6/14/2023
Moisturizing Renewal Hydrogel,235,Raquel H.,5,45-54,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles, Uneven Skin Tone, Radiance",Dry,5,5, I love this! The scent ," I love this! The scent is wonderful. Spreads so evenly, great texture. A little goes a long ways. My face glows. I’ve added this to my regimen. ",0,0,5/15/2023
Moisturizing Renewal Eye Cream,150,Marissa,5,35-44,Female,Fine Lines & Wrinkles,Combination,5,4, Wonderful eye cream ," This eye cream has helped with moisture retention underneath my eyes. This area is always delicate and my eyes are sensitive, but this cream hydrated without any irritation. It feels great going on and I feel like my under eye is well hydrated. ",0,0,7/18/2023
Moisturizing Renewal Eye Cream,150,Rebecca L.,5,55-64,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Hydration",Dry,5,, Keep coming back to this.... , It's my favorite night cream. Keeps my skin glowing. ,0,0,7/18/2023
Moisturizing Renewal Eye Cream,150,Lucia D.,5,65+,Female,Fine Lines & Wrinkles,Normal,5,5, Excellent , Excellent ,0,0,7/18/2023
Moisturizing Renewal Eye Cream,150,Shary L.,5,,,,,,, OLD EYES HELP!! ," LOVE THE TEXTURE AND RESULTS. A BIT EXPENSIVE, BUT WORTH IT! ",0,0,7/18/2023
Moisturizing Renewal Eye Cream,150,Cheryl A.,5,55-64,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles",Dry,5,5, Love the texture and moisturizing , Love the texture and moisturizing for my sensitive eyes ,0,0,12/8/2022
Moisturizing Renewal Day Cream,195,Mary H.,5,65+,Female,"Hydration, Fine Lines & Wrinkles",Normal,5,4, A luxurious cream , A luxurious cream ,0,2,5/18/2022
Moisturizing Renewal Cream,195,laurel m.,5,55-64,Female,"Blemish Control, Fine Lines & Wrinkles, Uneven Skin Tone",Combination,5,5, An amazing product! , I’ve used the Moisture Renewal Cream for the last 10 years! It’s eliminated my breakouts and evened skin tone and wrinkles. Wouldn’t think of using anything else. ,0,0,5/3/2023
Moisturizing Renewal Cream,195,Corrine R.,3,65+,Female,Fine Lines & Wrinkles,Dry,5,5, I have used many products , I have used many products over the years...expensive products.  ,0,0,5/3/2023
Rescue Elixir,285,Wendy T.,1,45-54,Female,Fine Lines & Wrinkles,Normal,1,1, A bit too thick for me , Too thick for me to use. I didn’t like the consistency of this on my skin. ,0,0,7/17/2023
Soleil Superiéur,115,Katie M.,5,35-44,Female,"Hydration, Radiance, Uneven Skin Tone, Fine Lines & Wrinkles",Dry,4,4," LOVE, LOVE, LOVE this sunscreen. "," LOVE, LOVE, LOVE this sunscreen. It goes on like a moisturizer and works well under make-up. ",0,0,7/18/2023
Intensité Crème Lustre Night,385,Hanna L.,5,35-44,Female,"Firming & Volume Loss, Hydration, Dark Circles and Puffiness",Normal,5,5, very good product , very good product ,0,0,3/10/2023
Fermitif Neck Renewal Cream,165,Stacey S.,5,45-54,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles",Dry,5,4, Love the product. The texture ," Love the product. The texture is amazing - sinks in, highly moisturizing, not greasy and effective. Would definitely buy again. ",0,0,7/7/2023
Moisturizing Renewal Lotion,195,Debra C.,3,65+,Female,Firming & Volume Loss,Dry,1,1, Ok , I don’t see any benefits ,0,0,5/22/2023
Sensitif Renewal Cream,215,Annamae F.,5,65+,Female,Hydration,Dry,5,5, Product helps my face feel , Product helps my face feel moist. I also love the SPF30 protection. ,0,0,7/10/2023
Balancing Toner,65,Susan K.,5,65+,Female,"Fine Lines & Wrinkles, Uneven Skin Tone, Firming & Volume Loss",Combination,5,5, Balancing Toner , My favorite and have bee buying this for over 5 years. Love it! ,0,0,6/23/2023
Foaming Cleanser,75,Susan K.,5,65+,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Uneven Skin Tone",Combination,5,5, Great cleanser. I have bee , Great cleanser. I have bee buying this product for about or more than 5 years. Love it! ,0,0,6/23/2023
Peau Magnifique Serum,750,Diana F.,5,55-64,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles",Dry,5,5, Smooth and Lovely , It feels so good! I just started using this and I already love it! ,1,0,3/7/2022
Intensité Volumizing Serum Ultime,600,EW,5,45-54,Female,"Uneven Skin Tone, Hydration, Fine Lines & Wrinkles, Firming & Volume Loss, Radiance",Combination,5,4, Great Products that Works ," This is my third bottle and I think it will be fair to make comments on it now. Although I don't have much obvious lines on my face, I can see a difference before and after using the product. My skin now is much smoother and a glow especially after sleep. My skin tone has improved and firmer. I got compliments that I look really young comparing to my actual age. The result actually is pretty instinct after a few use at the beginning and as I continue using it I can see result lasts and more obvious. It is an expensive serum yet it is worth the investment. Will keep it as one of my core skincare routine products for sure. ",0,0,4/27/2023
Masque Des Yeux,28,Ellen G.,4,65+,Female,Dark Circles and Puffiness,Dry,5,4, Helped with dark circles , Helped with dark circles ,0,0,1/19/2023
Masque Des Yeux,28,Vanessa L.,4,25-34,Female,Dark Circles and Puffiness,Combination,4,3," Mask is not dry, but "," Mask is not dry, but shape doesn’t fit good. Pretty good with fine lines, don’t seeing much result from eye depuffing nor dark circle. ",0,0,1/19/2023
Masque Des Yeux,28,Claudia E.,4,65+,Female,"Fine Lines & Wrinkles, Hydration, Firming & Volume Loss",Normal,4,4, First one I used was , First one I used was fabulous. The second one had a middle fold that would not straighten out. It did not have the same result. I had ordered another dozen or so & am serious to see how that works. ,0,0,1/19/2023
Eye Renewal Serum,150,Jan C.,5,65+,Female,,Normal,5,5, I have been using Revive ," I have been using Revive Eye Renewal Serum for many years and I am certain it is the reason my ""eyes"" are aging so well. Thank you for making an excellent product! ",0,0,2/20/2023
Eye Renewal Serum,150,Mary S.,5,65+,Female,"Fine Lines & Wrinkles, Uneven Skin Tone",Combination,5,5, Easily the best eye cream , Easily the best eye cream I have ever used. ,0,1,2/28/2022
Perfectif Night Even Skin Tone Cream,275,Damaris W.,3,65+,Female,Uneven Skin Tone,Dry,2,, Not Yet ," After a week of use, dark spots are still there. You're asking a little too soon in my humble opinion. ",2,3,3/17/2022
Moisturizing Renewal Hydrogel,235,Marissa S.,5,35-44,Female,"Firming & Volume Loss, Fine Lines & Wrinkles",Combination,5,4, Marissa S , I love this serum. It’s so great for summer because it’s lightweight but it’s very hydrating at the same time. My skin glows after I use it. I absolutely love it. ,0,0,5/15/2023
Moisturizing Renewal Eye Cream,150,Belle P.,5,65+,Female,"Blemish Control, Fine Lines & Wrinkles, Dark Circles and Puffiness",Normal,5,5, Been using this for at , Been using this for at least 5 years and it is without a doubt the best of all the rest! Does not irritate my eyes and softens small wrinkles and bags. I love it. ,0,0,12/8/2022
Moisturizing Renewal Eye Cream,150,Patty A.,5,65+,Female,Fine Lines & Wrinkles,,5,5, Renewal eye cream , I bought the eye cream and it is very rich  ,0,0,12/8/2022
Moisturizing Renewal Day Cream,195,Jun W.,5,45-54,Female,Fine Lines & Wrinkles,Normal,5,4, Moisturizing Renewal Day Cream / SPF 30 , absorb well and comfotable ,0,1,5/18/2022
Moisturizing Renewal Day Cream,195,Harriet U.,5,65+,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Radiance",Normal,5,5, Fabulous Face Elixir , I’ve been dedicated to these products for a very very long time. I credit the glycolic night cream and the day moisturizer with SPF for keeping my skin in truly excellent shape with scant aging….and I’m over 65!  ,3,0,5/18/2022
Moisturizing Renewal Day Cream,195,Connie Y.,5,65+,Female,Hydration,Dry,4,5, Excellent , Excellent ,0,2,5/18/2022
Moisturizing Renewal Day Cream,195,Ling J.,5,35-44,Female,"Fine Lines & Wrinkles, Dark Circles and Puffiness",Oily,5,5, Good !like it so far , Good !like it so far ,0,3,5/18/2022
Moisturizing Renewal Cream,195,Jo C.,5,65+,Female,"Hydration, Radiance, Fine Lines & Wrinkles",Combination,5,5, Best product ever , It’s best moisturizer over ever used. I’ve used many really nice one: revive us the best ever. ,1,0,5/3/2023
Moisturizing Renewal Cream,195,Adam X.,5,18-24,Male,Hydration,Oily,5,5, Adam , I have oily skin and this makes my skin so much nicer already with only using it for 3 weeks. ,1,0,5/3/2023
Moisturizing Renewal Cream,195,pamela f.,5,55-64,Female,"Hydration, Firming & Volume Loss, Uneven Skin Tone, Fine Lines & Wrinkles, Radiance",Combination,5,5," Love this product, very effective "," Love this product, very effective in treating my skin ",0,0,12/24/2022
Rescue Elixir,285,nancy c.,5,55-64,Female,"Firming & Volume Loss, Hydration, Fine Lines & Wrinkles, Radiance","Dry, Normal",5,5, Rescue elixir really does rescue! , Love this product! I add it on as my last step in my night care routine - super hydrating my skin looks fresh and plump in the morning - I can really see difference . ,0,0,7/17/2023
Rescue Elixir,285,LILIS A.,5,55-64,Female,"Fine Lines & Wrinkles, Hydration, Radiance",Combination,5,5, VERY HAPPY WITH THE PRODUCT. , VERY HAPPY WITH THE PRODUCT. IT MADE MY SKIN MOIST AND FEELS GOOD THE NEXT DAY. ,0,0,7/17/2023
Rescue Elixir,285,LILIS A.,5,55-64,Female,"Hydration, Fine Lines & Wrinkles, Firming & Volume Loss",Combination,5,5, Best anti aging oil , I love this. The best product ever. My skin becoming so smooth and moist. Especially during cold weather. Highly recommended. ,0,0,7/17/2023
Soleil Superiéur,115,Brenden C.,5,35-44,Male,"Fine Lines & Wrinkles, Hydration, Radiance",Combination,5,5, Perfect SPF 🧴 , I’ve been wanting to get my hands on this product for a while now and overall ,0,0,7/18/2023
Soleil Superiéur,115,PK B.,5,55-64,Female,"Uneven Skin Tone, Fine Lines & Wrinkles, Blemish Control",Combination,5,5, Best Bang for the buck! ," I buy tons of sunblocks, creams, sprays, You name it, I’ve bought it at some point. But I keep coming back to this specific brand. This specific product. I keep one in the car for my hands and wrists, another in my make up and my travel bag. It is moist but not shiny. It doesn’t turn white or ball up layering with other products underneath. I swear it’s a value for what you get from a high end product line. Try it! You won’t regret it. ",1,0,7/18/2023
Soleil Superiéur,115,Israr S.,5,35-44,Male,"Fine Lines & Wrinkles, Uneven Skin Tone",Combination,5,5, What an awesome sunscreen ," Light weight, amazing protection and no tint. May be little spendy but worth it .. highly recommended ",0,0,7/18/2023
Intensité Crème Lustre Night,385,Paula E.,5,65+,Female,"Radiance, Hydration, Fine Lines & Wrinkles, Firming & Volume Loss",Normal,5,5, I've used this cream for ," I've used this cream for more than 20 years and my skin is flawless, smooth, radiant. ",2,0,3/10/2023
Intensité Crème Lustre Night,385,Chariss W.,5,55-64,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Radiance",Combination,5,5, I love the look of , I love the look of my skin the morning after using the night cream ,1,0,3/10/2023
Intensité Crème Lustre Night,385,Shalys P.,5,45-54,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Dark Circles and Puffiness",Normal,5,5, Superb! , Absolutely adore! Works wonders! Applying it is a luxurious experience! It feels like satin & smells heavenly with a light clean fragrance! ,2,0,3/10/2023
Fermitif Neck Renewal Cream,165,Leah L.,5,65+,Female,"Hydration, Firming & Volume Loss, Radiance",Dry,5,3, Love scent Treatment ok Look , Love scent ,0,0,7/7/2023
Fermitif Neck Renewal Cream,165,Linds E.,5,65+,Female,"Firming & Volume Loss, Uneven Skin Tone, Hydration, Fine Lines & Wrinkles, Radiance",Dry,5,5, Very happy with this product and will continue to use. ," I have purchased Fermitif Neck Renewal cream three times now and feel that my neck is softer, smoother, more even toned and better moisturized after continued use. I especially love that it contains non chemical sunscreen and does not transfer to my clothing. ",0,0,7/7/2023
Fermitif Neck Renewal Cream,165,Elizabeth’s M.,5,55-64,Female,"Hydration, Fine Lines & Wrinkles, Firming & Volume Loss",Normal,5,5, Have used this for years , Have used this for years and it is a staple in my skin care routine. It lasts a long time so I probably buy it twice a year. It has made a difference for me! ,0,0,7/7/2023
Fermitif Neck Renewal Cream,165,debra d.,4,55-64,Female,"Fine Lines & Wrinkles, Hydration, Firming & Volume Loss",Combination,4,3, love how it feels- no , love how it feels- no noticeable changes yet - But I know it is helping with its SPF and hydration! ,0,1,7/7/2023
Moisturizing Renewal Lotion,195,Raquel H.,5,45-54,Female,"Firming & Volume Loss, Hydration, Uneven Skin Tone, Radiance, Fine Lines & Wrinkles",Dry,5,5, Game changer for melasma , If you have melasma you need this product. I have it under my chin and my neck. It has started to fade noticeably and I am on my first bottle. My husband even noticed a difference. I am so glad I tried this. ,0,0,5/22/2023
Moisturizing Renewal Lotion,195,Selena M.,5,65+,Female,"Uneven Skin Tone, Radiance, Fine Lines & Wrinkles, Firming & Volume Loss, Hydration",Normal,5,5, My skin feels Softer and , My skin feels Softer and looks brighter next morning! ,1,0,5/22/2023
Sensitif Renewal Cream,215,Chua J.,5,55-64,Female,"Fine Lines & Wrinkles, Firming & Volume Loss",Normal,5,5, Love the spf and the , Love the spf and the cream. Non sticky and just blended nicely onto the face ,0,0,7/10/2023
Sensitif Renewal Cream,215,Vanessa L.,5,45-54,Female,"Fine Lines & Wrinkles, Uneven Skin Tone, Hydration",Combination,5,5, Wonderful Day Cream! ," I love this day cream! I have ben using iterations of it for almost 15 years. I love that it has sun protection, but mostly it is wonderfully moisturizing with out feeling heavy. I get many complements on how young my skin looks!!!! ",0,0,7/10/2023
Sensitif Renewal Cream,215,PK B.,5,55-64,Female,"Blemish Control, Uneven Skin Tone, Fine Lines & Wrinkles, Hydration",Combination,5,5, Nourishing and not drying. , This cream feels so nourishing and not a sticky dry feeling after like most sunscreens. It keeps my skin moist but not shiny. I love that because I tend to have adult hormonal skin concerns. ,0,0,7/10/2023
Balancing Toner,65,Ana M.,5,,,,,,, Nice product , Nice product ,0,0,6/23/2023
Balancing Toner,65,Debbie B.,5,55-64,Female,"Hydration, Fine Lines & Wrinkles, Firming & Volume Loss",Combination,5,5, I use this morning and , I use this morning and night and saw a difference in my skin tone within a couple days. It’s expensive though. ,0,0,6/23/2023
Foaming Cleanser,75,Mary P.,5,65+,Female,"Firming & Volume Loss, Fine Lines & Wrinkles",Normal,5,5, I love this product; it , I love this product; it is gentle and makes my skin feel so clean. I love all the Revive products. This company is so professional. I order a product one day and receive it the next day! ,0,0,6/23/2023
Foaming Cleanser,75,Chandler,5,18-24,Male,"Dark Circles and Puffiness, Hydration, Blemish Control, Uneven Skin Tone",Oily,5,5, the best cleanser I have used by a mile ," I've tried everything from clinique, to elemis, but nothing even comes close to how fantastic this cleanser is, I'm very acne prone, and i rarely have acne anymore, and when i do get a blemish, it's gone within 48 hours.  ",1,0,6/23/2023
Foaming Cleanser,75,Randall N.,4,55-64,Male,"Fine Lines & Wrinkles, Dark Circles and Puffiness",Combination,4,4, Wunderbar ! , I’ve been using this cleanser for about two years. I love it! Works wonderfully. ,0,0,6/23/2023
Foaming Cleanser,75,Penny R.,5,65+,Male,"Dark Circles and Puffiness, Hydration, Fine Lines & Wrinkles, Uneven Skin Tone",Combination,5,5, I look forward to my , I look forward to my evening ritual cleaning my face. ,0,0,6/23/2023
Peau Magnifique Serum,750,Wendy F.,5,65+,Female,"Fine Lines & Wrinkles, Uneven Skin Tone, Firming & Volume Loss, Hydration, Radiance",Combination,5,4, I’m glad this new product , I’m glad this new product has joined the entire Revive line. I am a faithful user of many years….and Revive really has made a difference as I grow older. If I could afford to use all of the Peaus on a regular basis…I definitely would. You definitely are “a cut above”all the other brands. ,2,0,3/7/2022
Peau Magnifique Serum,750,Micaela,5,35-44,Female,"Hydration, Uneven Skin Tone, Fine Lines & Wrinkles, Firming & Volume Loss",Combination,5,5, Wow ," I’ve been using this for a week and can already see improved texture and reduced lines in my skin, i love slathering my neck and chest in it too! ",4,0,3/7/2022
Peau Magnifique Serum,750,William M.,5,25-34,Male,"Fine Lines & Wrinkles, Hydration, Dark Circles and Puffiness",Combination,5,5, Transforming ," This serum is truly transforming! Just a couple drops are enough to cover the face, and its texture is silky and smooth. Applied at night, I awaken the next morning with brighter and noticeably tighter, firmer skin. I have seen improvements in my skin in just a week of use. I use several of RéVive's products and find them all to be of the highest quality. I give Peau Magnifique Serum my highest recommendation. ",7,0,3/7/2022
Intensité Volumizing Serum Ultime,600,Willard B.,5,65+,Male,"Firming & Volume Loss, Hydration, Radiance",Combination,5,5, My new favorite ," I love this Serum Ultime and my skin has never felt to soft and smooth. The texture seems a bit thick when you first use it but now it just feels luxurious and soothing. I wish it were a bit less expensive but other than that, I am very happy with this wonderful product. ",1,0,11/10/2022
Masque Des Yeux,28,Ilene W.,5,55-64,Female,"Hydration, Fine Lines & Wrinkles, Firming & Volume Loss, Dark Circles and Puffiness, Uneven Skin Tone",Dry,5,5, Easy and Relaxing , I have ordered 3 of these new eye masks and just Love how my eye area feels after 15 minuets. The mask applies Easily and soothes as well as depuffs eye area. I will be adding this to my weekly deep moisturizing regiment. ,4,0,1/19/2023
Intensité Crème Lustre Day,385,Suzi W.,5,35-44,Female,"Radiance, Firming & Volume Loss, Hydration",Combination,5,5, LOVE LOVE LOVE this product! , LOVE LOVE LOVE this product! ,0,0,2/23/2023
Intensité Les Yeux,225,Sandra H.,5,65+,Female,"Dark Circles and Puffiness, Firming & Volume Loss",Combination,5,5, I have used this product , I have used this product for a while. It’s a game changer! ,0,0,7/19/2023
Eye Renewal Serum,150,Wendy B.,5,55-64,Female,Firming & Volume Loss,Combination,5,5, Awesome , Awesome ,0,0,2/28/2022
Perfectif Night Even Skin Tone Cream,275,Diane L.,4,35-44,Female,"Hydration, Blemish Control, Radiance, Fine Lines & Wrinkles, Dark Circles and Puffiness, Uneven Skin Tone",Combination,3,3," Used for a month, skin "," Used for a month, skin more radiant, the sun spots fader. Hopefully long term use will fade off at least 70%. Indeed a good product! But pricey but worth it! ",2,0,3/17/2022
Perfectif Night Even Skin Tone Cream,275,Sandra M.,5,65+,Female,Firming & Volume Loss,Dry,5,5, Nice ," Very moisturizing, not heavy. ",0,0,3/17/2022
