ID,URL,TRUE_DOMAIN,RESPONSIVE,HEADER,NAV,LINK_IN,LINK_OUT,EMAIL,SOCIAL,H1,H2,H3,H4,H5,H6,Status
0011K00002dAhdM,http://uptownmedspa.ca/,True,True,2,0,2,0,0,0,0,0,2,0,0,0,Real
0011K00002dAhcE,https://www.hazenplasticsurgery.com/,True,True,32,1,527,0,0,8,1,16,14,1,0,1,Real
0011K00002dAYqO,https://alysbrowsandbeauty.com/,True,True,11,0,76,0,0,2,0,7,4,0,0,0,Real
0011K00002dAYpu,https://www.spaherewellness.com/,True,True,42,0,40,0,0,8,0,4,15,13,10,0,Real
0011K00002dAOT2,https://remedeco.com/,True,True,8,1,51,0,0,6,6,0,2,0,0,6,Real
0011K00002d9yto,https://mybloomaesthetics.com/,True,True,4,4,38,0,1,1,0,1,0,3,0,0,Real
0011K00002d9ytW,https://www.theelevatespa.com/,True,True,15,1,49,0,1,3,1,6,1,6,1,1,Real
0011K00002d9ytZ,http://aeaugusta.com/,True,True,16,1,38,0,0,7,0,1,2,8,5,0,Real
0011K00002d9ytS,https://thetreatmentroomokc.com/,True,True,11,3,73,0,1,9,0,2,0,9,0,0,Real
0011K00002d9ytK,https://theaestheticco.net/,True,True,0,1,37,0,0,6,0,0,0,0,0,0,Real
0011K00002d9vES,https://www.awaken-aesthetics.com/,True,True,7,3,47,0,0,7,1,3,1,2,0,1,Real
0011K00002d9cgX,https://seebeyondbeauty.com/,True,True,37,2,149,0,0,0,2,7,6,8,0,2,Real
0011K00002d9Xdi,https://www.defyage.com/,True,True,37,6,141,0,0,0,1,17,9,8,0,1,Real
0011K00002d9XdS,http://www.dermatologyboise.com/,True,True,18,7,118,0,0,3,2,7,9,0,0,2,Real
0011K00002d9XdX,http://velomedspa.com/,True,True,7,1,38,0,0,2,0,1,1,5,0,0,Real
0011K00002d9XdY,http://www.venusmedspa.com/,True,True,52,10,163,0,0,3,1,48,3,0,0,1,Real
0011K00002d9XdD,http://www.sheenveininstitutestl.com/,False,True,27,1,101,0,0,7,1,19,0,7,0,1,Filler Page
0011K00002d9XdF,http://timelessmed.com/,True,True,25,2,58,0,3,2,2,12,6,5,0,2,Real
0011K00002d9XdG,https://www.valley-ic.com/dermatology/,True,True,18,1,34,0,1,7,0,2,8,6,0,0,Real
0011K00002d9Xcs,https://www.soodcenter.com/,True,True,15,0,305,0,0,12,1,13,0,1,0,1,Real
0011K00002d9Xct,http://www.sermedspa.com/,True,True,41,12,184,0,0,4,1,36,0,4,0,1,Real
0011K00002d9Xcu,https://siderm.com/,True,True,3,0,19,0,0,1,0,1,0,1,1,0,Real
0011K00002d9Xcw,http://www.spabyaurarius.com/,True,True,13,4,60,0,2,0,0,5,8,0,0,0,Real
0011K00002d9Xca,https://www.sedaspa.com/,True,True,19,1,20,0,0,0,2,2,5,7,3,2,Real
0011K00002d9Xcb,http://www.sedaliamedspa.com/,True,True,4,1,31,0,1,4,1,3,0,0,0,1,Real
0011K00002d9Xcc,https://signatureaesthetics.com/,True,True,16,1,72,0,2,8,0,3,4,9,0,0,Real
0011K00002d9Xce,https://www.sinnoplasticsurgery.com/,True,True,20,3,133,0,0,7,1,8,11,0,0,1,Real
0011K00002d9Xcf,https://skinmdonline.com/skinmd-hurst?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,True,True,9,1,78,0,0,3,1,6,1,0,1,1,Real
0011K00002d9Xcg,http://www.skinplusmedspa.com/,True,True,25,5,82,0,0,0,1,15,9,0,0,1,Real
0011K00002d9XcK,http://www.berksplasticsurgery.com/dr-brian-k-reedy/,True,True,12,5,143,0,0,4,1,2,5,3,1,1,Real
0011K00002d9XcL,https://www.essentiahealth.org/find-facility/profile/essentia-health-south-university-clinic-fargo/,True,True,25,1,94,0,0,5,1,19,5,0,0,1,Real
0011K00002d9XcM,https://www.essential-derm.com/,True,True,16,2,220,0,0,10,1,13,2,0,0,1,Real
0011K00002d9XcO,https://www.facialmaniamedspa.com/,True,True,30,1,53,0,0,3,0,1,12,13,4,0,Real
0011K00002d9XcI,https://www.aiplasticsurgery.com/,True,True,62,0,1061,0,0,16,2,7,37,0,16,2,Real
0011K00002d9XcJ,http://www.dermdoxcenters.com/,True,True,9,1,34,0,0,3,0,0,0,2,1,0,Real
0011K00002d9Pke,https://www.drhamawy.com/,True,True,27,1,341,0,0,12,1,24,1,1,0,1,Real
0011K00002d9Ipn,http://www.youngerworldwellness.com/,True,True,10,1,42,0,0,1,1,0,0,0,6,1,Real
0011K00002d9Ipb,http://www.thedermatologyclinic.com/,True,True,27,2,77,0,1,14,3,6,7,9,0,3,Real
0011K00002d9Ipc,https://wellnessesity.life/,True,True,65,4,298,0,4,4,1,62,2,0,0,1,Real
0011K00002d9IpS,https://www.sullivansurgery.com/,True,True,3,1,81,0,0,2,2,0,0,0,0,2,Real
0011K00002d9IpT,https://taketatt.com/,True,True,54,5,108,0,1,7,4,16,16,3,8,4,Real
0011K00002d9IpV,http://abilenebeautybus.com/,True,True,8,1,162,0,0,4,1,3,4,0,0,1,Real
0011K00002d9Ioy,https://michelleesthetics.com/medspa-glen-mills-pa/,True,True,34,1,70,0,2,2,1,28,1,1,3,1,Real
0011K00002d9Ioz,https://pacificskin.com/pacific-skin-corte-madera/,True,True,14,1,89,0,0,3,1,7,5,0,1,1,Real
0011K00002d9Ip6,http://www.phelandermatology.com/,True,True,10,1,27,0,0,1,3,0,0,2,0,3,Real
0011K00002d9Ip7,https://owensboromedical.com/rejuve/,True,True,26,1,70,0,0,9,2,7,11,6,0,2,Real
0011K00002d9IoS,https://worcesterderm.com/worcester-dermatology/worcester-dermatology-directions/,True,True,10,1,74,0,0,6,1,1,2,6,0,1,Real
0011K00002d9IoT,https://itaesthetix.com/,True,True,36,0,84,0,1,15,1,7,28,0,0,1,Real
0011K00002d9IoU,http://farberdermatology.com/,True,True,40,2,304,0,0,12,1,3,17,10,9,1,Real
0011K00002d9IoY,https://www.ottawalaserclinic.com/medical-esthetic/laser-hair-removal/,True,True,6,2,106,0,2,3,2,0,4,0,0,2,Real
0011K00002d9IoZ,https://lisatopham.com/,True,True,31,1,92,0,0,6,0,0,6,11,0,0,Real
0011K00002d9Int,http://www.gbbflife.com/,True,True,42,3,23,0,0,0,1,8,2,31,0,1,Real
0011K00002d9Inu,https://www.lifestylephysiciansaesthetics.com/,,,,,,,,,,,,,,,
0011K00002d9Inv,http://www.mebeautydayspa.com/,True,True,19,1,86,0,0,2,1,5,9,4,0,1,Real
0011K00002d9Inw,http://meridiemdermspa.com/,True,True,16,8,154,0,0,4,8,5,3,0,0,8,Real
0011K00002d9Inz,http://www.reviveskincareclinic.com/,True,True,16,1,83,0,0,3,2,8,2,0,0,2,Real
0011K00002d9Io0,http://www.salud-spa.com/,True,True,23,2,76,0,0,3,1,4,6,0,12,1,Real
0011K00002d9C4P,https://www.pacificdermcenter.com/,True,True,22,2,568,0,0,19,1,2,14,5,0,1,Real
0011K00002d8jer,https://theskinclinicnd.com/,True,True,5,6,165,0,5,6,1,1,3,0,0,1,Real
0011K00002d8jee,http://www.browboutiquecapecod.com/,True,True,27,1,63,0,0,12,5,1,9,5,7,5,Real
0011K00002d8eXv,https://prevaaesthetics.com/,True,True,16,1,153,0,0,21,2,4,10,0,0,2,Real
0011K00002d8WFE,http://www.bodybydesigncharleston.com/,True,True,17,1,113,0,0,22,1,3,12,1,0,1,Real
0011K00002d8WFF,http://www.davincibeautywellness.com/,True,True,23,3,48,0,1,15,0,9,0,12,0,0,Real
0011K00002d8WFG,https://www.imagesurgicalarts.com/,True,True,27,2,135,0,0,5,1,1,17,1,0,1,Real
0011K00002d8WFH,https://www.drjaygeller.com/,True,True,10,3,95,0,0,2,0,4,6,0,0,0,Real
0011K00002d8WDC,http://www.lavinasmd.com/,True,True,19,1,245,0,0,11,2,6,4,7,0,2,Real
0011K00002d8WD3,https://www.drkenkel.com/,True,True,12,2,209,0,0,10,1,10,1,0,0,1,Real
0011K00002d8WD4,https://www.juvenate-wellness.com,True,True,16,1,40,0,0,2,2,11,3,0,0,2,Real
0011K00002d8WD5,https://k2restorativemedicine.com/,True,True,20,1,169,0,6,48,0,15,0,5,0,0,Real
0011K00002d8WCy,https://elementsaqua.com/,True,True,31,0,38,0,0,0,0,10,12,6,3,0,Real
0011K00002d8WCz,http://www.envoguemedispa.com/,True,True,15,5,156,0,0,3,3,8,4,0,0,3,Real
0011K00002d8WD0,https://enhancemedspanc.com/,True,True,12,4,52,0,0,3,3,4,0,4,1,3,Real
0011K00002d8WD1,https://www.rejuvene.com,True,True,11,1,228,0,0,18,3,8,0,0,0,3,Real
0011K00002d8WD2,https://ibrowexperts.com/,True,True,5,4,42,0,0,4,0,5,0,0,0,0,Real
0011K00002d8WCt,https://www.elpasoplasticsurgery.org/,True,True,17,2,129,0,0,5,1,10,3,3,0,1,Real
0011K00002d8WCu,http://cryotshocks.com/,True,True,0,0,2,0,0,0,0,0,0,0,0,0,Real
0011K00002d8WCv,http://loveyourskindcm.com/,True,True,17,1,25,0,0,2,3,9,2,3,0,3,Real
0011K00002d8WCw,https://din.style/,True,True,12,3,39,0,0,6,0,2,1,7,1,0,Real
0011K00002d8WCo,http://www.browsandbeautyny.com/,True,True,3,3,72,0,1,2,1,1,0,1,0,1,Real
0011K00002d8WCp,http://www.browscosmetictattooing.com/,False,True,8,4,76,0,0,2,0,2,1,5,0,0,Filler Page
0011K00002d8WCr,https://www.socalcoolbody.com/,True,True,20,2,45,0,0,4,5,10,3,2,0,5,Real
0011K00002d8WCj,http://www.360dermatologytampa.com/,True,True,9,0,122,0,1,7,1,4,4,0,0,1,Real
0011K00002d8WCk,http://www.fivesquaremedspa.com/,True,True,10,1,41,0,0,2,0,6,1,0,0,0,Real
0011K00002d8WCl,http://www.beautifulcosmeticsmd.com/,True,True,25,2,56,0,4,3,0,0,10,7,0,0,Real
0011K00002d8WCm,https://beckercosmetic.com/,True,True,27,5,79,0,0,3,1,8,3,13,0,1,Real
0011K00002d8W88,https://www.renuyouaestheticsandbotox.com/,True,True,17,1,106,0,4,23,1,10,1,4,1,1,Real
0011K00002d8W89,https://spatologie.com/,True,True,10,4,44,0,1,8,7,2,1,0,0,7,Real
0011K00002d8W80,http://lashlette.com/,True,True,15,1,52,0,1,5,2,10,0,3,0,2,Real
0011K00002d8Uc8,https://www.lisaom.com/,,,,,,,,,,,,,,,
0011K00002d8Aef,https://www.johnqcookmd.com/,True,True,38,2,392,0,0,8,1,23,12,2,0,1,Real
0011K00002d7meg,https://www.belladermaclinic.com/,True,True,26,2,70,0,3,6,6,6,11,3,0,6,Real
0011K00002d7meh,https://bellatoxboutique.com/,True,True,25,2,107,0,1,6,0,13,9,3,0,0,Real
0011K00002d7med,http://www.bbmakeuponline.com/,False,True,14,2,177,0,1,6,0,14,0,0,0,0,Filler Page
0011K00002d7me7,http://www.abyssiniabeautyclinic.com/,True,True,8,1,28,0,0,2,0,8,0,0,0,0,Real
0011K00002d7me8,https://altmanspa.com/,True,True,13,1,96,0,0,1,2,11,0,0,0,2,Real
0011K00002d7me9,https://alwayssmooth.co/,True,True,19,1,15,0,0,2,2,10,1,0,0,2,Real
0011K00002d7meD,https://www.nepalisalon.com/,True,True,29,1,52,0,1,1,0,11,1,3,14,0,Real
0011K00002d7AnH,https://madisonavenuefaceandbody.com/,True,True,28,2,174,0,2,16,1,5,1,21,0,1,Real
0011K00002d6xqd,https://reflectionshealthspa.com/,True,True,22,4,126,0,0,4,0,14,3,5,0,0,Real
0011K00002d6xqV,https://modernmedialspa.com/,,,,,,,,,,,,,,,
0011K00002c5CJp,https://www.beautyfi.net/,True,True,13,0,110,0,0,32,0,6,0,0,5,0,Real
0011K00002c5CJq,http://clareocenters.com/,False,True,59,1,109,0,0,11,1,22,25,11,0,1,Filler Page
0011K00002c5CJr,https://mclaughlinmd.com/,,,,,,,,,,,,,,,
0011K00002c5CJs,https://www.qmedspa.com/,True,True,12,2,370,0,0,12,1,3,8,0,0,1,Real
0011K00002c5CJt,https://www.westportplasticsurgery.com/,True,True,10,3,188,0,0,0,1,0,2,3,4,1,Real
0011K00002c5CJi,https://advancedaestheticslv.com/,True,True,15,4,246,0,0,2,2,10,1,0,2,2,Real
0011K00002c5CJj,https://karmabeautyandwellness.com/,True,True,14,0,55,0,2,8,4,6,4,0,0,4,Real
0011K00002c5CJk,https://drroham.com/,True,True,20,5,404,0,0,15,1,11,3,3,1,1,Real
0011K00002c5CJl,https://healthysolutionsdr.com/,True,True,22,1,148,0,1,14,0,20,2,0,0,0,Real
0011K00002c5CJm,https://www.advancedregenerativetherapies.com/,True,True,19,0,52,0,0,1,1,6,2,2,8,1,Real
0011K00002c5CJn,https://amfacialplastics.com/,True,True,27,2,209,0,0,2,1,21,5,0,0,1,Real
0011K00002c5CJo,http://faceitbotoxbar.com/,True,True,11,0,143,0,1,4,3,0,8,0,0,3,Real
0011K00002c5CJV,https://tcskinlaser.com/,True,True,32,2,11,0,1,4,1,7,8,16,0,1,Real
0011K00002c5CJZ,https://www.vitraaesthetics.com/,True,True,62,0,190,0,1,6,1,13,41,1,6,1,Real
0011K00002c5CJa,https://www.youniquecosmeticsurgery.com/,True,True,13,2,122,0,0,5,3,4,5,1,0,3,Real
0011K00002c5CJG,https://www.goldensealskincare.com/,True,True,9,7,28,0,2,2,1,2,6,0,0,1,Real
0011K00002c5CJH,https://www.megawellnessclinic.com/,True,True,27,1,48,0,1,9,5,10,12,0,0,5,Real
0011K00002c5CJ7,https://shapeofyoustl.com/,True,True,68,2,129,0,2,13,1,13,0,53,0,1,Real
0011K00002c5CJ8,https://viptotalhealth.com/,True,True,39,6,199,0,0,6,0,10,12,9,8,0,Real
0011K00002c5CJA,https://eliteiwc.com/,True,True,14,0,45,0,0,3,1,2,11,0,0,1,Real
0011K00002c5CJC,https://www.theindigoclinic.com/,True,True,12,0,54,0,0,3,2,5,0,2,3,2,Real
0011K00002c5CIy,https://hydrateak.com/,True,True,11,2,24,0,0,2,0,4,0,7,0,0,Real
0011K00002c5CIs,https://beautylablaser.com/,True,True,6,1,132,0,0,5,1,1,3,1,0,1,Real
0011K00002c5CAp,https://peachystudio.com/,True,True,25,1,69,0,1,2,1,7,17,0,0,1,Real
0011K00002c4y5A,http://www.beaconskin.com/,True,True,30,1,92,0,0,4,2,15,13,0,0,2,Real
0011K00002c4kKW,https://marc-wellness.com/,True,True,21,2,136,0,0,6,1,1,13,6,0,1,Real
0011K00002c4kKX,https://www.theivloungeatqc.com/,True,True,24,1,22,0,0,4,1,7,16,0,0,1,Real
0011K00002c4kKY,https://myhappyplacebeauty.com/,True,True,4,1,15,0,0,2,0,2,0,2,0,0,Real
0011K00002c4kKZ,https://vidaaestheticsmadison.com/,True,True,33,0,70,0,2,1,1,6,17,4,5,1,Real
0011K00002c4kKa,https://myxwa.com/,True,True,16,2,77,0,0,2,1,10,5,0,0,1,Real
0011K00002c4kKb,https://elevate-miami.com/,True,True,32,1,99,0,0,23,0,8,4,20,0,0,Real
0011K00002c4kKG,https://sculptedok.net/,True,True,4,1,27,0,0,0,1,3,0,0,0,1,Real
0011K00002c4kK8,http://annexspa.com/,True,False,7,1,26,0,0,3,1,0,6,0,0,1,None-Responsive
0011K00002c4kK6,https://mybodyspastudio.com/,True,True,25,2,102,0,0,2,3,0,18,0,0,3,Real
0011K00002c4kJi,http://www.spa43.com/,True,True,13,3,100,0,0,4,1,7,5,0,0,1,Real
0011K00002c4kJj,http://www.sparklingbeautybar.com/,True,True,18,3,46,0,0,6,1,8,2,7,0,1,Real
0011K00002c4kJD,http://www.excelaestheticsmiami.com/,True,True,39,2,110,0,0,3,0,31,4,4,0,0,Real
0011K00002c4kJE,https://www.alpharedstudios.com/,True,True,17,0,20,0,0,14,1,4,5,0,6,1,Real
0011K00002c4kIy,https://www.aqmedical.com/,True,True,6,7,56,0,3,2,2,3,1,0,0,2,Real
0011K00002c4kIz,https://smoothskincville.com/,True,True,9,0,35,0,0,8,1,8,0,0,0,1,Real
0011K00002c4kJ1,https://www.allureskinhealth.com/,True,True,13,2,25,0,1,4,4,8,1,0,0,4,Real
0011K00002c4kJ2,https://appletonplasticsurgery.com/,True,True,35,2,62,0,12,2,0,14,4,7,10,0,Real
0011K00002c4kJ3,https://www.wellnesswithrejuvenation.com/,True,True,15,2,46,0,0,3,0,6,9,0,0,0,Real
0011K00002c4kJ4,https://badgerstatehydrate.com/,True,True,23,1,67,0,0,2,9,7,7,0,0,9,Real
0011K00002c4kIl,https://exteniv.com/,True,True,11,3,66,0,0,3,1,8,1,1,0,1,Real
0011K00002c4kIm,https://www.heidilaneesthetics.com/,True,True,12,5,35,0,0,0,4,6,2,0,0,4,Real
0011K00002c4kIo,https://www.elevatedbeautynow.com/,True,True,8,0,3,0,0,3,6,2,0,0,0,6,Real
0011K00002c46M6,https://www.nysvc.com/,True,True,19,2,268,0,0,3,1,18,0,0,0,1,Real
0011K00002c3srW,https://www.elitespama.com/,,,,,,,,,,,,,,,
0011K00002c3srD,https://www.farzanehcosmeticsurgery.com/,True,True,26,1,318,0,0,19,1,15,10,0,0,1,Real
0011K00002c3srJ,https://yngofficial.com/,True,True,11,1,22,0,0,2,5,0,6,0,0,5,Real
0011K00002c3sr8,https://www.thedermclinic.net/,True,True,22,3,225,0,0,4,0,5,9,4,4,0,Real
0011K00002c3sr9,https://thehebespa.com/,True,True,43,5,87,0,1,6,1,26,15,1,0,1,Real
0011K00002c3sqp,http://modysculpt.com/,True,True,30,3,66,0,0,2,1,8,2,19,0,1,Real
0011K00002c3sqs,http://www.qnaspa.com/,True,True,15,5,81,0,0,3,1,3,7,0,0,1,Real
0011K00002c3squ,https://smoothsolutionsmedspa.com/,True,True,16,1,124,0,0,6,1,12,3,0,0,1,Real
0011K00002c3sqb,http://isabellamedspa.com/,,,,,,,,,,,,,,,
0011K00002c3sqd,https://jkmedspa.com/,True,True,12,4,83,0,0,4,0,11,1,0,0,0,Real
0011K00002c3sqf,https://www.labellemedspa.ca/,True,True,12,1,30,0,0,2,1,3,2,6,0,1,Real
0011K00002c3sqh,https://lunarlightlaserspa.com/,True,True,15,0,37,0,0,3,0,11,4,0,0,0,Real
0011K00002c3sqi,https://marvelcosmeticmedspa.com/,True,True,37,2,71,0,0,2,10,5,4,0,11,10,Real
0011K00002c3sqU,https://englerenu.com/,True,True,40,4,110,0,0,6,0,6,4,3,17,0,Real
0011K00002c3sqa,https://www.iomedspa.com/,True,True,8,1,31,0,2,4,3,3,0,0,0,3,Real
0011K00002c3sqS,https://www.centerforcosmeticdermatology.com/,True,True,16,5,56,0,0,5,1,1,3,0,11,1,Real
0011K00002c3sqP,https://laserlipony.com/,True,True,18,1,101,0,1,6,1,15,0,2,0,1,Real
0011K00002c3sq9,https://www.dmvbeautyclinic.com/,True,True,21,1,46,0,0,3,7,2,0,1,6,7,Real
0011K00002c3sqA,https://www.nerolinstitute.com/,True,True,13,1,31,0,0,4,0,10,3,0,0,0,Real
0011K00002c3sqC,https://www.theskinagency.com/,True,True,63,1,118,0,0,8,1,49,13,0,0,1,Real
0011K00002c3sqD,https://www.hydratehouse.com/,True,True,11,2,22,0,1,4,3,5,1,0,2,3,Real
0011K00002c3sqF,https://www.7seasmedspa.com/,True,True,32,1,99,0,0,4,2,28,2,0,0,2,Real
0011K00002c3sqG,https://www.afinelineaesthetics.com/,True,True,9,4,86,0,3,9,5,1,3,0,0,5,Real
0011K00002c3sqH,http://www.ageweighless.com/,True,True,12,3,159,0,4,12,1,4,5,1,1,1,Real
0011K00002c3spy,https://www.naturemedicalspa.com/,True,True,30,4,54,0,0,4,4,20,5,1,0,4,Real
0011K00002cSiJX,https://gerrishmedesthetics.com,True,True,21,2,190,0,2,3,0,6,14,1,0,0,Real
0011K00002cSi9e,https://mnvaac.com/,True,True,4,3,91,0,1,0,0,2,1,1,0,0,Real
0011K00002cSi8A,https://www.magnoliamedspaiv.com/,True,True,9,2,56,0,3,7,0,6,1,0,0,0,Real
0011K00002cShbJ,https://lettaesthetics.com/,True,True,11,2,60,0,0,0,1,4,6,0,0,1,Real
0011K00002cSi5U,https://lashoutrva.com/,False,True,26,9,148,0,0,4,1,12,11,2,0,1,Filler Page
0011K00002cSi3r,http://www.laserluxuryny.com/,True,True,12,0,55,0,0,6,1,4,3,1,3,1,Real
0011K00002cSi14,https://jayneebellsalon.com/,True,True,20,1,9,0,0,0,0,0,4,0,8,0,Real
0011K00002cSi0a,https://www.jgnoir.com/,True,True,33,8,84,0,1,7,5,25,3,0,0,5,Real
0011K00002cSi01,https://ihwcaz.com/,True,True,13,2,29,0,3,5,1,3,0,6,2,1,Real
0011K00002cShyf,https://higherlevelskinbeauty.com/,True,True,50,4,96,0,0,6,1,10,5,9,25,1,Real
0011K00002cShxl,https://hautebeautyaesthetics.com/,True,True,20,10,85,0,0,7,1,9,7,3,0,1,Real
0011K00002cSA6Z,https://youprojecttampa.com/,True,True,22,4,161,0,0,17,0,11,8,0,3,0,Real
0011K00002cSA6O,https://wellandcomn.com/,True,True,15,2,54,0,0,6,1,4,10,0,0,1,Real
0011K00002cSA6T,https://www.whitelotusmedaesthetics.com/,True,True,10,2,74,0,0,2,1,3,1,1,3,1,Real
0011K00002cSA5g,https://vedaskinandlaser.com/,True,True,6,1,17,0,1,4,0,6,0,0,0,0,Real
0011K00002cSA4H,https://theskinlocal.com/,True,True,16,1,115,0,1,2,1,15,0,0,0,1,Real
0011K00002cSA3N,https://theface.bar/,True,True,18,8,76,0,1,8,5,5,8,0,0,5,Real
0011K00002cSA1J,https://studiomedicalaesthetics.com/,True,True,12,0,82,0,0,4,2,4,3,1,2,2,Real
0011K00002cS9zN,https://skinfixmedspa.com/,True,True,34,2,29,0,0,3,0,14,20,0,0,0,Real
0011K00002cS9zH,https://skinsplendid.com/,True,True,11,4,44,0,0,4,0,9,0,2,0,0,Real
0011K00002cS9zB,https://skinlabbyingarn.com/,True,True,12,2,37,0,0,2,1,7,4,0,0,1,Real
0011K00002cS9xK,https://sapphiraprivemedspa.com/,True,True,16,2,35,0,1,2,0,5,0,11,0,0,Real
0011K00002cS9u8,http://roxysaesthetics.com/,True,True,13,3,28,0,0,3,1,12,0,0,0,1,Real
0011K00002cS9tJ,https://rediscoverdu.com/,True,True,11,1,19,0,0,2,0,2,0,2,4,0,Real
0011K00002cS9sr,http://www.rejuvenate-medspa.com/,True,True,1,0,1,0,0,0,1,0,0,0,0,1,Filler Page
0011K00002cS9sV,https://www.refreshedmed.com/,True,True,7,4,104,0,2,4,6,1,0,0,0,6,Real
0011K00002cS9rw,https://radiantny.com/,True,True,5,1,26,0,0,2,1,4,0,0,0,1,Real
0011K00002cS9rp,http://queenslaserhair.com/,True,True,21,1,27,0,0,0,9,4,8,0,0,9,Real
0011K00002cS9ru,https://www.radiancebyroller.com/,True,True,46,2,230,0,0,10,1,20,12,0,13,1,Real
0011K00002cS9r5,https://primemdcenter.com/,True,True,30,4,119,0,0,2,20,3,6,0,0,20,Real
0011K00002cS9q5,http://penfieldobgyn.com/,True,True,23,1,97,0,0,4,2,9,7,3,0,2,Real
0011K00002cS9oX,https://www.nurturheraesthetic.com/,True,True,11,3,67,0,0,0,3,3,3,2,0,3,Real
0011K00002cS9oO,http://novaskincorp.com/,,,,,,,,,,,,,,,
0011K00002cS9nZ,https://nashmedspa.com/,,,,,,,,,,,,,,,
0011K00002cS9nG,https://myperfectskinclinic.com/,True,True,34,1,110,0,0,16,1,10,7,1,15,1,Real
0011K00002cRoJI,https://www.freshfacemi.com/,True,True,14,4,62,0,0,9,3,3,5,3,0,3,Real
0011K00002cRoJJ,https://www.freya-aesthetics.com/,True,True,24,1,69,0,0,8,5,10,3,6,0,5,Real
0011K00002cRoJO,https://fusionhydration.com/,True,True,63,2,54,0,5,2,1,33,22,7,0,1,Real
0011K00002cRoJB,https://www.flxfa.com/,False,True,12,4,48,0,1,5,0,9,0,3,0,0,Filler Page
0011K00002cRoHj,https://exclusivelyglamorous.com/,True,True,43,2,24,0,0,4,1,5,1,36,0,1,Real
0011K00002cRoHV,https://empoweringhealthspa.com/,True,True,19,3,49,0,1,0,1,17,1,0,0,1,Real
0011K00002cRoGF,http://www.brazilianwaxingnewyork.com/,True,True,14,0,55,0,0,3,0,1,9,4,0,0,Real
0011K00002cRoCt,https://carolinaestheticsllc.com/,True,True,12,2,61,0,0,8,1,7,0,0,0,1,Real
0011K00002cRoCW,http://www.captivatewellness.com/,True,True,42,1,178,0,1,17,3,16,19,4,0,3,Real
0011K00002cRoAr,https://www.blueskinlaserspa.com/,True,True,21,4,101,0,0,4,0,21,0,0,0,0,Real
0011K00002cRo9U,https://botballiance.com/,True,True,12,10,25,0,1,3,6,6,0,0,0,6,Real
0011K00002cRo8V,https://basismedical.org/,True,True,13,2,87,0,1,7,4,5,3,0,1,4,Real
0011K00002cRo85,https://www.babeaestheticsny.com/,True,True,7,1,40,0,1,2,0,3,4,0,0,0,Real
0011K00002cRo8G,https://barbarinosurgicalarts.com/,True,True,11,2,53,0,1,2,0,1,8,0,2,0,Real
0011K00002cRo7U,https://artisanaesthetics.ca/,True,True,18,6,286,0,3,14,1,11,3,2,1,1,Real
0011K00002cRo7a,https://aspirerejuvenation.com/,True,True,24,1,96,0,0,4,1,16,5,2,0,1,Real
0011K00002cRo6v,https://aawtn.com/,True,True,4,2,56,0,0,4,2,2,0,0,0,2,Real
0011K00002cRo6i,https://www.alphaadvantage.org/,True,True,16,1,31,0,0,0,1,10,5,0,0,1,Real
