Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
samantha hopkins,5,2022-11-23,If I could give BarkBox 10 stars,"If I could give BarkBox 10 stars, I would. I subscribed to their 'chewer' box. For month after month, I received amazing toys and snacks. Then, I lost my puppers. BarkBox refunded my subscription, and sent me a card. Awesome, right? Well, I lost my puppers 5 months ago. Today, I received an email offering emotional support because the holidays can be very hard when you've lost a loved pet. How cool is that?",2022-11-22,0
DebD,5,2022-07-04,Awesome,"Absolutely, 100% love each and every Bark Box! The pups went bonkers for all the toys; the treats were scrumptious; and each box was highly entertaining for humans, offering a hilarious theme each month! I can recommend these highly! Endorsed by many dog here at the Caribou Dog Ranch!",2022-07-04,0
Linda,5,2022-07-05,Wonderful idea for our fuzzy children,Wonderful idea for our fuzzy children.  Each month someting new and exciting treats and toys.  We checked the pricing of the toys in the bark box and the difference to purchase individual toys at the pet stores.  Bark Box was much cheaper and my dog seemed to enjoy the toys better.,2022-07-05,0
Beth Post,4,2022-07-04,We tried Bark Box because I could not…,"We tried Bark Box because I could not find a toy our dog ( Finn) couldn’t destroy in one day.  Bark Box solved that problem, maybe a little too well.  His toys last a long time now and I no longer need a monthly delivery of toys, so I discontinued the service.  Finn also loved the snacks and I felt they were high quality.  Maybe some different delivery options I think would be helpful like every other month for example.  I did feel the Bark Box staff were attentive & helpful, I just couldn’t justify continuing the service when we had developed a back log of toys.",2022-07-04,0
Elton Tucker,5,2022-07-04,Bark box was both fantastic providing…,"Bark box was both fantastic providing interesting treats and toys to our Golden Retriever Molly.  To the point that she would recognize the external Barkbox packaging every month and *Know* it was for her.

When she fell ill earlier and the year and we believed that her time with us was drawing short, Barkbox responded beyond all expectations with care and consideration.   Making a very difficult time that much easier.

When we choose to have another dog we will be sure to renew our subscription.",2022-07-04,0
JessDet,5,2023-02-07,Great service!!  Very attentive and helpful. Dog loves.,"I have had a great experience with BarkBox.  We subscribe to their toys for ""aggressive chewers.""  When my dog did destroy a toy, they were quick to offer me a replacement.  My dog just LOVES their toys that are 2-in-1 - a toy wrapped with a cloth cover designed to be torn apart.  I emailed them to let them know that we had missed one being included in the last box, and they sent him one separately!  They are an A+ for me.",2023-01-30,0
Dave Johnson,5,2022-07-04,My boy Sarge loves everything he’s…,My boy Sarge loves everything he’s gotten from Bark Box. Always an exciting day when his box arrives. Outstanding customer service & support. Thanks all!!!’n,2022-07-04,0
Lana Adames,5,2022-06-28,Almost better than a subscription,"Easy to use. Great selection. It’s too bad items that get canceled from your add ons are later available here, meaning non subscribers often have a chance to get toys subscribers purchased but didn’t receive. Okay  Always fast delivery. If only the monthly subscription boxes were able to be delivered this fast!",2022-06-28,0
Rosemary Bolduc,5,2022-07-04,My Golden Retriever and I heartily…,"My Golden Retriever and I heartily recommend BarkBox.  What I most loved about it was how clever and inventive they are with the themes each month.  Always something to look forward to.  Sadly, I had to drop out after several years because my Trievergirl has been diagnosed with lung cancer, but when we recover eventually and are ready to get another dog we'll definitely be back.  Thank you, Barkbox.",2022-07-04,1
Rachael Nelson,5,2022-07-04,Barkbox is an excellent company,"Barkbox is an excellent company. Our pup loves their toys (he has a few that he likes to carry to bed every night). We use their superchewer subscription for tougher playing dogs, and if your dogs manages to break any toy in that line, they will replace it with something else free of charge. When you need them, their customer service agents are quick and always very kind. Plus, our box tends to be about $35 with shipping, which I find very reasonable for everything you get!",2022-07-04,0
Customer,5,2022-07-04,Toys were not tough enough and I…,"Toys were not tough enough and I upgraded. Customer service noticed and sent an additional tougher toy without me requesting. Very impressive! Thank you! He has not destroyed that toy, yet.",2022-07-04,0
Denver Jacobs,5,2022-07-04,#1 Best Customer service,"helpful and accommodating customer service rep quickly addressed my complaint, and helped me adjust my plan. Additionally she gifted us a toy, which is above and beyond. Bark has a reputation for the BEST customer service... which is why i chose them!",2022-07-04,0
Lindsey,5,2022-06-30,I'd give 100 stars if I could!!,"I'd give 100 stars if I could!!

My dog Archie and I have been Barkbox members for about six months now, and we couldn't be happier! A few months ago I reached out to the customer service team regarding the toys we were receiving (Archie is a super-duper chewer and has proven to me he can't have any toys with fabric or rope - he always swallows it). Every customer service rep I spoke with about modifying the toys in our BarkBox was incredibly kind, helpful, and accommodating; easily the greatest customer service I've ever experienced. For this reason alone, we will remain loyal customers! 

I love having treats and toys that Archie truly enjoys being at my door each month, all while requiring little to no work on my part.",2022-06-30,0
Jane H.,5,2022-07-04,Everyone I have spoken to at Bark Box…,"Everyone I have spoken to at Bark Box has been all about customer service & customer concerns. This is rare in any business these days. My dog, King, loves the toys & treats!! His favorite so far is a blue velociraptor (at least I think that’s what it is). My dog is a toy destroyer. But y’all have replaced at least one. He doesn’t like the toys in super chewer boxes. Y’all are super! Thanks to everyone at Bark Box!!",2022-07-04,0
Lakesha Simpkins,5,2022-07-04,"Happy Boys, Happy Puppy Mom!","It is amazing how they know when we receive a bark box! The level of excitement and immediate frenzy for the treats and toys!  Each box received has been a total hit, they love the toys and play with them immediately and I do believe that if they were not limited then the treats would be gone in an hour…lol 
Fun Fact: my husband and I enjoy opening the box just as much as our boys! It fun to which pup will go for which toy",2022-07-04,0
Patricia Lopez Laguna,5,2022-07-04,Amazing Customer Service!,"I was writing an email for my first shipment and i did not think i was going to get an immediate response. I was wondering how to reach out for replacement toys but I didnt even have to look because I was contacted by someone on the team who offered it to me after reading the review I had left. 

I received my replacement order quite quickly and my dog, Rolex loved them. 
I was also contacted by a team to change the details of my account so the box was better tailored to Rolex. I cannot believe how great the customer service is!

I am to received my third box and i am looking forward to the shipment.",2022-07-04,0
BRENDASTAR,5,2022-07-05,Customer Service,"I had a question about whether I received my BarkBox for this month or not, because I receive the BarkBox Survey before I receive the BarkBox.  The person I chatted with explained that the survey goes out the same time they start to pack the box.  This isn't the best time to send the survey, but it was an explanation.  Also, I wanted to know if I could get more treats and chew in the box.  The answer was no, only toys at this time, but again, I got explanations that I understood.",2022-07-05,0
Christina Gehricke,5,2022-08-22,best customer service experience I have ever had with a company,I wanted to change my subscription plan and used the chat option in their app and I had the best customer service experience I have ever had with a company! Not only did they easily change my subscription but after chatting about our dogs they sent me two free bags of treats! The first box was a toys only box and every toy was great. Very good quality and my dog loved every single toy!,2022-08-22,0
Barbara Evans,5,2022-07-04,Customer service is top notch,Customer service is top notch.  We had to make a few adjustments to Dustys Box - he wasn't as aggressive a chewer as I  thought.  BarkBox had no problem with that at all and Dusty really has enjoyed his boxes and his treats.,2022-07-04,1
AG,5,2022-07-04,Our family loves Barkbox!! 🐶 ❤️,"We have been members since the beginnings of this great company! Our dogs love their toys and treats, and we love to see them happy! I also love how responsive Customer Service is to our questions and requests. ❤️ When our first dog passed away, they sent us a sketch of her made by one of their artists, and toys for her memorial service. We are forever grateful! 🙏❤️ Our current doggie, runs to open the box as soon as it arrives!! 😂❤️ Thank you and keep doing an awesome job @Barkbox!!! 👏👏🎉🎉",2022-07-04,0
Jodi Quinlan,5,2022-07-04,Great products!!,"This service was suggested to me by my daughter who used them for her pup. I was very pleased with the box contents and variety of toys. 
My dog especially loved the treats. 
I recommend the Super Chewer for those with pups that restrict their toys in no time flat!!",2022-07-04,0
Chris,5,2022-07-04,We’d certainly recommend Barkbox.…,"We’ve been very pleased with our Barkbox subscription. Our pup tends to destroy the store-bought toys we get her pretty quickly. The plush toys that have come in our Barkboxes have not only been both squeaky and crinkly (the two qualities she loves in a plush toy) but they’ve been remarkably durable. So durable, in fact, I wish we could get an “every-other-month” subscription rather than monthly because we’ve unintentionally begun stockpiling toys because the ones we’ve gotten are beloved & they last.
We did have one toy stop squeaking on the second day & I sent in a comment to Barkbox customer service. They immediately sent a replacement and graciously so.
The treats in the boxes are all natural and our dog has liked them all so far. But the toys are the stars. 
Finally, the company is very personal in their support. The customer service rep with whom we interacted said she’d love to see a pic of our dog, Daphne. We obligated. Later they sent us a hand drawing someone on their staff made of Daphne. A very nice gesture.
In any case, we’d certainly recommend Barkbox.",2022-07-04,0
Sofia Rodriguez,1,2023-06-21,"Satisfaction guarantee is a joke, do not buy","I had a Bark Bright subscription for 6 months. After one month, I wasn’t seeing results so switched from the tough chewer to the regular one. The tough chewer is given every other day while the regular is given every day, so I thought that might solve the problem. Support told me to give it a few months to see results, so I did. I cancel the subscription because I’m not totally happy, but because I’d signed up for a 6 month one, I had to keep receiving the boxes. I used it hoping that Support was right and it just took time. 5 months later, no results. I contact them back to get a refund according to their satisfaction guarantee, and they tell me I would only be eligible for a refund if I had canceled after a month. Really opaque and unfair to advertise a satisfaction guarantee then have support agents give customers the run around until the invisible timer runs out on their guarantee.",2023-06-20,0
Drezden Ford,5,2022-07-04,Bark Box is Amazing!,Great customer service and always helpful in resolving my issue! They are very accommodating to make sure my dog is getting what he needs in his bark box. Been a customer for over 4 yrs and my dog still gets excited seeing the box in the mail.,2022-07-04,0
Michael higgins,4,2022-06-28,Small dog improvement could be better,I ordered bark box for our small dog molly a Cavalier a few times I had to make changes to the treats because they weren’t soft enough for her . One time I had to request a because they sent ones that were too tough for her she doesn’t have the jaw strength,2022-06-28,0
Sandy Heywood,5,2022-07-05,Great treats and toys,"I love the selection of toys and with having a  chicken allergy, I am so thankful for the selection of treats still available for our pups. They get so excited every time the box comes and they see new toys!",2022-07-05,0
freonlady,4,2022-07-04,My dog loved everything about barkbox,"My dog loved everything about barkbox! His toys are still holding up very impressed, he loved the treats wasn't any that he turned down ,the reason I quit was the delivery which I don't really think was the company fault ,at the time of covid ,storms many things went wrong with the mailings, unfortunately my lack of work due to covid made me decide to cut back on expenses! I would recommend bark box to anyone wanting to have quality snacks and toys for thier babies of fur!",2022-07-04,0
Sarah Carpenter,5,2022-06-30,This company is excellent in there…,This company is excellent in there customer service. There boxes are extremely well diversified in what they send. My dog an I are both very satisfied with the products we received. I would recommend this company to anyone who has a dog or cat. If I could I’d give them more than 5 stars. Thank you so much for everything.,2022-06-30,0
AdventuresofOpie,5,2022-07-04,We Love BarkBox!,We loved our surprise box each month. Toy quality was great and exciting. The treats were some of my pups favorites! The customer service was top notch!!! Thank you for always making things right! Great Job BarkBox!,2022-07-04,0
Kathie Grimes,4,2022-07-05,Read the fine print,"Once I learned that the free gift promotion was only for new subscriptions & not new gift subscriptions, I was going to cancel my gift.  I would just send it to myself & give to my grand puppy later.  Luckily, they fixed it so I could get the free gift & leave my original gift subscription like it was.  Why the promo didn’t cover gifts I do not know.",2022-07-05,0
Marilyn,5,2022-07-04,Customer service is UNBEATABLE!,"Customer service is UNBEATABLE!
Products are amazing. My dogs LOVED the treats. 
Hands down best experience with any subscription service that I’ve ever used.",2022-07-04,0
Maggie Varner,5,2023-04-26,Paul B was amazing as was Cris,Paul B was amazing as was Cris! I wish I could go back and review Paul in chat but he deserves a steak dinner for dealing with me,2023-04-25,0
Sally Wrayno,5,2022-07-04,This is an awesome service!,"This is an awesome service.
Our dog, Gabriel, recognizes the box on the porch and gets so excited, I can barely get in the door with it!
Staff has been super friendly and helpful. They have always fixed any issues. We love BarkBox!",2022-07-04,0
Mysti Snyder,5,2022-07-04,Worth it!,"Excellent service! Worth the money, and my dog knew when it was finally his package that arrived every month. I would have liked to see more chew resistant toys though, they never lasted a month. Even replacements would have had the same fate. Overall, worth it and I’d do it again.",2022-07-04,0
Jen Winston,5,2022-07-06,Box Sniffers!,"My mom has a couple of Dogs, KatieJane (GSP) and Roux (Rhodie) who are box sniffing detectors!!   They know when that box hits the mailbox!  My German Shephers loves them so much.  So, we decided to send them a treat last month!  It was very very exciting for them!  We recieved videos of them waiting patiently at the door for the mailman to leave their treat in the mail box,  and then of them clobering my mom to get the box!!!   They truely enjoyed the treats and gifts!  Charlies box came the next day and that is always a treat!  Sometimes, I think he is part cat, because he likes the box almost as much as the  stuff on the inside!  Whatever magic you put in that box, its hysterical to watch!  Thank you guys for being doggo-friendly and fun!",2022-07-06,0
Becky,5,2022-07-04,The dogs are loving their dinosaurs,The dogs are loving their dinosaurs! This box was very exciting and we chose to add a TRex puppet which has added some extra excitement! This one was a huge win!,2022-07-04,0
Erin Kelly,5,2022-07-04,Highly Recommend,I love Bark Box and so does my dog Nolan!! It’s perfect. There’s rarely an issue but the one time I had an issue I had the best customer service experience. Highly recommend!!,2022-07-04,0
Sherry Ingram,5,2022-07-04,We love BarkBox,"We love BarkBox! 

They make sure that everything is perfect for my dogs.  If a toy isn't exactly what they like, they will replace it with a different one.  I have one dog that has allergies and they do everything possible to accommodate for them. They truly care!  Thank you BarkBox!",2022-07-04,0
Cari,5,2022-06-28,Gotta Love Barkbox,"As a dog owner, I absolutely love barkbox! My dog is a huge chewer so we get him the super chewer boxes. He has loved and played with every toy he has ever gotten in a barkbox. He loves all of the treats and even recognizes the box they come in! I only have great things to say when it comes to the customer service as well. I received the wrong order once- ONLY ONCE- and they still sent everything I ordered in a timely manner! They were very professional and really wanted to make sure that my dog was getting everything he was supposed to have. Barkbox is amazing, I highly recommend it. We love it!❤🐾",2022-06-28,0
Nancy Thompson,5,2022-07-04,I was using Bark Box for my Grand dogs…,"I was using Bark Box for my Grand dogs Cody and Rocket, both of them are ""doodles"", one a Labradoodle and the other a Bermadoodle.  I could almost tell everyone, they could tell by the Box that their toy and treat were inside.  I would split the toys and treats inside with each one.
I think the theme of the month idea was so incredible creative and the toys that went along with the toys were marvelous.   Everything was done so well, sent in a timely manner, and in a safe box.  I am divorcing my husband and can no longer afford these boxes, and have no dog of my own.  That is the reason I stopped my subscription.  But I loved this idea, and I think it is a clever way to give a dog treats and toys that are fun and exciting.  Nancy Thompson",2022-07-04,0
Kim ,5,2022-07-04,Great Customer Service!,"My year old pup actually seems to know when the box arrives that it’s for her! When I first ordered, I got the box for heavy chewers but the toys were TOO tough for her puppy teeth! I spoke to a rep who helped me adjust my subscription. VERY helpful and pleasant customer service! Now we are both happy😄",2022-07-04,0
Shanmarie,4,2022-07-05,I received great customer service,"I received great customer service. However, I have been paying for a subscription with treats that my dogs can't eat for a long time only because I never saw an option to not have the treats. It wasn't out in the open. I had to initiate a call to discover I didn't need to receive the treats. If the treats didn't have junk in them and were single protein items I could get these treats.",2022-07-05,0
Ann Widman,5,2022-07-04,Loved our bark boxes,"Loved our bark boxes, toys are durable etc...but ended up not needing new ones so often and treats are special at our house so we ended up with an abundance of treats, we loved the great value, and quality of everything.  Just taking a break for a little while.🙂",2022-07-04,0
Jill Thomas,5,2022-07-07,High quality products,"Everything that we received has been very high quality. I had to contact customer service once due to a delivery service issue, but Barkbox went above and beyond in their response.",2022-07-07,0
Kris Zdunczyk,5,2022-07-12,"Gibbs' ""got day"" box","Gibbs literally walked in to our house...a stray with a leash and a collar! Don't know his birthday so that day is his ""got day""! His monthly box with 'party supplies' got stuck in Atlanta and I was bummed. Contacted the AWESOME reps at BarkBox, and they ARE awesome,  and they got my Gibbs all fixed up! Wasn't even their fault but they fixed it and did it with a great attitude.  That is so appreciated these days!! Love BarkBox!!!!",2022-07-12,0
Maria L,5,2022-11-02,We enjoyed the toys and treats for our…,"We enjoyed the toys and treats for our little dog, but when things became financially tough they canceled our subscription after it was already taken out of my account and refunded me, and was very kind.",2022-11-02,0
Maurice - NM ,4,2022-07-04,We love receiving Bailey’s monthly toy…,"We love receiving Bailey’s monthly toy box! The toys are great quality, the treats are favored and the overall value is awesome! Not sure what happened last month but Bailey had to wait until the end of the month for her toy box to arrive; she was fresh out of toys when the box arrived. We still love BarkBox despite the delay.",2022-07-04,0
Darlene Modrzejowski,5,2022-07-06,Buddy loves his Bark Box,Buddy loves his Bark Box!  He sees the box and just wags his tail until I can get the box open!  Once open he wants to take the toys out himself - but I need to check them first to make sure there are no peanut butter toy inside.  He will take each toy one at a time and then pick his favorite.,2022-07-06,0
marylee caldwell,5,2022-07-27,BarkBox is an awesome reoccurring…,BarkBox is an awesome reoccurring happiness for Bella. She knows the box and stares at it on the counter until the unveiling. Excitement abounds,2022-07-27,0
Brenda Huey,5,2022-07-04,Excellemt service!!,I have a bark bix sent to my granddogs every month in Wisconson...they know for sure when it comes and what its all about...1 time i wasnt happy with a toy they put in tbe box and they sent a different toy right away...very satisfied with their service and live the different themes each month!,2022-07-04,0
Colleen,5,2022-07-04,We ❤️ BarkBox!,Both of our small dogs love the BarkBox treats and toys. They get so excited each month when the BarkBox arrives. I love the themes each month and how they coordinate together.,2022-07-04,0
Marlena Todd,5,2022-07-08,Great team and product,The boxes are always great with items my pups love. Anytime I have any issue the bark box team is kind and fixes. Quickly and usually goes over the top to make it right with extra  loving gifts for my fur babies. Thank you for your awesome work,2022-07-08,0
Christopher,5,2022-07-14,Good Themes Quality Toys,"The themes are always fun, and I personally enjoy the naming of the toys. The one that cracked me up was the clear ball for Space Jam...Bill Murray quote. The super chewer box has toys that last a long time. Dog toys usually don't last a week (plush 10 mins) in our house, but these last.",2022-07-14,0
Loki Casper-Miltner,5,2022-07-04,Our dog Loki LOVES BarkBox,"Our dog Loki LOVES BarkBox. There are toys in there that we never would have picked out for him that we won't put down for days. And, for the first time since we've had him (over 2 years) he took a toy on a walk with him. We've also had great customer service when we've had questions. 

I was hesitant to sign up for BarkBox, and now I wish we had ages ago!",2022-07-04,0
Michael Axelberd,5,2023-03-24,So far so good and my daughter has been…,So far so good and my daughter has been using them for years now.  She loves loves loves them.   We got the $22.00 package and when you compare what you get from them and at a PetSmart or a Petco the prices are very fair. Our dog loves the toys and we are so happy to do business with these folks.,2023-03-20,0
Sam Wallgren,5,2022-06-28,I love getting Bark box my dogs get so…,"I love getting Bark box my dogs get so excited when they see the box. 
Bark box is very Accommodating and easy to ask questions. They get back to you fast. The toy are great. Love the Characters that they come out with. They are very durable  For what you get in a box it’s very affordable!",2022-06-28,0
Elizabeth,5,2022-06-29,Ivan loves getting his Bark Box,Ivan loves getting his Bark Box! He loves all the toys but I can usually see a favorite right away. Customer service is amazing. Bark Box is all around awesome!,2022-06-29,0
Renzo Blake,5,2022-07-05,Barkbox quickly responds to all my…,Barkbox quickly responds to all my issues that I may ask.  My dog looks forward each month to receiving his box!,2022-07-05,0
Tobi Bernth,5,2022-07-05,I absolutely love Bark Box,I absolutely love Bark Box. My dogs know the box when it's left on the front porch and when I bring it in the house they go crazy.  It is a fun thing to look forward each month. The toys are well made and very creative. I almost enjoy the Bark Box arrival as much as my dogs do.,2022-07-05,0
LondonShopper,5,2022-09-17,Great !,"I signed up for a 6 month subscription, got a discount and freebie gift that we still use.  
The first box lasted 3 seconds because of my giant breed.  I emailed them and they just switched the contents to tough toys and snacks.  Brilliant.
The toys are all decent quality and so are the snacks.  The price is well worth it.
So it's just come to the end of my 6 months and we are in a strained financial situation, so I emailed them that I was leaving.  The refund was in my account within 30 MINUTES !!!! They did ask why i was leaving and if i was unhappy, but they didnt try and pressure at all.  I dealt with Kristina who was funny, kind and professional in her communication.  Their customer care is really unique, I love it.
Also remembered that we had delivery issue one month, it was with the courier and they lost it or something along those lines, emailed customer service and they sorted it all quickly.  No stress, their emails made me smile, I forgot I was annoyed.  
I will definitely be back to subscribe when we are able to.  Their customer service is always fresh and on point, their products are lovely, and the value is awesome.",2022-09-17,0
Bryant Sparks,5,2022-07-04,From Robin and Remington,"From Robin and Remington : 
Thank you for everything Remington loves his toys every month you all are awesome!!!",2022-07-04,0
Grace Leonard,5,2022-07-04,BarkBox is great!,BarkBox is great to work with. The staff was very compassionate with my unique circumstance. I have recommended BarkBox to several of my friends.,2022-07-04,0
Erin Dudley,5,2022-07-04,Our dog loves getting his box every…,Our dog loves getting his box every month!! We have always been pleased with everything and they have the best customer service I have ever encountered!!,2022-07-04,0
Darlene McDowell,5,2022-07-01,Rainy LOVES her treats,My dog Rainy loves to see her BarkBox each month.  We love to see it also because we can't buy the quality that we receive at any pet store.  It is great not to have to go out to search for  treats for our dog.  Our cats gather around the box also!  Everybody loves Barkbox at our house!,2022-07-01,0
Andrew Benbenek,5,2022-07-04,Unfortunately what I was looking for…,Unfortunately what I was looking for was out of stock but was given great help  as always from the bark team,2022-07-04,0
Valerie Haythorn,5,2022-07-04,Loki loves his box so much that anytime…,"Loki loves his box so much that anytime I get a package, he thinks it is his box. You can see the look of disappointment on his face.  He usually loves everything but now and then he turns his nose up. One time he likes the chicken, next he won't, then he will. Finicky Loki.",2022-07-04,0
Kathy Hays,5,2022-07-20,Simple times,So far everything that I have received from barkbox has been a good quality products of toys and treats. My dog enjoys each new toy and treats with with a a face full of love,2022-07-20,0
Christine Gibbs,5,2022-12-04,The indestructible toys,I have 2 100lb PitBulls and they play tug of war with the Barkbox toys! They pull these toys with all their might fighting to get it for their own! Not once have they yet to tear these toys apart! I recommend Barkbox to anyone who has dogs like I do!,2022-12-04,0
Molly Hines,5,2022-07-04,Bark Box was absolutely amazing,Bark Box was absolutely amazing! Our dog loves the toys & jerky! The super chewers box is great quality.,2022-07-04,0
customer,5,2022-07-04,Birthday box is quite cute,Birthday box is quite cute. Just wish it would have gotten here before or on her birthday. Definitely makes for some great photo shots,2022-07-04,0
Sally Markel,5,2022-07-02,I love bark box I tell everyone I k ow…,I love bark box I tell everyone I k ow that has a pet that if they want good toys for there pets to go to bark box. OH and my pit and now golden retriever loves it also. Thank you,2022-07-02,0
Lisa Davis,5,2022-07-05,My pup always loves her BarkBox,"My pup always loves her BarkBox, but is especially happy about the assortment of treats.",2022-07-05,0
Daphne Rivers,5,2022-07-04,Great service and high quality…,Great service and high quality products. I love the convenience that BarkBox offers.,2022-07-04,0
Louise Phillips,3,2022-10-23,Great boxes - crummy subscription options,The boxes are great.  My problem is their automatic renew policy.  It is incredibly hard to cancel / turn off this auto renewal and they give you zero notice that a box is going to be shipped so you can stop it.  This is relatively new.  For former family pets I was able to order and every other month box for 6 months.  This is no longer an option that I could find.  I'm very frustrated and a little broke.,2022-10-22,1
Michelle Gallagher,5,2022-06-30,Sarge is a very happy dog!,"Sarge is a very happy dog!! When I got his replacement toy, he has been so happy. The ball is perfect for him and he has not stopped! Thank You for being so wonderful to me and my dog! Love this company!",2022-06-30,0
Jordan Moore,5,2022-07-04,My dog absolutely loves the treats and…,"My dog absolutely loves the treats and toys in every box, and the toys are extremely durable.",2022-07-04,0
R.,4,2022-07-04,We love our box but I have asked…,We love our box but I have asked several times that we change the kind of toy that comes and it has stayed the same.,2022-07-04,0
Moriah Carney,5,2022-07-07,We love Bark Box!,"Our 7 month of lab, Willow loves getting her Bark box each month. We are huge fans and love the monthly add-on options.",2022-07-07,0
Hannah Campbell,5,2022-07-05,They are absolutely amazing about…,They are absolutely amazing about correcting issues and handling the concerns and issues as best as they can and they want their customers to be happy,2022-07-05,0
Sandra Combs,1,2023-04-19,The quality control and shipping is a…,"The quality control and shipping is a joke. Despite how many times you write them, talk to them, nothing is addressed and the inadequate service continues. The boxes arrive very late in the month or not at all! For the last six months I expressed my concerns but it was dismissed,",2023-04-18,0
Rebecca Guffey,5,2022-07-04,I love bark box,I love bark box. My Pumpkin gets so excited when the show up. Also costumer service is amazing. They genuinely want to make sure you and your pup are happy.,2022-07-04,0
Wendy Potter,5,2022-07-04,They are always great with customer…,They are always great with customer service and what you and your dog needs.,2022-07-04,0
Doris Carey,5,2022-07-02,Buford loves his BarkBox,"Buford loves his BarkBox. He's so excited when he gets it each month. He smothers me in kisses like he's saying ""Thank You Mommy""! 
Lol
I love it too!",2022-07-02,0
Amanda White,5,2022-06-28,Tofu loves his barkbox,Tofu loves his barkbox! Now anytime we get a package delivered he thinks it should be for him.,2022-06-28,0
Karla Dillon,1,2023-03-06,My daughter has had for years…she lost…,"My daughter has had for years…she lost her dog to cancer and tried to cancel and they were not able to do so because the contract is yearly and renews automatically so set your calendar as a reminder or you are auto trapped into another year.  Very nothurtful to get BarkBox every month after losing dog who loved getting it. Every month until the contract is up….it should be a monthly that can be cancelled at any time. 
Beware of the fine print.",2023-03-06,0
Atisha Jackson,5,2022-06-28,Bark box is the best organization and…,Bark box is the best organization and they work hard to make customers feel important and they do an excellent job.,2022-06-28,0
Sarah,5,2022-07-04,Zeus and Sarah,Zeus loves when his bark box arrives.  He absolutely loves getting the treats but most of all loves his toys.,2022-07-04,0
Sam W,1,2023-05-02,Scam,Scam! They take your money even after you request to cancel. DO NOT SIGN UP!! They clearly need your money! If you’ve already signed up cancel your debit card and get a new one to save yourself the trouble of dealing with the awful customer service. They must have employees writing these reviews SCAM,2023-05-01,1
