Name,Stars,Date,Title,Description,Helpful,Not_Helpful
Donna D.,5,2023-06-30,Minnie loves her BARK Turkey and Sweet Potato,"Minnie loves her BARK food.  She has an upset tummy sometimes, so the Grain-free Turkey and Sweet Potato  is great for her.   When the BARK box comes Minnie lays right next to it saying ""please open""!  Very cute!.  Thank you Bark for the great product!   We love the packaging too!",0,0
Kimberly K S.,5,2023-06-29,Loves It,"Shay is a picky eater but she loves the Turkey & Sweet Potato food.  Finally, something she will eat constantly and it has been several months.  ",0,0
Brandy P.,5,2023-06-27,Gobble Gobble Grain Free Gibble,My dog has allergies and so this food was perfect,0,0
Sophia M.,5,2023-06-22,Dog Food,My dog absolutely loves it! I love that it is a resealable bag and keeps the food fresh!! ,0,0
Corina W.,5,2023-06-15,Happy Puppy,Zelos loves his kibble,0,0
Lawrence S.,5,2023-06-14,Awesome Food my boxer Loves it!,Awesome Food my boxer Loves it!,0,0
Alexa D.,5,2023-06-08,my dogs like,"My dogs enjoy the food.  I have noticed it is close to constipating for them so I cut it by mixing with COSTCO Salmon dry and they appear to have happier tummies.  I also add snap peas topping once a day to increase the fiber which guarantees softer ""performance"" in the morning.",0,0
Jocelyn G.,5,2023-06-06,We love it! ,Don’t let the look on his face fool you… we absolutely love the BarkBox pittie food around here!! Kibble of the Sea has made a noticeable difference in his coat (soft and shiny!!) and we’re happy knowing he’s getting the right blend of supplements and nutrients that he needs. ,1,0
Nathan L.,5,2023-06-05,My pup loves this stuff!,My Sydney is quite the finicky pup and she loves this stuff. The moment she hears the bag she darts towards it lol.  I specifically chose this formula for the skin and coat benefits and it does not disappoint!,0,0
Ryan S.,5,2023-06-04,Life Changing,"As with most Boxers, Pearl has skin issues from birth. She has been getting monthly allergy shots just to keep her skin from being itchy and causing her to dig until it bled! This food has eliminated all itchiness and she hasn’t had an allergy injection since we started. Saving at least $200 a month in vet costs! Most importantly, she’s a happy pup again!!! Thank you bark!",1,0
Robin L.,5,2023-06-01,Kibble,They love it and it’s good for Pibbles being high in protein,0,1
Tanya C.,5,2023-05-31,LUNA LOVES IT. SHE IS THE PICKEST DOG I HAVE EVER HAD.,Luna loves it I mixed it with turkey. ,0,0
Sandy R.,5,2023-07-10,GREAT!,"My 2shorkies, Thor and Loki gobble up the chicken and rice for small breeds.  The kibble is smallest I have come across.  Great for smallish pups!",0,0
Amy E.,5,2023-07-05,Love it,My chihuahuas and my pug love this. I had such a hard time find a food that my chihuahuas would eat but they both eat this. ,0,0
Rosanna W.,5,2023-06-30,Feed back,"The dog likes it and she keeps it down, Abbey has a sensitive tummy can handle it.",0,0
Kayla W.,5,2023-06-26,My chihuahuas refuse their old food now!!!,"My chihuahuas (3 of them to be exact) have been absolutely LOVING this food!! The first day i opened up the bag, they came SPRINTING to get a smell!! Must’ve had a very strong appetizing smell! I mixed in some (as directed) with their old food to begin transitioning, and they picked around and ONLY ate the new food, and left all the old food behind! No upset stomachs either from switching themselves over so suddenly! Safe to say, this food is the absolute BEST for picky eaters like my own, and they’ve seemed to have more energy after 2 weeks of being on this food! Forever keeping my subscription!!",1,0
Amanda G.,5,2023-06-23,The Tale  of the Pickiest Pup,"   This pupster has tried every food on the market         ( exaggeration ). However,  I was chatting with a representative, one day, about a shipping delay for Roxy’s  Barkbox.. The agent mentioned a food formulated for small dogs. Roxy and I bought it immediately, not expecting much. Roxy bought the Bada Beef food topper also. 
    Fast Forward to today.  She eats a serving size at least every day. Which is more than 1 and 2 kibbles here and there with any other brand. 
    Thanks you for making this food, I have enclosed a picture of Roxy eating a cookie. 😇",1,0
Stephanie G.,5,2023-06-23,They love it,The gobble it up!,1,0
Rosa V L.,5,2023-06-22,Happy Baby,Winchester loves this dog food. He doesn’t eat all at one time. He goes to his play all day long. A little bit here a little bit there!  What I would like is ideas for Winchester for wet food. I do not buy him wet food,0,1
Leslie M.,5,2023-06-17,Yum!,And he poops less,0,0
Laura L.,5,2023-06-12,My picky eater loves it,He has never before eaten all his food in one go. He loves this! ,1,0
Dianne S.,5,2023-06-02,Great food for my fur babies,Great for my little fur babies 🐶 🐕 🐶 🐕 ❤️ 💙 💜 💖 ,0,0
Eva S.,5,2023-05-30,She loves it,It's a great snack,0,0
Teresa C.,5,2023-05-28,Picky Dog 🐕,"I am sure the dog food is really good, that being said I have the most picky dog in the world. She would not eat it even with the topper. I did give it to my neighbors and their dogs loved it.",0,0
Denise M.,5,2023-05-27,Winston Furchill loves his new food!!,Excellent!!!,0,0
Amanda T.,5,2023-05-25,Great stuff!,My guy LOVES this food. He is a VERY picky eater but he literally drools for this food when it is breakfast and dinner time.,0,0
Jennifer M.,5,2023-05-21,My labradoodle loved it,"He enjoys the taste, keeps him at a healthy weight and he tolerates it well.",0,0
Bobbi C.,5,2023-06-07,Duke approved ,So far so good! Duke loves it. I swear the boxes and bags from yall are all bacon scented. Duke went nuts smelling the box this came in! Cute design on the bag as well. ,0,0
Tanya C.,5,2023-05-31,Picked girl ,Luna loves it ,0,0
Jill M.,5,2023-05-24,For turkey lovers,Mika loved the turkey and sweet potato bark food from the minute I opened the bag. Now she won't eat any of her leftover old dog food. Her favorite food and toy!!!,0,0
Julie P.,5,2023-05-19,Trudie loves it!,My dog GSD Trudie loves the adult grain-free turkey & sweet potato food. She was sniffing at the bag as soon as I got it out of the box it was delivered in. I poured some in her bowl & she devoured it. She has had some digestive issues in the past but this didn’t cause her any problems. ,0,0
Tommy K.,5,2023-04-20,Tastes like chocolate,My Pitbull eats this the first day I put it down she didn't jump all over it I added some warm water to it and that was it she destroyed it and loves it nice smell and I tasted my fingers after touching it in the taste of decent even for people,2,0
Tiffany R.,5,2023-07-15,Great ,Ryder loves it. First puppy food that is dry that he likes to eat. I'm so happy I ordered the adult one now to stock up lol,0,0
Jessica S.,5,2023-07-14,The only food my dogs will eat!!!!!,I have tried SEVERAL different types of dog food and this is the only one my dogs will eat!!!!,0,0
Destiny M.,5,2023-07-14,Excellent!,My puppy is a very picky eater and everything I would try to give her she nibbled and just wasn’t interested. But I saw this online and thought I’d try it out and she LOVES it! She gets so excited when it’s time to eat. Highly recommend.,0,0
Juli W.,5,2023-07-04,Nukie loves it!!,"She absolutely loves her pit Bull puppy food! 
Had to just “up” my shipment as she grows!!",0,0
Christy L.,5,2023-06-25,Tucker Approved,My puppy loves his food but my very elderly dog loves it too. He started stealing it so now he gets his own.,0,0
Ruckus W.,5,2023-06-16,Ruckus Loved His Kibbles,He eats this very well!! ,2,0
Denuse M.,5,2023-06-12,Puppy chicken&Brown rice,Ate this right up and helped with my pups loose stools. ,1,0
Elizabeth H.,5,2023-06-12,Tiny mouth loves the Tiny bites,My Mini Dachshund loves this. It’s the perfect size for his little mouth and teeth. He loves to run by grab a mouthful and keep on playing. He will spit out different brands because they are too big. ,1,0
Doris P.,5,2023-06-09,Best Food,My pup loves it.,0,0
Jarrod R.,5,2023-06-08,Loves it,"Loves the food. Great value too.

However there was a hole (looked like a processing hole) that punctured the box and the bag of food. So food leaked out in transit.",0,0
Tanya C.,5,2023-05-31,LUNA LOVES IT. SHE IS THE PICKEST DOG I HAVE EVER HAD.,Luna loves it I mixed it with turkey. ,0,0
Heather W.,5,2023-05-30,She loves it!,"I was initially concerned about buying a whole bag for my pitbull who had recently become a picky eater when it came to her kibble. Normally the hungriest of hungry hippos, she had started being finicky about eating the kibble she's gobbled for years. We tried switching her to Kibble of the Sea and she gobbles down every bite whether it's topped with beef sprinkle or not! She definitely loves it and has gotten her spunk back now that she's eating regularly again!",0,0
Jonathan Y.,5,2023-05-27,Latest order ,Loved it ,0,0
Sonja B.,5,2023-05-27,AWESOME!,My Pittie LOVES her new food! Mealtime is a tail wagging event!!! She makes the entire house happy with that tail of hers (dancing is involved) !!!,0,0
April R.,5,2023-05-27,Rusty loves it!,"Great food, Rusty loves it!",0,0
Jennifer M.,5,2023-05-21,My labradoodle loved it,"He enjoys the taste, keeps him at a healthy weight and he tolerates it well.",0,0
Christina A.,5,2023-05-15,Worth the money!,"Brigid loves her new food, and I don't worry about it being healthy. I know she's getting everything she needs and nothing extra!",0,0
April F.,5,2023-05-11,My doggie loves this!,"My dog loves this so much, she wants me to put it in her treat ball.",0,1
Craig G.,5,2023-05-09,Pupper approved,My picky doggo loves this food I am so happy no more food fights!,0,0
Sara B.,5,2023-05-08,Great Conversion Food for Puppies,"My puppy needed to start weening off his Puppy Chow, but I was so overwhelmed with all the adult options everywhere. Bark has been such a solid brand that when they sent me an email regarding their new food, I trusted them over all others to provide him a successful transition. He absolutely loves this food and it will be a staple in our home. ",1,0
Iris Domínguez K.,5,2023-07-17,Peach Keiser review ,Peach likes it.. she is a very picky eater. ,1,0
Jonathan Y.,5,2023-07-17,Loved them ,They go crazy over them,0,1
Amy R.,5,2023-07-17,Favorite treats,This seems to be my dogs’ favorite treats. They come running as soon as they hear the bag! ,0,0
Carolyn J.,5,2023-07-12,5 Stars,They love it!,0,2
Donna H.,5,2023-07-09,Great food add on!,Made my bullies eager to eat their dinner! So glad they love them! Now Bark Box make these in a Lamb & Salmon flavor to give our little loves a multiple choice for their dinners♥️,2,0
Tracey R.,5,2023-07-06,Love!,My Bailey absolutely loves this! ,1,1
David Clements J.,5,2023-07-06,Loves Them,Branch loves when I add these to his bowl ,0,1
Mary M.,5,2023-07-06,Blitz,Great,1,0
Alissa O.,5,2023-07-05,My dogs said its yummy!,Both love it. I use it for treats.,0,2
Constance J.,5,2023-07-02,Loved it,My dog loved it she  very picky eater but love this food ,1,0
Tommy K.,5,2023-04-20,Tastes like chocolate,My Pitbull eats this the first day I put it down she didn't jump all over it I added some warm water to it and that was it she destroyed it and loves it nice smell and I tasted my fingers after touching it in the taste of decent even for people,2,0
donna s.,5,2023-04-13,Kido,They love this food!!,0,0
Eileen D.,5,2023-04-12,Woof!,He woofs it up!,1,0
Maverick S.,5,2023-04-05,Pupper is in love,We've trying different foods for our newest member and this has been a winner by far. He has been very excited to eat this food and jumps with excitement. Very happy to find something he likes. ,1,0
Sheila S.,5,2023-03-30,Both dogs loved it,"Both of my dogs gobbled it up! One has a sensitive stomach, but he has been doing great with it. ",0,0
Jennifer J.,5,2023-07-18,Pouring this ,Wrigley loves it!  We call it his “sprinkles” and he gets extra excited at meal times. We have the Bada Bing Beef and it is nice to have options and keep Wrigley guessing. The  bottle is also great for easy storage and dispensing.,0,0
Jilleyn J.,5,2023-07-15,Perfect to Top Veggies for my Dog,"I love these toppers, including Bada Bing, Bada Beef! My dog is on a diet and I feed him protein & veggies. I really wanted him to like the veggies, and these toppers make it easy. ",0,0
Tim C.,5,2023-07-15,Topper liking Beagle opinion,Piper the Beagle is ready to eat after smelling/tasting this topper. All the Bark toppers seem to have similar affects.,1,0
Mike N.,5,2023-07-14,Addicted!,Our boy wont eat until we sprinkle these magical little chicken flakes on his food!,0,0
Renee S.,5,2023-07-14,Ruby loves it!,"As Ms. Ruby gets older, we need to coerce her to eat sometimes.  A little shake and she gobbles down her dinner. ",0,0
Teresa B.,5,2023-07-13,Pour some chicken on me,Ollie loves  them and eats all of his food...no leftovers. ,0,0
Carolyn J.,5,2023-07-12,5 Stars,They loved it!,0,0
Pam F.,5,2023-07-11,Good foot topper,My dogs sometimes need some enticing to eat and this does the trick,0,0
Rachel S.,3,2023-07-07,Picky eaters,They haven't shown any real excitement about this or the beef topper.  I won't order again because I still have to add chicken to their kibble. ,0,0
Joyce G.,1,2023-07-17,Nope,"She would not eat any of it. Anything I sprinkled it on, she wouldn’t eat. Sorry.",1,0
Shelly H.,5,2023-06-04,Buddy loves this food! ,"I was extremely happy to find a puppy food for doodles’ sensitive bellies, his stools are beginning to have form. Since he is 40 lbs the 4 lbs bag only lasted just over a week. So this time I ordered the 15 lbs bag. ",0,0
C Celeste L.,5,2023-05-16,The Best!!!!!,Bernie eats it faster than I can put it in his bowl.  His coat is soo shinney and soft.  We both love it!!!,1,0
Alisa B.,5,2023-05-13,5 Paws Up!!!,"I didn't have any problems getting Sirius Black to switch over to the new food!! Heck, even the cats like it!",0,0
Constance J.,5,2023-05-06,😻,My frenchie loves this food even without his topper. He’s always excited for meal time. So happy I made the switch to Bark food,0,0
Carol R.,5,2023-05-02,Lil' Bits,"Our girl loves small bite kibble and this product fits the bill.  We use both wet and dry food(s) together and the small bites work for us and her, of course.",0,0
April R.,5,2023-05-27,Rusty loves it!,"Great food, Rusty loves it!",0,0
Betty C.,5,2023-05-23,Adult Alaskan Pollock & Brown Rice - 15lb,I have 6 large dogs and feed them with a hopper.  3-15lb bags fill it up and the dogs seem to like the food I got.  ,0,0
Leona H.,5,2023-05-22,Love it 💗,"My dog CASH  truly enjoys the dog food. I got the suggestion from the young lady on TikTok of what her dog is eating and that’s how I found out about bark and I thank her for passing the information on the thank you all for creating it for dogs like mine American bully, he loves it.",0,0
Andrea S.,5,2023-05-19,George and his best friend Reek!,Fantastic!!  My fur baby-s coat/fur looks the BEST it has ever looked due to this food. I would 100 % recommend this to any dog momma or poppa!!,0,0
Victoriah V.,5,2023-05-15,Happy puppy - happy Mom,"We switched her from her breeders food about two weeks after we brought her home and im so glad we switched her to the barkbox bully food. My American Staffordshire Terrier, has had no skin issues since. No dryness, no dandruff, no excess shedding. Hubby even says her coat looks alot better, shes now loves bath time!!",0,0
Diana S.,5,2023-07-17,Love the Beef Topper,My Chihuahuas are picky eaters but loved the Beef Topper when added to their dry dog food. They actually ate all their food. I will have to try the Chicken Flavor next ,0,1
Sela S.,5,2023-07-15,The best for my picky pup! ,"My dog LOVES this stuff! Sometimes she’s picky about what she eats and I’ve recently had to sneak medicine into her daily routine which is tough! But if I sprinkle some of this, it works like magic! She eats, she takes the medicine, it’s a wonderful treat for her! She loves it so much I can even sneak her medicine without her noticing. ",0,1
Peggy J.,5,2023-07-15,Beef Dog Food Topper,Bowl licking good.,0,0
Kelly K.,5,2023-07-15,Great Topper,My pups love it. Thank you,1,0
Vidia B.,5,2023-07-14,Enjoyed topping ,Was amazing 🤩 ,0,0
Peggy D.,5,2023-07-11,Problem Solved!,"Our pup is…uhm, chubby, and is on a weight management food.  This  topper has her looking forward to mealtimes again!",0,0
Chloe B.,5,2023-07-10,Great product ,She loves it! She could eat it just by itself if I’d let her,0,0
Tina F.,5,2023-07-10,Dogs love it,If have tried the food toppers from Chewy my dogs didn’t like plus it all stuck together but Banda Bing is incredible it sprinkles out like it should and my dogs love it!!,0,0
Debbie W.,5,2023-07-09,Yum,She loved it!,1,0
Patricia D.,5,2023-07-05,Ate it after I added a little peanut butter to it . She’s a picky eater but loved your treats ! ,"She’s picket , had to add peanut butter so it alittle so she would eat food . ",0,0
Gail G.,5,2023-05-25,Probably great food!,I'm pretty sure by looking at your dog food that it is of good quality. However my dog refused to eat it which is no reflection on your product. She refuses most everything you put in front of her!!,0,0
Ashley M.,5,2023-05-22,Dog food ,It loved it ,0,0
Daisy D.,5,2023-05-17,Very pleased!,She loved it. Even our kitty liked it.,0,0
Lisa B.,5,2023-05-15,All gone!!,"Both doggies, clean their plates!",0,0
Trudy Y.,5,2023-05-11,My dachshund LOVES this,Excellent food for picky eaters ,0,0
Carolyn J.,5,2023-07-12,5 Stars,They love it!,0,0
Debbie W.,5,2023-07-09,Yum Yum,She loved it!,0,0
Alissa O.,5,2023-07-05,Dogs love it ,My dogs love it. They are a  picky eaters and they will eat their if I sprinkle Wham Bam Thank You Ham on their food. ,0,0
Jada M.,5,2023-07-05,Lick approved ,I took the lid off and let the dogs sniff it . They all three started licking it . We miss the moo moo sprinkles but the fur babies loves this one too ,0,0
Tim C.,5,2023-06-29,Wham Bam Beagle!,Again this topper inspire a certain Beagle to eat at meal time instead of seeking the other dog’s food.,0,0
Carol V.,5,2023-06-28,Wham Bam Food’s gone! ,My dog won’t stop eating now until it’s gone! She’s crazy over these toppers!!,0,0
Kerri F.,5,2023-06-24,Senior dog loves it,"My 19 year-old Lab has gotten to a place where he won’t eat fry dog food. Instead, he wants people food. I do indulge him occasionally, but the food toppers have made a difference in his appetite for kibble. If you have an elderly pet that’s getting picky, try this product!",2,0
Sherri G.,5,2023-06-23,My dog is an Oinker!  ,"When we use this topper my dog turns into a little piggy!!!
Awesome!",0,0
Terri R.,5,2023-06-07,Food topper,Lennon loved it ,0,0
amy s.,5,2023-05-28,Wow.,My two dogs (and their cousin who we’ve been babysitting) have been going absolutely INSANE at mealtimes ever since I started sprinkling some of this goodness on their food. I can’t wait to try the other flavors! ,0,0
Sara B.,5,2023-05-08,Great Conversion Food for Puppies,"My puppy needed to start weening off his Puppy Chow, but I was so overwhelmed with all the adult options everywhere. Bark has been such a solid brand that when they sent me an email regarding their new food, I trusted them over all others to provide him a successful transition. He absolutely loves this food and it will be a staple in our home. ",1,0
Megan M.,5,2023-05-08,Pickiest dog,My god loves it. This is the first dog food since we got him that he will actually eat. Which says a lot because he is a lab. 😂,0,0
Casondra B.,5,2023-05-07,Yummy,My Ellie absolutely loves this food,0,0
Paige R.,5,2023-04-26,What a great and well BALANCED Meal!,This is such a great product for your dogs that love to eat and have a bunch of nutrition. My 3 year old German Shepherd loves his food and he looks so much happier and active. You gotta try this!!,3,0
Patti H.,5,2023-04-22,Lovin' it!,Our 18 mo. old standard Goldendoodle loves her food!  ,0,0
Diana S.,5,2023-07-17,Love the Beef Topper,My Chihuahuas are picky eaters but loved the Beef Topper when added to their dry dog food. They actually ate all their food. I will have to try the Chicken Flavor next ,0,1
Sela S.,5,2023-07-15,The best for my picky pup! ,"My dog LOVES this stuff! Sometimes she’s picky about what she eats and I’ve recently had to sneak medicine into her daily routine which is tough! But if I sprinkle some of this, it works like magic! She eats, she takes the medicine, it’s a wonderful treat for her! She loves it so much I can even sneak her medicine without her noticing. ",0,1
Peggy J.,5,2023-07-15,Beef Dog Food Topper,Bowl licking good.,0,0
Kelly K.,5,2023-07-15,Great Topper,My pups love it. Thank you,1,0
Vidia B.,5,2023-07-14,Enjoyed topping ,Was amazing 🤩 ,0,0
Peggy D.,5,2023-07-11,Problem Solved!,"Our pup is…uhm, chubby, and is on a weight management food.  This  topper has her looking forward to mealtimes again!",0,0
Chloe B.,5,2023-07-10,Great product ,She loves it! She could eat it just by itself if I’d let her,0,0
Tina F.,5,2023-07-10,Dogs love it,If have tried the food toppers from Chewy my dogs didn’t like plus it all stuck together but Banda Bing is incredible it sprinkles out like it should and my dogs love it!!,0,0
Debbie W.,5,2023-07-09,Yum,She loved it!,1,0
Patricia D.,5,2023-07-05,Ate it after I added a little peanut butter to it . She’s a picky eater but loved your treats ! ,"She’s picket , had to add peanut butter so it alittle so she would eat food . ",0,0
Michaela F.,5,2023-07-01,My dogs love it,I have a 4 years old sheepadoodle and 16 year old Bichon Frise and they both love this food. They get so happy when it’s time for breakfast and dinner.,1,0
Rachael W.,5,2023-06-28,Chicken Licken Good Popcorn,My dog LOVES these treats!!,0,1
Amber M.,5,2023-06-24,Pups,These are some of their favorite treats! My pups loved them. ,0,4
Sarah S.,5,2023-06-22,Picky eater,Finally found a food that my very picky eater actually enjoys! Both dog mom and dog are very happy.,1,1
Heather S.,5,2023-06-21,Food,Have a super picky and sensitive German shepherd and he absolute loves this food and is digesting it all very well! Have always struggled to find food that doesn’t upset him and this is it. Will continue to buy 😃,2,0
Sheila S.,5,2023-03-30,Both dogs loved it,"Both of my dogs gobbled it up! One has a sensitive stomach, but he has been doing great with it. ",0,0
Louie Z.,5,2023-02-12,Picky Eater,Bear loved it and he is very picky. ,1,0
Brenda R.,5,2023-01-18,YumYum,"My daughter was pleased because Mr. Wilson was happy with his food.

Thank you.

Brenda (Gran Gran) and Mr. Wilson

",0,0
Kimberly G.,2,2023-06-08,Struggles ,"Since starting this new food, my dogs are struggling going to the bathroom. I'm not sure it's the food for them. ",0,0
Jenn K.,2,2023-05-22,Not sure,"I'm still in process of mixing her old food onto transition of this food. It's not going super great. She definitely does not love it. She literally will only eat a few bites out of my hand, then she's over it.",0,0
Amy R.,5,2023-07-17,My dogs love it! ,I’ve just been sprinkling it on their dry food and my dogs really seem to love it (I didn’t read the directions to mix with water) oops! ,0,0
Cindy S.,5,2023-07-07,Food Topper,Auggie LOVES this stuff.,0,0
Robert G.,5,2023-07-06,Happy tummy!,"Dogs absolutely love this! The minute I opened it, even I said “wow this smells really good!” Makes their tummy happy and helps keep meal time healthy. ",0,0
Karen G.,5,2023-07-05,My dogs love it,They love it,0,0
David Clements J.,5,2023-07-05,Love it ,He loved it,0,0
Noah Imani T.,5,2023-07-01,Good,Yes very good,0,0
Sydney G.,5,2023-06-28,Picky eater,"My puppy is a picky eater, but loves this! He’s always happy to see me filling his bowl and eats every last bite",0,0
Kayla W.,5,2023-06-26,My dogs absolutely love it!,"It has the sweetest smell to it, i can see why they like it! I switch between just sprinkling some on, and also adding water, and they immediately go for the food that has the topper on it before the plain kibble part! safe to say this works wonders for my picky eaters! can’t wait to see the future health benefits as well!",0,1
Ashley R.,5,2023-06-22,12/10 doggie approved,"My dog acts like this is crack because he’s obsessed with coconut, but I love that it has clean ingredients. I struggled to find something else like it when it ran out of stock recently.  Was so excited to see it back!  ",0,0
Nick A.,5,2023-06-20,Pumpkin Spice for the Pup! ,this stuff was soooooo awesome ! we love what this has done at mealtime for our 3 month boxer!!! the versatility of the fact it being dry and/or wet/broth! it smells amazing so i can see why my pup loses her mind over this! looking forwards to new flavors !! ,0,1
Carol R.,5,2023-05-02,Lil' Bits,"Our girl loves small bite kibble and this product fits the bill.  We use both wet and dry food(s) together and the small bites work for us and her, of course.",0,0
ariel h.,5,2023-04-26,Puppy Approved!,My pup absolutely loves this and we love that its in such small bite size pieces. ,0,0
Anuska J.,5,2023-03-27,My puppy loves it!,I love how clean ingredients are and my Goldie puppy is loving it!,0,0
Linda B.,5,2023-03-26,My little Buddies favorite.,"Peanut went nuts for these biscuits, when it arrived I opened the box on the floor and the moment the smell hit his little nose he wouldn’t stop trying to get into it. I also purchased Bada Bing! Bada Beef food topper ! when that was added to his food that was it. He was sold. ",0,0
Alyxx B.,5,2023-03-20,Tiny kibbles - great taste!,"Max really likes this kibble. So many of the others we tried (introducing gradually, doing it all right) gave him an upset tummy - this one didn't. He eats it as kibble, plus enjoys it as part of his activity toys. If he has any complaints, it is just that the kibs are so LITTLE....but then, he's a 9 month old shepherd, so maybe it is just that his mouth is so BIG",0,0
Jonathan Y.,5,2023-07-17,Loved them ,They go crazy over them,0,1
Amy R.,5,2023-07-17,Favorite treats,This seems to be my dogs’ favorite treats. They come running as soon as they hear the bag! ,0,0
Carolyn J.,5,2023-07-12,5 Stars,They love it!,0,2
Donna H.,5,2023-07-09,Great food add on!,Made my bullies eager to eat their dinner! So glad they love them! Now Bark Box make these in a Lamb & Salmon flavor to give our little loves a multiple choice for their dinners♥️,2,0
Tracey R.,5,2023-07-06,Love!,My Bailey absolutely loves this! ,1,1
David Clements J.,5,2023-07-06,Loves Them,Branch loves when I add these to his bowl ,0,1
Alissa O.,5,2023-07-05,My dogs said its yummy!,Both love it. I use it for treats.,0,2
Rachael W.,5,2023-06-28,Chicken Licken Good Popcorn,My dog LOVES these treats!!,0,1
Amber M.,5,2023-06-24,Pups,These are some of their favorite treats! My pups loved them. ,0,4
Babs G.,5,2023-06-13,My dog loved these chicken treats ,Dakota loved these treats mixed in his food. ,1,2
