Category,Subcategory,Product Name,Link,Name,# Star,Date,Title,Description,# Helpful
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Lil,4.0,"March 24, 2023",great toys and snacks,"The toys are super cute, but not that durable. Our dog enjoys them a lot nevertheless. Colorful and pretty, a pity they are dismembered the same day. Treats are high quality. I would gladly pay more if treats were available in bigger sizes (qty per bag).",
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Placeholder,4.0,"February 16, 2023",Too few toys,Bought this as a gift. Dogs liked tje treats but Will cancel the subscription because there are not enough toys.,One
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Kindle Customer,5.0,"April 28, 2023",Dogs love it,The dogs are very excited when their box arrives. I open it and put it on the floor and let them shuffle through and pick their toys,2
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Sarah O'Hara,5.0,"March 3, 2021",Wonderful Box for My Pup,"For those that are saying this box is not worth the $35 I challenge you to find the same things that are in these boxes and see how much they cost. The toys cost around $10-15 each and the treats range from $5-10 for each package, sometimes more. The extra treat they add in is usually a premium thing, from my experience, that can cost anywhere from $7-16 so if you add all this together the value is $37-66. I would say it was worth it for the value of the toys and treats you get. If your pup is chewing them to pieces, the Barkbox people offer a Super chewer box, you just need to email them! If your pup damages a toy or it becomes harmful to your pet, let Barkbox know and they will do what they can to rectify the situation. A previous review I read stated that one pup got injured by a defective toy, and was hospitalized. The owner contacted Barkbox and they paid for the vet bills as well as a new toy for the injured pup. It was that review that convinced me this was the best box for my pup. I don't have a super chewer that destroys toys in minutes but I can tell you my dog breaks squeakers so fast it is ridiculous. Not only do these squeakers still work after months of use, my dog still chooses them over other toys that we have gotten from our local pet stores. Barkbox toys are his favorite. I would have posted a picture but all the ones I took were blurry since my pup was so excited he was moving too fast. Thanks to everyone from Barkbox for putting these together!",10
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Jessica,5.0,"May 7, 2023",Perfect,Pups love this box,
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,eileen c fischer,5.0,"March 22, 2023",so cute for a first time pupy owner,I ordered it for our new 9 week old bulldog .......Vinny bag of donuts unfortunatly they sent it to the billing address and not my nephews house ....soooo hopefully that will be fixed for the next delivery,
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Natasha Haines,5.0,"October 20, 2022",Dog loves it,My dog loves the toys for sure . And loves the treats also. Only issue is within ten minutes of playing with one of the toys he already ripped pieces off of it and I had to throw it out sadly. Other than that I am happy (edit: contacted customer service about the destroyed toy and they emailed me within 24 hours and are sending me a replacement! I have to say I am now even more impressed with this box and am excited to be a customer. So glad they had the half off the first box deal or i would have never pulled the trigger and tried it!),One
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Nancy DeNardi,4.0,"December 8, 2022",Bark box my two Labradors receiving.,My dogs love the treats. Dog chew toys don’t hold up very well though!,
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Bookstore432,5.0,"April 25, 2023",Great quality as always,Loved it,
Barkbox,Barkbox,"BarkBox Monthly Subscription Box, Dog Chew Toys, All Natural Dog Treats, Dental Chews, Dog Supplies Themed Monthly Box (Small/Medium/Large)",https://www.amazon.com/BarkBox-Subscription-Treats-Every-20-50lb/dp/B07R7WVRGL?ref_=ast_sto_dp&th=1,Debbie,4.0,"November 30, 2022",Nice but tore up easily,My dog loves then but she chews the ears and leg’s off,One
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Kate C.,5.0,"July 15, 2023",nice thickness,"The pad has a nice thickness and appears to be well made. I bought the small for my Jack Russell terrier and it fits perfectly in his 24 X 17 inch crate. As noted by other reviewers, I wish the seller had packed it in a flat box as it arrived with a big hump in the middle. I can understand why they might have to fold the larger sizes, but it would have been easy to ship the small in a flat box. Never the less, I put a heavy object on the hump and it went away in about an hour. It also inflated perfectly very quickly even with the weight on the hump. I chose the black window pain plaid only because it was the only one available without a furry surface - as I find those fake fur surfaces tend to get yukky fast and are hard to clean - but I was pleasantly surprised how nice looking it is. As always, I will put a soft washable blanket on top to make it cuddly for my boy. I bought this during Amazon Prime day but I intend to buy another at regular price for my other terrier's crate.",
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Yon.04,5.0,"June 8, 2023",Can we trade beds pup?,"OK, this thing is ultra soft. I was debating on whether I should sleep on it or not. I am less than 120 pounds after all.😂😂😂 All jokes aside, it's really easy to assemble. You simply take it out of the package, take off the outer plastic and peel open the airtight sack. It'll them start blowing up like a Kardashian's booty. It does take a little while to air up though. For some, it can take up to 24 hours and for others you'll have to wait for 72 hours. Either way, you're going to be getting something your dogs gonna love sleeping on. Oh! I forgot to mention. It comes with a toy. So, your dog has a comfy place to sleep, and a little toy to play with for those times when he or she wakes up at night and has nothing else better to do. The covers machine washable. So you can take it off, toss it in your washer, and have it come out nice and fresh. Make sure you put it in the dryer though. No one likes sleeping on a wet soggy sheet.😂😂😂 It's very waterproof, so if your dog decides to water it, it won't seep through to the mattress. It seems to also have a cooling feature. your dog won't overheat with this one. Overall, it's a great bed. Your dog will love it. Great job bark box!",One
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Amazon Customer,4.0,"July 19, 2023",If your dog likes to stretch out definitely size up.,Overall an okay bed. Not sure if it inflated all the way but it seems like decent foam. I however would suggest sizing up. This is the size large which says it should be ideal for a dog up to 65 lbs. for reference the dog in the photo is about 40 lbs and the cat is 13 lbs.,
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Mari V,5.0,"July 7, 2023",Buy it,"I bought this in June 2020 and had to come back and review because this product deserves it. I have two mini schnauzers that sleep on this nightly and have done it all on this: pooped, peed, throw up and scratch at it to get comfy and it looks brand new out of the wash. Love the removable cover I haven’t had anything leak through. Would repurchase 100%",One
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Amazon Customer,5.0,"June 24, 2023",My dogs love this bed,"This is my second time buying this bed, I have two big dogs and they both fit on this bed. It's easy to remove cover and wash. It holds up well. The only reason I ordered a new one is because the old one started to mold underneath. I've since learned that if you elevate it on a dog bed cot it will keep it from molding. I guess the body heat on the cool floor is creating condensation and mold. Great purchase and worth the money.",
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Mari L,5.0,"June 22, 2023",Chase sleeps well!,Tried various beddings for my dogs crate and he always seemed to tear them up. But this seems to be comfortable for him. No more tearing. Barley any whining. It covers every end of the cage. The only thing is he’s starting to scratch at it to get comfortable before he sleeps and the fabric has ripped. But it holds up well so I’ll try and find the covering if they sell it separately. And the waterproof fabric is a plus! So worth the buy to me!,
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Pamela Hazelton,5.0,"July 10, 2023",The dogs LOVE it!,"We now have two of these - one for each dog. They love taking naps on these beds. Couldn't tell you if they're chew proof, because these are the only beds they haven't wanted to chew. A great value for long-lasting nap times.",
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,Allison Cooper,5.0,"July 2, 2023",Works well in a crate.,Used in my puppy’s crate and he seems to love it. The first night he slept on it he was asleep quickly and all night. Wish I had purchased it a few days earlier. Remove the tags it comes with as my puppy did try to chew through them.,One
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,JW,5.0,"August 11, 2020",A nice bed for weary bones.,"Bed Size: Medium (29"" long) Dog: Rat Terrier mix (approx. 16 lbs) My 17-year-old arthritic pup was apprehensive about this bed at first... for maybe a day. Now it's kind of a surprise when we _don't_ see him snoring away on this bed. As I said, he's 17 and arthritic, so the firm memory foam in this bed gives him better support than other options around the house. At only 3"" high (it ""looks"" smaller than that, but I haven't measured), it's easier for him to step on and off, too. Knock on wood, he hasn't had an accident yet (and I hope he never does!), so I can't speak to the waterproof aspect yet, but overall I'm happy with the bed... and more importantly, the dog is too. He seems to be genuinely comfortable on it, and I wasn't kidding about the snoring, either! My only complaints about the bed are nit-picky aesthetics. I ordered the sand color. What I received looks nothing like the photo. I received a hybrid... it has an espresso body with a sand top surface. I trust that's just a new style and not a factory second. In and of itself, it doesn't look bad at all, but there's a reason I ordered sand. My wife is the one who opened the package upon arrival, so I didn't get to see how it was packed; but based on the wrinkles on the bed cover, I'm guessing everything--gel foam, memory foam, and cover--were all vacuum-sealed together in one bag. The wrinkles are _not_ coming out over time and appear to be a permanent feature of the cover. Maybe they'll come out when the cover gets washed the first time? I hope so, because it doesn't look good right now. Since I shared my nit-picky complaints, let me be fair and praise one of the ""little details"" that drives me nuts when done wrong. The zipper to remove the cover runs length-wise, not width-wise, and even wraps around one of the corners, making it ultra easy to remove and reassemble the cover. Thank you! Alas, my dog has lost any enthusiasm for toys these days, but the ""pea"" would have been an enjoyment for him in earlier years, and a perfect size for him. It'll get donated to a local adoption agency where I'm sure it'll be enjoyed by many. As I've already stated, both the ""old man"" and I are quite happy with this bed. Offered at a fair price, too. UPDATE (8/13/2020) After writing the above review, I had to take measurements. The medium bed is 32""L x 22""W x 2.875""H, which is longer and wider than specified in the description. Be aware of that. If I had bought this item as a bed for a 30"" kennel, it would be too big. Thankfully, however, that wasn't my intent (though I used it as my basis for the purchase), so the larger dimensions are a bonus in my case. FINAL UPDATE (12/20/2020) 1. It took 5 washings (maybe six), but the wrinkles finally came out of the cover. The bed looks much nicer now. 2. Alas, the old dog had a few accidents on the bed since the original review; three of them to be exact. The cover was wet but the bed inside remained dry! The long, easy-on-easy-off zipper helped get the cover off quickly and in an orderly fashion. 3. Really happy with this bed, and love the extra firmness for my boy.",13
Bed,Bed,Barkbox Memory Foam Platform Dog Bed | Plush Mattress for Orthopedic Joint Relief,https://www.amazon.com/BarkBox-Thick-Orthopedic-Memory-Enhanced/dp/B07F1BK675?ref_=ast_sto_dp&th=1&psc=1,A.A.,5.0,"March 27, 2023",Not worth it,"This is the second bed that I bought from barkbox (same one). I got it because it came highly recommended, but if your dog is a scratcher, bitter, or chew, then don't waste your time of money. I literally have thrown my money away by buying this bed. This 1st one. I washed it in cold water and the clear cover in the inside got destroyed. The bed would collect the smells quickly and hard to remove hair. The 1st bed was purchased beginning of Jan. Out of nowhere, my dog decided he wants to chew the bed. It took him secs to take a bit of the corner and rip open the bed. No joke seconds!!!!! There was foam everywhere. At that mount I didn't think about how great this bed is for his hips. I thought how crappy the bed is. I decided to buy it again because I thought it was a one time thing that got into him. The 2nd took about 24hrs to inflate. I put it in his house the next morning. Close the house door and went to church. Within 5mins of us leaving, he started to chew. He destroyed the bed in seconds!!!!!. This new bed last mins compared to the other one that lasted 2-3 months. So if your dog scratches, bits, of chews..... do not, and I mean do not get him this bed !!!!!!!",8
Bed,Bed,"Barkbox Memory Foam Dog Bed with High Density Foam Base for Orthopedic Joint Relief - Crate Lounger, Dog Couch or Sofa Pet Bed - Machine Washable Cover and Water-Resistant Lining - Toy Included",https://www.amazon.com/BarkBox-Orthopedic-Washable-Removable-Waterproof/dp/B07Y2GQF75?ref_=ast_sto_dp,Crystal,5.0,"March 19, 2020","Great dog bed, checks all the boxes!","My stubborn Shiba Inu refused to sleep in any bed I purchased except his old lumpy dog bed. I was expecting the same result when I received the BarkBox bed but he luckily loves it and I'm so happy he's more comfy now! I had a few requirements for his next dog bed and this bed checked all the boxes: 1. Lounger style dog bed with bolsters/raised edges as my dog likes to rest his bed on the bolsters and cuddle into them 2. Legit memory foam and not the cheaper egg crate stuff cause only the best for my spoiled dog! 3. Easy to disassemble and wash as dogs get dirty and they have accidents. His old dog bed is lumpy cause I had to wash it whole so I was looking for a bed where I can take the cushions out and just wash the cover. My dog loves the bolsters on this bed as they're well stuffed but also a bit mobile so he can push the bolsters out a bit to create more of a donut bed. My dog is about 27lbs and the medium is a great size for him. When he's curled he has some empty space but he can also stretch out and take up the whole bed. Although he can't provide any input on the memory foam, I'm pleased with the high quality foam/cooling gel and my dog looks extra comfortable (I'm jealous, I don't even have memory foam!). This dog bed is easy to disassemble/assemble and the cover zips right off when I need to wash it. The dog bed arrived disassembled but well packaged. I let the foam sit to regain its shape and there were no issues at all. The bolsters were easy to stuff into the cover and the overall assembly was straightforward. Bonus Points + neutral gray color that matches my decor and hides dirt + free toy! My dog was most excited about this when I opened the box and I loved the thoughtfulness of BarkBox in making the whole package ""Princess and the Pea"" themed since my dog is clearly a high maintenance prince Neutral Points - While the cover appears durable and water resistant, I doubt it is completely waterproof (which is fine in my situation as my dog is potty trained). The durable fabric can also be quite noisy when your dog gets in and does his circling before settling down. You can put a towel or blanket over the fabric if this bothers you. Tip if your dog is stubborn and doesn't use his great new bed - take a towel/blanket and drape it over his old dog bed. Leave it here for a few days while he uses it so the towel/blanket smells like him. Then change out the old dog bed for the new dog bed with the smelly towel/blanket on top. This was enough to trick my dog into using the new bed. You can take the towel/blanket away after a few days when he's used to the new bed. As a disclaimer, I received this dog bed for free with no obligation to review. I am reviewing because I'm so happy with this bed.",
Bed,Bed,"Barkbox Memory Foam Dog Bed with High Density Foam Base for Orthopedic Joint Relief - Crate Lounger, Dog Couch or Sofa Pet Bed - Machine Washable Cover and Water-Resistant Lining - Toy Included",https://www.amazon.com/BarkBox-Orthopedic-Washable-Removable-Waterproof/dp/B07Y2GQF75?ref_=ast_sto_dp,TKO,5.0,"February 4, 2022",Finally found the perfect bed for UNDER the bed!,"My 11 year old Shiba Inu has always loved sleeping under the bed, I don’t understand why because he’s allowed to sleep on the bed. I’ve spent the last 11 years trying every type of flat bed with sides only to find them thrown out from under the bed when I wake up or him actually sleeping under them. I even tried one of those donuts. He loved the donut but it didn’t fit under the bed and we have limited floor space in our studio apartment. As you can see from the photo, this is “the one.” It’s low profile fits right under my bed without me having to put risers on my bed frame that make me nervous about him sleeping under there. The open side is definitely what we’ve been looking for! He has the support and comfort of the sides but has the ability to easily get out from under the bed with the open side. The soft side isn’t overly plush like those donuts that get all matted in the wash. And it’s not an eyesore the outside even matches my chair at the end of my bed! It’s also the easiest bed I’ve ever had to take apart and wash. We’ve owned other barkshop beds that were easy to maintain (still 5 stars) they just weren’t the fit for under the bed. But I imagine this bed would be great just for general use There is absolutely no downside to buying this bed for our needs. I may buy a smaller size for travel. I ordered a LARGE he’s only a 19 lbs dog but he likes to stretch out as much as he likes to curl up so he has options with this size. He does like to dig in his bed so in a few months I may update with opinion on durability but my dog still has the first toy I bought him when he was a puppy, so digging and washing are the only way we can test durability. So if your dog is destructive I can’t attest to whether this will stand up.",One
Bed,Bed,"Barkbox Memory Foam Dog Bed with High Density Foam Base for Orthopedic Joint Relief - Crate Lounger, Dog Couch or Sofa Pet Bed - Machine Washable Cover and Water-Resistant Lining - Toy Included",https://www.amazon.com/BarkBox-Orthopedic-Washable-Removable-Waterproof/dp/B07Y2GQF75?ref_=ast_sto_dp,Daniel Kingsbury,4.0,"May 24, 2021","Great buy, minor flaws.","There’s a lot I could say about this dog bed so I’ll try to keep it short. Overall I feel like it was a great buy. I’ve had it now for a little over a year. The picture of the empty bed was just taken after I washed and dried it which I do monthly. It’s still just as stuffed and comfy looking than ever. (I don’t wash the stuffing obviously). As you can see in the other pictures it gets plenty of use by both of my dogs and the cat. It’s easy to wash/dry but is a bit of a pain to stuff the side pillows back in and zip up. The mattress cover (separate part) in my opinion has too small a zipper. It’s hard to hold and close. I also broke it very early on by pulling too hard and tore the stitching at the end. Luckily my MIL is a seamstress and new how to fix it. My jerk cat did also put some pulls in it very early on. It’s not bad material but certainly not meant for a cat to knead around endlessly to get comfy. If you’re a cat owner too I suggest keeping them off of it. The very thin plastic inside the cover which I assume is what makes it “water resistant” is also a little sketchy. It separated from the cover early on and has since kind of fallen apart through washing. That’s not a deal breaker but if that’s indeed the intended purpose of this plastic it isn’t that great. It may sound like a lot of negatives but this is indeed a great dog bed. The dogs (and cat) love it. It’s in my home office where they sit next to me every day. It may have some flaws, but the fact that it still looks this good this long after buying it is everything. Most dog beds look like garbage after the first year and most aren’t that much cheaper than this.",
Bed,Bed,"Barkbox Memory Foam Dog Bed with High Density Foam Base for Orthopedic Joint Relief - Crate Lounger, Dog Couch or Sofa Pet Bed - Machine Washable Cover and Water-Resistant Lining - Toy Included",https://www.amazon.com/BarkBox-Orthopedic-Washable-Removable-Waterproof/dp/B07Y2GQF75?ref_=ast_sto_dp,Allison,5.0,"January 20, 2020",Absolutely Perfect!,"Okay. First off, I want to thank BarkBox for sending this product to me for free during one of their promotions! I mean... I never get anything for free so receiving this for our brand new pup deserves 5 stars on its own. The Medium bed comes in a pretty good size box. It was packed tight and with care. There was a bag that was vacuumed sealed shut, the manuals, pea toy, and accommodating covers. I carefully took out the memory foam mattress pad and bumpers. I fluffed out the bumpers, but thought that was a waste once I spent more time than necessary inserting them into the zippered cover - This took me a while. I decided to do this before the mattress was ready because I thought it would have been easier. I managed to get them all in and zippered nicely... this part of the bed felt like such great quality already! It was on the heavier side and was weighted all around. I felt really good about it even though this step challenged my patience a little. Obviously, unfolding the mattress pad, there was a crease down the center... PER INSTRUCTIONS it states to wait 24-48 hours for it to completely inflate to the appropriate thickness. Well, I was patient and I waited and voila! NO CREASE OR BUMP down the center lol. (Complaints with this made me laugh) The instructions are pretty clear :) You can see the crease down the center in picture #3 &amp; #4, but then see a dramatic difference in pictures #4, #5, &amp; #6 (after 48 hours). There is zero bump, but there is a slight wrinkle on the upper memory foam. All sides seem to measure pretty consistent in height. Put the bed together and it looks amazing :) My pup loves it and also loves the Pea toy it came with. The squeaker in the toy isn't that great, but it's just one less thing to annoy me lol. I give this bed 5 Stars, hands down and I would purchase this again in a heartbeat!! It's superior quality! PSA: For those of you saying the bed lacks in quality because it's not ""Chew-Resistant""... I would suggest exercising your pups more and also supervising them if they are prone to destroying. I guarantee you, you won't be able to show me a dog bed that can withstand such abuse... this doesn't exist. This was one of the silliest complaints. Your dog destroying a terrific item has nothing to do with this company's quality. Update: Bed is still amazing. Puppy is using it everyday oh his own! It makes me so happy. I went ahead and purchased the Sherpa cover to have on hand when the other cover is being washed. Love the option of the different covers available for the memory foam pad. Thanks BarkBox!",202
