URL,City,State,ZIPCode,TollFreeNumber,BusinessFax,BusinessWebsiteAddress,PrimaryContact,PrimaryContactJobTitle,PrimaryContactEmail,InstallationLevel,Servicesoffered,YearEstablished,CFESAMembersince,MemberGroup,CFESAGeographicalRegion
https://cfesa.com/directory/edlund-company-llc/,Burlington,Vermont,5401,800-772-2126,802-862-4822,http://www.edlundco.com,customerservice@edlundco.com,N/A,dsebastianelli@edlundco.com,N/A,N/A,1925,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/erickson-refrigeration-llc/,Auburn,Washington,98001,833-611-2599,N/A,N/A,Gregory Edwards,Owner,greg@ericksonrefrigeration.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",2004,2022,Service Company - CFESA Voting Member,Region 1
https://cfesa.com/directory/academy-service-group/,Hackensack,New Jersey,07601,800-235-4393,N/A,http://vpssinc.com/,Michael Rose,CEO,mrose@vpssinc.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/accurex/,Schofield,Wisconsin,54476,800-333-1400,715-241-6191,http://www.accurex.com,Jim Johnson,Director Aftermarket Services,jim.johnson@accurex.com,No Installations,N/A,N/A,2018,Manufacturer Company - CFESA Associate Member,Region 2
https://cfesa.com/directory/accu-temp-llc/,Slidell,Louisiana,70458,N/A,N/A,http://accutempservice.com/,Cameron Warren,Founder & President,cwarren@accutempservice.com,Installation Level I,Electric,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/goodwin-tucker-group-ottumwa-ia/,Ottumwa,Iowa,52501,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/a-tech-commercial-parts-service/,Windsor,Connecticut,6095,N/A,860-925-6272,http://www.a-techservice.net,Alan Basch,N/A,alan.basch@atechcps.com,Installation Level I,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/equipserv/,Pompano Beach,Florida,33069,N/A,954-935-5562,N/A,Omar Masri,N/A,info@equipcousa.com,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/general-parts-group-des-moines/,Urbandale,Iowa,50322,N/A,515-243-1534,Visit Our Des Moines Webpage,Kena Warren,Branch Manager,kenaw@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Certified Company,Region 2
https://cfesa.com/directory/hatco-corporation/,Milwaukee,Wisconsin,53215,N/A,800-690-2966,http://www.hatcocorp.com,Gary Kramer,N/A,gkramer@hatcocorp.com,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/hagar-restaurant-service-tulsa-ok/,Tulsa,Oklahoma,74135,N/A,918-664-1618,http://www.hagarservice.com,Les Carlson,N/A,lcarlson@hagarrs.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/hardt-equipment-manufacturing-inc/,Lachine,N/A,H8T2V3,N/A,514-631-7273,www.hardtequipment.com,Bonnie MacGregor,"Vice President, Service Relations",bmacgregor@hardt.ca,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/harris-warren-commercial-kitchens/,West Yarmouth,Massachusetts,2673,N/A,N/A,www.harris-warren.com,Michael Harris-Warren,N/A,harwar@comcast.net,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/h-c-lobalzo-sons-inc-newburgh-oh/,Newburgh,New York,12550,N/A,740-695-6199,http://www.hclobalzoandsons.com,Anne Abbruscato,N/A,aabbruscato@lobalzo.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/hagar-restaurant-service-haltom-city-tx/,Haltom City,Texas,76117,N/A,214-574-5211,http://www.hagarservice.com,Rod Sanderlin,N/A,rod@hagarrs.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/hagar-restaurant-service-el-paso-tx/,El Paso,Texas,79925,N/A,214-574-5211,http://www.hagarservice.com,Tom Vanecek,N/A,tom@hagarrs.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/hagar-restaurant-service-dallas-tx/,Dallas,Texas,75247,N/A,214-574-5211,http://www.hagarservice.com,Jonathan Riffe,N/A,jonathan@hagarrs.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/hagar-restaurant-service/,Oklahoma City,Oklahoma,73127,800-445-1791,405-236-5592,http://www.hagarservice.com,Larry Basden,President and CEO,lhasden@hagarrs.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1956,1987,Service Company - CFESA Voting Member,Region 3
https://cfesa.com/directory/h-r-d-kitchen-services-2/,Montreal,Quebec,H1Z 4G2,N/A,514-251-2562,http://www.hrd.ca,Trevor Chadbourn,N/A,tchadbourn@hrd.ca,N/A,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/h-r-d-kitchen-services/,Montreal,N/A,H1Z 4G2,N/A,514-251-2562,http://www.hrd.ca,Trevor,N/A,tchadbourn@hrd.ca,N/A,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/h-c-lobalzo-sons-inc-st-clairsville-oh/,St. Clairsville,Ohio,43950,N/A,740-695-6199,http://www.hclobalzoandsons.com,Vicki Vensel,N/A,vvensel@lobalzo.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/h-c-lobalzo-sons-inc/,Akron,Ohio,44333,N/A,330-666-8645,http://www.hclobalzoandsons.com,Mike Looney,N/A,mlooney@lobalzo.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/gulf-coast-equip-care-llc/,Picayune,Mississippi,39466,N/A,601-813-0883,http://www.gcequipcare.com/,Eric Inge,Manager,eric@gcequipcare.com,Installation Level I,"Electric, Electronic, Gas, Steam",2014,2017,Service Company - CFESA Voting Member,Region 4
https://cfesa.com/directory/greenville-refrigeration-services/,Greer,South Carolina,29650,N/A,N/A,http://www.greenvillerefrigeration.com,Jason Holeman,N/A,servcie@greenvillerefrigeration.com,N/A,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/great-american-mechanical-services-llc/,Celina,Texas,75009,N/A,N/A,N/A,James Ingalls,President/CEO,drjaingalls@hotmail.com,Installation Level I,"Electric, Electronic, Gas, Refrigeration, Steam",N/A,2022,Service Company - CFESA Affiliate Service Member,Region 3
https://cfesa.com/directory/greenbrier-technical-services-inc-gts/,Ronceverte,West Virginia,24970,N/A,304-645-4515,http://www.commercialfoodelectronicsrepair.com,Missy Morgan,N/A,mmorgan@greenbrier-tech.com,N/A,N/A,N/A,2012,Non-service Company - CFESA Affiliate Member,Region 5
https://cfesa.com/directory/gp-partsdirect/,Waukesha,Wisconsin,53186,N/A,888-594-6717,http://www.gp-partsdirect.com,Vince Underwood,Distribution Sales Manager,vinceu@gp-partsdirect.com,No Installations,N/A,1939,1970,Service Company - CFESA Certified Company,Region 2
https://cfesa.com/directory/goodwin-tucker-group-tea-sd/,Tea,South Dakota,57064,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/houston-restaurant-improvement/,Houston,Texas,77040,N/A,713-682-6653,http://www.hritexas.com,Terry Homsi,Owner,terry@hritexas.com,Installation Level I,"Electric, Electronic, Gas, Refrigeration, Steam",1989,2017,Service Company - CFESA Voting Member,Region 3
https://cfesa.com/directory/goodwin-tucker-group-waterloo-ia/,Waterloo,Iowa,50703,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/hoshizaki-america-inc/,Peachtree City,Georgia,30269,800-233-1940,770-487-3360,http://www.hoshizakiamerica.com,Rodd Burger,Director Technical Support,RABurger@hoshizaki.com,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,Region 4
https://cfesa.com/directory/horizon-bradco-2/,Schenectady,New York,12305,800-258-9727,518-395-3340,http://www.horizonbradco.com,Frank Corvino,Vice President,fcorvino@horizonbradco.com,Installation Level III,"Electric, Electronic, Gas, Steam",1987,2013,Service Company - CFESA Affiliate Service Member,Region 6
https://cfesa.com/directory/horizon-equipment/,Eagan,Minnesota,55122,N/A,651-454-6952,http://www.horizonequipment.com,Tracy Smith,N/A,tracy@horizonequipment.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/horizon-bradco-new-england/,Wilmington,Massachusetts,1887,800-911,978-657-5535,http://www.horizonbradco.com,Peter Marquis,Technical Service Manager,pmarquis@horizonbradco.com,Installation Level III,"Electric, Electronic, Gas, Steam",N/A,N/A,Service Company - CFESA Affiliate Service Member,Region 6
https://cfesa.com/directory/horizon-bradco/,Schenectady,New York,12305,800-258-9727,518-395-3340,http://www.horizonbradco.com,Frank Corvino,Vice President,fcorvino@horizonbradco.com,Installation Level III,"Electric, Electronic, Gas, Steam",1987,2013,Service Company - CFESA Affiliate Service Member,Region 6
https://cfesa.com/directory/holder-enterprises-inc/,Washington DC,District of Columbia (DC),20012,N/A,202-347-7455,http://www.holderenterprises.net,Selwyn Holder,N/A,sholder@holderenterprises.net,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/honeywell/,Golden Valley,Minnesota,55422,N/A,N/A,N/A,Jason Korstad,N/A,N/A,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/hobart-service-itw-food-equipment-group/,Troy,Ohio,45374,N/A,N/A,http://www.hobartservice.com,Terry Strong,Senior Director of Technical Support,Terry.strong@hobartservice.com,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,Region 5
https://cfesa.com/directory/hi-tech-commercial-service/,Las Vegas,Nevada,89106,N/A,702-649-4607,http://wwwhitechnv.com,JC Curran,N/A,jayc@hitechnv.com,N/A,N/A,N/A,N/A,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/heritage-service-group-orlando-fl/,Orlando,Florida,32809,N/A,954-977-7317,http://www.heritageservicegroup.com,Fernando Leon,N/A,Fernando.Leon@heritageservicegroup.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/heritage-service-group-pompano-beach-fl/,Pompano Beach,Florida,33069,N/A,954-977-7317,http://www.heritageservicegroup.com,Fernando Leon,N/A,fernando.leon@heritageservicegroup.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/hi-tech-commercial-service-2/,Reno,Nevada,89511,N/A,775-851-2666,http://www.hitechnv.com,Gerald Crooks,N/A,gerry@hitechnv.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/heat-transfer-specialists/,Euclid,Ohio,44117,N/A,216-531-1101,www.heattransferspecialists.com,Randy Conforti,N/A,randy@htspki.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/a-r-repairs-bakers-kneads-inc/,Madison Heights,Michigan,48071,N/A,586 758-4154,http://www.arrepairs.com,Lisa Rapanotti,N/A,lisa@arrepairs.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",N/A,N/A,Service Company - CFESA Certified Company,Region 2
https://cfesa.com/directory/a-r-diagnostic-service-inc/,Darien,Illinois,60561,N/A,630-729-3025,https://ardiagservice.com,Anton Hodermarsky,Owner,customerservice@ardiagservice.com,Installation Level II,N/A,N/A,2022,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/heritage-service-group-new-orleans-la/,New Orleans,Louisiana,70123,N/A,504-733-2559,http://www.heritageservicegroup.com,Jim Thorpe,N/A,Jim.Thorpe@heritageservicegroup.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/herc-enterprises-inc/,Concord,North Carolina,28027,N/A,704-786-1354,http://www.hercenterprises.com,Charles Stapleton,President,charles@hercenterprises.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1984,2017,Service Company - CFESA Voting Member,Region 4
https://cfesa.com/directory/henny-penny/,Eaton,Ohio,45320,N/A,937-456-8402,http://www.hennypenny.com,Todd Hennigan,N/A,thennigan@hennypenny.com,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/henry-t-smith-company-inc/,Memphis,Tennessee,38115,800-228-8496,901-272-3909,http://www.htscoinc.com/,Jason Philpot,President,jasonp@htscoinc.com,Installation Level III,"Electric, Electronic, Gas, Steam",1942,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/a-llc/,Springfield,Missouri,65807,N/A,417-732-5996,aekitchenservice.com,Neil Rountree,N/A,aekitchenservice@yahoo.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/a-inc/,Waterloo,Iowa,50703,N/A,319-233-7557,www.apfoodequip.com,Jeff Schwake,N/A,jschwake@apfoodequip.com,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/86-repairs/,Grand Rapids,Michigan,49506,N/A,N/A,https://www.86repairs.com,Joe Gallagher,Co-Founder,joe@86repairs.com,N/A,N/A,N/A,N/A,Non-service Company - CFESA Affiliate Member,Region 2
https://cfesa.com/directory/3-wire-group-inc/,Carson,California,90745,N/A,800-467-0150,https://www.3wire.com,Ron Bateman,N/A,ron.bateman@3wire.com,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/3c-mechanical-technologies-inc/,Waco,Texas,76706,N/A,888-546-7682,N/A,Kevin Wren,Service Manager,Kevin@3cmechanical.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",N/A,2018,Service Company - CFESA Affiliate Service Member,Region 3
https://cfesa.com/directory/3-wire-group-inc-3/,Plattsburgh,New York,12903,N/A,N/A,http://www.3wire.com,Ron Bateman,N/A,ron.bateman@3wire.com,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/1-2-3-equipment-solutions/,Henrico,Virginia,23233,888-655-3678,888-655-3678,http://www.123esnow.com,Michael Hess,President,michael@123esnow.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",2016,2018,Service Company - CFESA Voting Member,Region 5
https://cfesa.com/directory/hawkins-commercial-appliance-colorado-springs/,Colorado Springs,Colorado,80907,N/A,719-477-1513,www.hawkinscommercial.com,Lee Mahaffey,N/A,johns@hawkinscommercial.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/1st-source-restaurant-services-inc/,Lake Dallas,Texas,75065,N/A,940-498-7312,http://www.arcstx.com,Travis Fogle,N/A,hrom@arcstx.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",N/A,N/A,Service Company - CFESA Voting Member,Region 3
https://cfesa.com/directory/3-wire-group-inc-2/,Bothell,Washington,98021,N/A,N/A,http://www.3wire.com,Ron Bateman,N/A,ron.bateman@3wire.com,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/hawkins-commercial-appliance-engelwood-co/,Englewood,Colorado,80110,800-624-2117,303-761-8861,https://www.hawkinscommercial.com/,John Schwindt,VP Operations/GM,johns@hawkinscommercial.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1907,1978,Service Company - CFESA Certified Company,Region 1
https://cfesa.com/directory/1-2-3-equipment-solutions-princeton-nc/,Princeton,N/A,27569,888 655-3678,(888) 655-3678,http://www.123esnow.com,Michael Hess,President,service@123esnow.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/1-2-3-equipment-solutions-chesapeake-va/,Chesapeake,Virginia,23323,888 655-3678,(888) 655-3678,http://www.123esnow.com,Michael Hess,President,service@123esnow.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/1-2-3-equipment-solutions-boyce-va/,Boyce,Virginia,22620,888 655-3678,(888) 655-3678,http://www.123esnow.com,Michael Hess,President,service@123esnow.com,Installation Level III,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/goodwin-tucker-group-north-sioux-city-ia/,North Sioux City,South Dakota,57049,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/goodwin-tucker-group-lincoln-ne/,Lincoln,Nebraska,68504,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/goodwin-tucker-group-kearney/,Kearney,Nebraska,68845,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/goodwin-tucker-group-omaha-ne/,Omaha,Nebraska,68127,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/glosson-food-equipment/,Fort Wayne,Indiana,46809,N/A,260-478-2141,http://www.glossonfoodequip.com,John Glosson,N/A,johng@glossonfoodequip.com,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
https://cfesa.com/directory/goodwin-tucker-group-dubuque-ia/,Dubuque,Iowa,52003,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/goodwin-tucker-group-clear-lake-ia/,Clear Lake,Iowa,50428,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/goodwin-tucker-group-davenport-ia/,Davenport,Iowa,52806,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/goodwin-tucker-group-cedar-rapids-ia/,Cedar Rapids,Iowa,52402,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/goodwin-tucker-group/,Des Moines,Iowa,50317,800-372-6066,515-262-2936,http://www.goodwintucker.com,Randy Brandt,Service Manager,rbrandt@goodwintucker.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1970,1976,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/globe-food-equipment-company/,Dayton,Ohio,45439,N/A,937-299-8623,http://www.globeslicers.com,Brian Bohm,N/A,bbohm@globeslicers.com,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/gold-medal-products/,Cincinnati,Ohio,45241,N/A,513-769-8500,http://www.gmpopcorn.com,Dan Kroeger,N/A,info@gmpopcorn.com,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/gks-service-company-inc/,Candia,New Hampshire,3034,N/A,603-483-5419,http://www.gksservicecompany.com,Gregory Saunders,N/A,greggks@aol.com,Installation Level II,N/A,N/A,N/A,Service Company - CFESA Voting Member,N/A
https://cfesa.com/directory/gerena-food-management/,Jacksonville,Florida,32210,N/A,904-337-0668,N/A,Scottie Teagle,Facilities Maintenance,trt1271@gmail.com,N/A,N/A,N/A,N/A,Non-service Company - CFESA Affiliate Member,Region 4
https://cfesa.com/directory/georgia-texas-management-company/,Newnan,Georgia,30265,N/A,N/A,http://www.georgiatexas.com,Colin Hilley,Director of Facilities and Maintenance,chilley@georgiatexas.com,N/A,N/A,N/A,N/A,Non-service Company - CFESA Affiliate Member,Region 4
https://cfesa.com/directory/general-parts-group-minneapolis-hq/,Bloomington,Minnesota,55438,N/A,952-944-7107,Visit Our Minneapolis Webpage,Christopher Walsh CFSP,Branch Manager,christopherw@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Certified Company,Region 2
https://cfesa.com/directory/georgia-state-university/,Atlanta,Georgia,30303,N/A,404-413-9675,http://www.dining.gsu.edu,Lenore Musik,Senior Director of PantherDining and Sustainability,lmusick@gsu.edu,No Installations,N/A,N/A,N/A,Non-service Company - CFESA Affiliate Member,Region 4
https://cfesa.com/directory/general-parts-group-yuma/,Yuma,Arizona,85365,N/A,N/A,Visit Our Yuma Webpage,Doug Becker,Branch Manager,dougb@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Certified Company,Region 3
https://cfesa.com/directory/general-parts-group-wichita/,Wichita,Kansas,67226,N/A,316-315-0660,Visit Our Wichita Webpage,Nick Roths,Branch Manager,nickro@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Voting Member,Region 2
https://cfesa.com/directory/general-parts-group-dallas/,Irving,Texas,75063,N/A,972-457-9056,Visit Our Dallas Webpage,Mark Sawyer,Branch Manager,marks@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Certified Company,Region 3
https://cfesa.com/directory/general-parts-group-denver/,Westminster,Colorado,80234,N/A,303-308-1723,Visit Our Denver Webpage,Ryan Harms,Branch Manager,ryanh@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Certified Company,Region 1
https://cfesa.com/directory/general-parts-group-chicago/,Lombard,Illinois,60148,N/A,630-595-0006,Visit Our Chicago Webpage,Lily DeLaurie,Branch Manager,lilyd@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Certified Company,Region 2
https://cfesa.com/directory/general-parts-group-cleveland/,Cleveland,Ohio,44125,N/A,216-328-0604,Visit Our Cleveland Webpage,Eddie Friedlein,Branch Manager,eddief@generalparts.com,Installation Level III,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Certified Company,Region 5
https://cfesa.com/directory/gemini-bakery-equipment-co-kb-systems-inc/,Philadelphia,Pennsylvania,19115,N/A,215-673-3944,http://www.geminibe.com,Phil Starr,N/A,phils@geminibe.com,N/A,N/A,N/A,N/A,Manufacturer Company - CFESA Associate Member,N/A
https://cfesa.com/directory/general-parts-group-boise/,Meridian,Idaho,83642,N/A,208-375-4402,Visit Our Boise Webpage,Jeannette Shawcross,Branch Manager,jeannettes@generalparts.com,Installation Level II,"Electric, Electronic, Gas, Refrigeration, Steam",1939,1970,Service Company - CFESA Voting Member,Region 1
https://cfesa.com/directory/gary-brink-inc/,Billings,Montana,59101,N/A,406-259-1645,N/A,Gary Brink,N/A,brinkinc48@gmail.com,N/A,N/A,N/A,N/A,Service Company - CFESA Affiliate Service Member,N/A
